Segment_1,Segment_2,Segment_3,Segment_4,Segment_5,Segment_6,Segment_7,Segment_8,Segment_9,Segment_10,Segment_11,Segment_12,Segment_13,Segment_14,Segment_15,Segment_16,Segment_17,Segment_18,Segment_19,Segment_20,Segment_21,Segment_22,Segment_23,Segment_24,Segment_25,Segment_26,Segment_27,Segment_28,Segment_29,Segment_30,Segment_31,Segment_32,Segment_33,Segment_34,Segment_35,Segment_36,Segment_37,Segment_38,Segment_39,Segment_40,Segment_41,Segment_42,Segment_43,Segment_44,Segment_45,Segment_46,Segment_47,Segment_48,Segment_49,Segment_50,Segment_51,Segment_52,Segment_53,Segment_54,Segment_55,Segment_56,Segment_57,Segment_58,Segment_59,Segment_60,Segment_61,Segment_62,Segment_63,Segment_64,Segment_65,Segment_66,Segment_67,Segment_68,Segment_69,Segment_70,Segment_71,Segment_72,Segment_73,Segment_74,Segment_75,Segment_76,Segment_77,Segment_78,Segment_79,
-250.496311,-504.355066,1099.340008,-790.400689,618.177043,-1047.959427,130.206136,-385.298903,-324.813878,1446.254470,-853.929456,274.200224,807.493815,-703.364682,-92.467461,1579.476680,-939.866636,-519.727631,822.151203,-138.202510,-845.619025,52.530324,1510.184624,-846.366449,-229.347121,1368.557690,-747.614717,901.713413,-994.873067,-221.754758,527.116727,-619.980463,665.341060,-501.036785,-409.329623,500.397071,-664.021301,-477.675847,1659.347134,-555.423853,1369.241743,-948.607296,896.154107,-911.115081,257.804919,-799.343850,-247.909028,782.902225,-592.727261,1339.752900,-984.903248,-73.341011,1169.666285,-671.168666,143.528083,402.987642,-689.206250,296.085431,408.024411,-715.455117,463.479840,136.408982,-800.070162,499.401448,-862.219410,-399.675927,1414.215754,-513.691302,-591.868544,685.868724,-714.398899,-547.295443,1306.680687,753.453717,37.152747,396.152011,-523.634050,1376.727333,-950.660275,
-110.760355,-521.200638,1075.155694,-806.643335,550.973030,-1059.382630,81.454237,-255.082076,-358.616816,1459.853034,-872.991264,219.158387,950.633610,-718.439649,-135.992676,1574.867398,-944.253846,-542.950444,746.330519,15.590920,-865.508425,16.933243,1501.185618,-856.157733,-260.261106,1408.856645,-768.248618,819.734136,-1012.606845,-259.367740,686.911076,-635.997916,593.570128,-414.798768,-426.642887,435.465643,-560.159533,-500.241303,1682.583168,-572.886843,1304.530240,-965.974741,819.745326,-924.589801,209.343891,-711.646545,-287.919416,939.368778,-611.330948,1277.280932,-1002.888749,-107.849623,1286.370395,-687.715895,96.505867,562.470900,-707.946855,246.105452,567.596488,-733.878660,401.147805,293.509160,-816.769254,431.662190,-790.815933,-428.281498,1343.040545,-401.074277,-609.381478,610.271592,-631.377399,-566.835139,1226.322919,735.472646,6.329196,535.302659,-540.560597,1303.422180,-966.926143,
46.985231,-537.096054,1043.595233,-823.061013,486.706246,-1067.084145,34.446461,-112.899637,-390.937576,1457.674834,-892.617488,165.609352,1084.075595,-734.140697,-178.366823,1555.449303,-943.175319,-564.422960,672.342297,174.908704,-885.985017,-17.459534,1480.020655,-863.059666,-290.283604,1431.772960,-789.216943,738.780211,-1026.518821,-295.470879,841.586839,-651.569402,524.901224,-317.687592,-443.666733,373.792503,-443.268827,-521.684065,1688.986833,-590.075977,1231.990518,-983.729263,745.481411,-936.142486,163.371972,-609.545594,-326.724229,1086.629118,-629.274534,1207.795351,-1019.042212,-141.759606,1387.409682,-704.534599,51.576188,716.674067,-726.911865,197.966285,722.223955,-752.063177,342.234732,454.236739,-833.327858,367.379193,-705.404422,-455.468296,1266.551692,-274.843702,-626.247417,538.035240,-533.306132,-584.960030,1147.327554,707.198770,-23.870096,668.444387,-556.858955,1225.822564,-981.924114,
221.599369,-552.102626,1005.793171,-839.493527,425.195849,-1069.980526,-10.989898,39.401245,-421.414090,1440.944815,-912.610078,113.334419,1205.469512,-750.455324,-219.587687,1522.701958,-935.481108,-584.230791,600.709012,336.805582,-907.039074,-50.714378,1448.070323,-866.252734,-319.369408,1438.087686,-810.502992,659.722685,-1035.654216,-330.022946,988.135732,-666.834129,459.488692,-210.520976,-460.476516,315.363884,-314.419509,-542.095182,1679.670125,-607.122666,1153.433746,-1001.819347,673.729627,-945.186646,119.586417,-493.318266,-364.181418,1221.892053,-646.720361,1133.000132,-1032.666465,-175.020048,1471.532011,-721.596793,8.509983,862.470029,-746.178270,151.510823,868.780295,-770.083826,286.530315,615.335629,-849.865802,306.488991,-605.796675,-481.272524,1186.336591,-136.149410,-642.625878,469.282880,-420.288149,-601.867908,1070.606359,669.845504,-53.352704,792.912195,-572.666125,1145.441770,-994.877397,
411.270613,-566.299304,962.896139,-855.700330,366.202205,-1066.894473,-55.007435,199.491068,-449.616399,1411.087506,-932.685877,62.165847,1312.880467,-767.307373,-259.618138,1478.226431,-919.969476,-602.493082,531.769027,498.110059,-928.578702,-82.903305,1406.793435,-864.819906,-347.481778,1428.898241,-832.072057,583.260212,-1038.942764,-362.989563,1123.856112,-681.931652,397.359424,-94.579017,-477.145577,260.058941,-175.214545,-561.593523,1655.987615,-624.152307,1070.594165,-1020.133054,604.692038,-951.005296,77.698346,-363.819017,-400.152265,1342.791893,-663.844781,1054.506032,-1042.954260,-207.548750,1537.993010,-738.817774,-32.902511,997.055356,-765.790298,106.604725,1004.383703,-788.014873,233.789421,773.459672,-866.493597,248.828247,-492.254003,-505.756861,1103.862442,13.295260,-658.681796,403.997998,-292.981501,-617.770184,996.832727,624.781976,-82.023761,906.365235,-588.114890,1063.657365,-1004.878353,
613.474267,-579.776832,916.031715,-871.352400,309.458205,-1056.581137,-97.736744,364.621518,-475.045448,1369.669584,-952.469858,12.001089,1404.826653,-784.550550,-298.398275,1423.686316,-895.421426,-619.365650,465.698811,655.556271,-950.416686,-114.117147,1357.676403,-857.760985,-374.595732,1405.553577,-853.870918,509.918455,-1035.213329,-394.351997,1246.428188,-696.996610,338.433395,28.410199,-493.746071,207.676574,-27.756488,-580.318266,1619.468512,-641.280900,985.093765,-1038.493022,538.426095,-952.750951,37.447197,-222.535845,-434.510828,1447.465009,-680.832889,973.803051,-1048.989147,-239.246365,1586.541597,-756.053826,-72.847591,1118.056386,-785.742455,63.134975,1126.524165,-805.925047,183.749502,925.349097,-883.301654,194.164602,-365.551677,-529.009260,1020.451724,171.228998,-674.570917,342.044392,-152.647053,-632.879223,926.453257,573.471576,-109.793276,1006.854255,-603.330638,981.690630,-1010.897279,
824.978440,-592.630953,866.280387,-886.021381,254.696018,-1037.760265,-139.281858,531.725951,-497.136097,1318.345936,-971.489014,-37.189274,1480.299576,-801.963652,-335.858461,1360.754408,-860.639846,-635.039421,402.543302,805.936524,-972.259938,-144.476818,1302.188717,-844.014957,-400.697509,1369.592607,-875.827515,440.053070,-1023.217820,-424.107960,1353.967204,-712.154313,282.544739,156.324378,-510.350822,157.959733,125.418453,-598.418994,1571.754476,-658.613182,898.413873,-1056.650276,474.870413,-949.452076,-1.390530,-71.582891,-467.154546,1534.591894,-697.866093,892.236702,-1049.753606,-270.008164,1617.385374,-773.101955,-111.485983,1223.592490,-805.964613,21.006560,1233.162350,-823.871800,136.142832,1067.986201,-900.350378,142.227387,-227.012241,-551.140115,937.263358,334.894707,-690.428641,283.190912,-1.156017,-647.396620,859.705673,517.413163,-136.581496,1092.867670,-618.429137,900.592439,-1011.796812,
1041.930227,-604.955124,814.650310,-899.166964,201.669907,-1009.155245,-179.713733,697.552631,-515.264489,1258.808963,-989.167503,-85.361092,1538.764174,-819.246652,-371.930381,1291.068067,-814.495348,-649.732451,342.248187,946.256137,-993.700943,-174.141113,1241.743827,-822.491409,-425.780659,1322.684676,-897.847590,373.858203,-1001.664962,-452.265187,1445.058640,-727.515665,229.464398,286.738042,-527.033896,110.616536,281.424598,-616.046237,1514.542562,-676.240958,811.873597,-1074.275309,413.873333,-940.024589,-38.997565,86.375437,-498.014985,1603.404878,-715.106358,810.988711,-1044.143212,-299.734184,1631.141063,-789.699862,-148.950700,1312.302663,-826.311372,-19.860215,1322.791280,-841.895237,90.704751,1198.711122,-917.661524,92.735482,-78.498825,-572.278964,855.283558,501.140225,-706.363550,227.140353,159.049372,-661.505239,796.642979,458.091095,-162.323380,1163.359050,-633.513862,821.234585,-1006.352692,
1260.016593,-616.833486,762.056214,-910.125727,150.174277,-969.542435,-219.066642,858.814736,-528.760084,1192.740324,-1004.824199,-132.404256,1580.138851,-836.015696,-406.554075,1216.193685,-755.981570,-663.677609,284.689968,1073.872432,-1014.210699,-203.311147,1177.665414,-792.110869,-449.841357,1266.569637,-919.807410,311.380551,-969.264910,-478.834171,1518.772066,-743.170724,178.923113,417.042545,-543.867853,65.340289,437.130194,-633.343848,1449.532539,-694.240544,726.615075,-1090.945816,355.222740,-923.290381,-75.516378,248.249861,-527.063882,1653.663580,-732.682040,731.063086,-1030.985467,-328.338011,1628.774784,-805.523123,-185.343155,1383.347884,-846.554134,-59.531082,1394.460576,-860.012136,47.181816,1315.299473,-935.210050,45.420578,77.635710,-592.568586,775.324766,666.565267,-722.453879,173.559038,325.043522,-675.366599,737.162818,396.932806,-186.970763,1217.751522,-648.672721,744.305233,-993.281886,
1474.684042,-628.335137,709.302960,-918.105644,100.055023,-917.813832,-257.340460,1012.340908,-536.921320,1121.765070,-1017.673593,-178.156823,1604.756597,-851.795717,-439.682419,1137.598961,-684.281750,-677.109516,229.702266,1186.604316,-1033.133237,-232.231411,1111.161983,-751.853334,-472.876335,1202.999654,-941.545045,252.538253,-924.787344,-503.825069,1574.652774,-759.181462,130.632831,544.582282,-560.917013,21.830757,589.291932,-650.443082,1378.379774,-712.668584,643.595183,-1106.132601,298.676270,-898.006228,-111.052669,410.700891,-554.311760,1685.606945,-750.678761,653.277729,-1009.064330,-355.753402,1611.536044,-820.177790,-220.729735,1436.394805,-866.374208,-98.058591,1447.770525,-878.209631,5.342455,1416.013810,-952.916249,0.043259,238.640864,-612.155021,698.027300,827.696641,-738.745816,122.103533,493.548464,-689.121763,681.039258,335.266962,-210.490395,1255.919556,-663.974082,670.307965,-971.277195,
