Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,Segment 9,Segment 10,Segment 11,Segment 12,Segment 13,Segment 14,Segment 15,Segment 16,Segment 17,Segment 18,Segment 19,Segment 20,Segment 21,Segment 22,Segment 23,Segment 24,Segment 25,Segment 26,Segment 27,Segment 28,Segment 29,Segment 30,Segment 31,Segment 32,Segment 33,Segment 34,Segment 35,Segment 36,Segment 37,Segment 38,Segment 39,Segment 40,Segment 41,Segment 42,Segment 43,Segment 44,Segment 45,Segment 46,Segment 47,Segment 48,Segment 49,Segment 50,Segment 51,Segment 52,Segment 53,Segment 54,Segment 55,Segment 56,Segment 57,Segment 58,Segment 59,Segment 60,Segment 61,Segment 62,Segment 63,Segment 64,Segment 65,Segment 66,Segment 67,Segment 68,Segment 69,Segment 70,Segment 71,Segment 72,Segment 73,Segment 74,Segment 75,Segment 76,Segment 77,Segment 78,Segment 79,Segment 80,Segment 81,Segment 82,Segment 83,Segment 84,Segment 85,Segment 86,Segment 87,Segment 88,Segment 89,Segment 90,Segment 91,Segment 92,Segment 93,Segment 94,Segment 95,Segment 96,Segment 97,Segment 98,Segment 99
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,0,0,0,0,1,2,2,2,2,2,2,2,2,2,0,0,0,1,2,2,1,0,0,0,1,2,2,2,2,2,2,2,2,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.041814781,0.21986962,-0.073337243,0.17431278,0.008352532,-0.063914344,-0.052147611,-0.115064321,-0.065192206,0.020623688,-0.054143137,0.191381993,-0.092424889,0.235779248,-0.014991478,0.094435792,-0.008260731,0.031700951,-0.019929498,-0.035282382,-0.143816603,0.06247895,0.451616923,-0.048759334,0.018109847,-0.17859479,0.297056832,-0.071630991,-0.1478543,0.138272796,0.403571379,0.331951232,0.014794759,-0.484623449,0.068192507,-0.150341683,0.052549386,-0.249878208,0.012700049,-0.175916394,0.087374729,-0.009442718,-0.038937942,-0.011626433,0.279330754,-0.08099357,-0.175690645,0.21473101,-0.199109255,-0.070178838,0.000634117,5.84E-05,0.001370391,0.010059437,0.025340565,-0.047554777,-0.03455026,-0.002869296,-0.036353567,0.3059842,-0.067664281,0.050102205,-0.112036799,-0.188360871,0.229924766,-0.063379312,-0.039690775,-0.023651914,-0.184810503,0.145804115,-0.12326443,0.304791994,-0.091604238,0.287717124,0.009407666,-0.040974367,-0.021393301,-0.086482884,0.067782171,-0.011479208,-0.075465441,0.007387837,-0.061981923,-0.036559682,0.25432282,-0.136097213,-0.119261155,0.030330473,-0.1181348,-0.065346555,-0.14445401,0.05264579,-0.163581345,0.273355718,-0.087678099,-0.17175036,0.2187629,-0.110440588,0.206831968
-0.043789229,0.222159526,-0.079727217,0.188834332,0.007409356,-0.03766001,-0.055700423,-0.09296536,-0.066933428,0.047171748,-0.055144375,0.209466436,-0.094062365,0.23333175,-0.023395377,0.080620565,-0.007215267,0.030938043,-0.020032023,-0.019777369,-0.143509581,0.060530527,0.455568754,-0.043227824,0.008036644,-0.184487522,0.30093263,-0.077748826,-0.156250294,0.148842077,0.446758647,0.291250502,0.014535903,-0.477316279,0.067491271,-0.150388602,0.051105913,-0.230218198,-0.000706594,-0.171968457,0.070634224,-0.012712288,-0.043349398,-0.007151705,0.265396419,-0.083365031,-0.166881992,0.220197455,-0.201250703,-0.072977672,0.000624515,5.87E-05,0.001373525,0.0099199,0.025588694,-0.05250837,-0.034658321,-0.002875737,-0.036750314,0.300591122,-0.067559406,0.08070388,-0.112405221,-0.185392641,0.21377564,-0.062564841,-0.012553651,-0.036872078,-0.186239228,0.123939935,-0.131150781,0.299515068,-0.094898354,0.291446642,0.010041323,-0.041103478,-0.001008009,-0.087384646,0.076543056,-0.012110244,-0.06972525,0.007739226,-0.045633189,-0.036431368,0.251868384,-0.117383156,-0.128736035,0.013004085,-0.095538335,-0.070064035,-0.127574763,0.036347131,-0.171913532,0.273127053,-0.088345169,-0.162886834,0.200497731,-0.116194068,0.23034083
-0.045800466,0.221264128,-0.086916638,0.200428283,0.006387701,-0.010792563,-0.05834171,-0.069012136,-0.068015586,0.073090026,-0.056476998,0.225200629,-0.096315928,0.227619195,-0.031959399,0.067471853,-0.00647597,0.030179591,-0.020125716,-0.004592984,-0.143250581,0.059646275,0.459091145,-0.035937105,-0.001061269,-0.188996496,0.301339406,-0.082310615,-0.1647704,0.157219829,0.482758174,0.245802388,0.014283872,-0.469051719,0.066729528,-0.148326256,0.049818505,-0.208033717,-0.01296127,-0.165554944,0.054819167,-0.015342106,-0.047702624,-0.00167138,0.249267355,-0.08616568,-0.155273623,0.222433674,-0.20175481,-0.075116751,0.000614917,5.89E-05,0.00137654,0.009778131,0.025856079,-0.057685018,-0.034761852,-0.00288216,-0.037147346,0.29163357,-0.067662603,0.111460045,-0.111911315,-0.179602538,0.195641893,-0.0622448,0.015918482,-0.048322317,-0.185324382,0.101951537,-0.13934325,0.290828272,-0.099193438,0.291409394,0.010747268,-0.041237704,0.018263257,-0.088944666,0.084467912,-0.01247336,-0.063067378,0.008204158,-0.028519589,-0.03646591,0.2461314,-0.0959519,-0.138584657,-0.002551738,-0.070483143,-0.073625997,-0.10808359,0.021538239,-0.17981869,0.269460682,-0.089233372,-0.151237506,0.181082807,-0.122674218,0.250902883
-0.047832488,0.217293053,-0.094864321,0.208929295,0.005140953,0.016216404,-0.060265225,-0.04357152,-0.068632134,0.097886528,-0.058276539,0.238293472,-0.099237755,0.218860781,-0.040492898,0.055171501,-0.006099347,0.029425635,-0.020209356,0.010055774,-0.143029052,0.05967544,0.461982119,-0.026913336,-0.009163981,-0.191852331,0.298365535,-0.085483277,-0.173263619,0.163261505,0.510980676,0.196033721,0.014041116,-0.460281868,0.065920156,-0.144022409,0.048696191,-0.18355763,-0.024020962,-0.15659756,0.040088152,-0.017208437,-0.05188163,0.004851057,0.231330379,-0.089490502,-0.140838526,0.221508679,-0.200483571,-0.076569717,0.000605324,5.92E-05,0.001379433,0.009634127,0.026148192,-0.062985219,-0.0348609,-0.002888564,-0.037544641,0.279413478,-0.068138744,0.141823313,-0.110747228,-0.17083798,0.175946133,-0.062570619,0.045241472,-0.057992703,-0.181822979,0.080221392,-0.147615687,0.27900321,-0.104470837,0.287704476,0.011519033,-0.041374235,0.036066445,-0.09125497,0.091404794,-0.012681338,-0.055572798,0.008758839,-0.010902312,-0.036737568,0.237328434,-0.072058318,-0.148567725,-0.01626532,-0.04330227,-0.076212026,-0.086180748,0.008295086,-0.187022785,0.262542911,-0.090496542,-0.136784236,0.160914773,-0.129778541,0.268183502
-0.049866651,0.210421463,-0.10349967,0.214244546,0.003537786,0.042877694,-0.061668661,-0.017062637,-0.068974435,0.121089119,-0.060657614,0.248517591,-0.102856496,0.207335115,-0.04878567,0.043861713,-0.006133351,0.028676225,-0.020282187,0.023966238,-0.142832968,0.060452194,0.464059347,-0.016227557,-0.016282971,-0.192798836,0.292169971,-0.087455597,-0.18155953,0.166869662,0.531050206,0.142496366,0.013810976,-0.451408404,0.065076424,-0.137389056,0.047742643,-0.15708488,-0.033878709,-0.145071532,0.026556372,-0.018185305,-0.055763457,0.012446181,0.211985472,-0.093415022,-0.123613489,0.217555647,-0.197286749,-0.077321094,0.000595736,5.94E-05,0.001382204,0.009487883,0.026469924,-0.068306021,-0.034955513,-0.002894953,-0.037942174,0.264288979,-0.069134933,0.171246134,-0.109110115,-0.159008745,0.155120301,-0.063670704,0.074896393,-0.065917856,-0.175538136,0.059099221,-0.155712957,0.264364619,-0.110675056,0.280506837,0.01234768,-0.041510552,0.052082842,-0.094380003,0.097223151,-0.012845447,-0.047347481,0.009371828,0.006933988,-0.037310721,0.225738104,-0.046031256,-0.158414304,-0.028118651,-0.014395173,-0.078013835,-0.06213707,-0.003351462,-0.19323829,0.252621235,-0.092271668,-0.119578346,0.140379279,-0.137364612,0.281923458
-0.051881395,0.20088318,-0.112722161,0.216354839,0.001464333,0.068698326,-0.062748478,0.010053428,-0.069227405,0.142259172,-0.063711097,0.255714853,-0.107175792,0.193370403,-0.056612047,0.033644012,-0.00661405,0.02793141,-0.02034391,0.036953044,-0.142649097,0.061800794,0.465163775,-0.003996034,-0.022458027,-0.191601353,0.282976074,-0.088431624,-0.18947072,0.167995526,0.542812209,0.085853295,0.01359769,-0.442776366,0.064211635,-0.12838851,0.046956446,-0.128966676,-0.042560951,-0.131010098,0.014296063,-0.018147179,-0.059220038,0.021138566,0.19163516,-0.097993355,-0.103702301,0.210766267,-0.192008367,-0.077365458,0.000586154,5.97E-05,0.001384851,0.009339396,0.026825444,-0.073544171,-0.03504574,-0.002901328,-0.038339923,0.246662967,-0.070777399,0.199195921,-0.107197336,-0.144094201,0.133594424,-0.065647965,0.104343696,-0.072172985,-0.166328535,0.038895593,-0.163355277,0.247280013,-0.11771298,0.270060158,0.01322208,-0.041644443,0.066037428,-0.098354107,0.101817271,-0.013072656,-0.038520512,0.010003932,0.024689709,-0.038238287,0.211691471,-0.018267058,-0.16782718,-0.038143901,0.015781375,-0.079230088,-0.03628961,-0.01341298,-0.198171137,0.239995525,-0.094676154,-0.09974385,0.119842136,-0.145252004,0.291944162
-0.053852115,0.188962266,-0.122401222,0.215313395,-0.001173921,0.093195713,-0.063695207,0.037285795,-0.069565669,0.161004059,-0.067501613,0.259799511,-0.112172935,0.177333546,-0.063735791,0.024579447,-0.007562305,0.027191242,-0.020394645,0.048852483,-0.142463301,0.063540716,0.465162423,0.009620968,-0.027753584,-0.188055375,0.271063779,-0.088624316,-0.196795748,0.166639084,0.546333719,0.026858769,0.013406372,-0.434670501,0.063338783,-0.117038235,0.046331485,-0.099602664,-0.050124267,-0.114507334,0.003338073,-0.016971965,-0.062120547,0.030946634,0.170674382,-0.103256416,-0.081276893,0.2013836,-0.184494779,-0.07670662,0.00057658,6.00E-05,0.001387373,0.009188663,0.027218066,-0.078599244,-0.035131632,-0.002907689,-0.038737867,0.226970944,-0.073168718,0.225169682,-0.105202019,-0.126148744,0.111786044,-0.06857762,0.13303821,-0.07686926,-0.154116801,0.019876983,-0.170243722,0.228148729,-0.125453762,0.256668103,0.014129247,-0.041773997,0.077705742,-0.103179432,0.105108896,-0.013462986,-0.029241327,0.010608469,0.042059445,-0.039560277,0.195561262,0.010779514,-0.176489343,-0.046418906,0.046724626,-0.080061495,-0.009034755,-0.021939998,-0.201528618,0.225008157,-0.097805213,-0.077478333,0.099641571,-0.153225311,0.298150342
-0.05575118,0.174983419,-0.132376643,0.211242448,-0.004450482,0.115911682,-0.06468924,0.064127364,-0.070150203,0.176988028,-0.072065364,0.260758931,-0.117797721,0.159618551,-0.069915742,0.016689975,-0.008980582,0.026455774,-0.020434892,0.0595261,-0.142260884,0.065491638,0.463950346,0.024421992,-0.032254662,-0.181995144,0.256760416,-0.088249576,-0.203322695,0.162847769,0.541896087,-0.033666645,0.013242933,-0.427314025,0.062470236,-0.103414113,0.045857423,-0.069431347,-0.056651643,-0.095719106,-0.006325612,-0.014544267,-0.064334248,0.041882333,0.149481149,-0.109210305,-0.056576261,0.189693766,-0.174603975,-0.075356906,0.000567014,6.03E-05,0.001389769,0.00903568,0.02765013,-0.083376616,-0.035213237,-0.002914039,-0.039135983,0.205668544,-0.076385344,0.248707611,-0.103309003,-0.105305088,0.090090589,-0.072505245,0.160444395,-0.080148694,-0.13889639,0.002262308,-0.176066873,0.20739071,-0.133729501,0.240684285,0.015054722,-0.041897607,0.086919074,-0.108824336,0.10704895,-0.014107014,-0.019676157,0.011131934,0.058741313,-0.041302507,0.177750327,0.040606693,-0.184071536,-0.05306183,0.077899012,-0.080706207,0.019181039,-0.029017882,-0.203028118,0.208033452,-0.101729378,-0.05305125,0.080081741,-0.161038316,0.300530186
-0.057548149,0.159301538,-0.14245962,0.204327843,-0.008416354,0.136425755,-0.065897132,0.090069265,-0.071125424,0.189941091,-0.07740829,0.258651973,-0.123971591,0.140634671,-0.074912146,0.009960877,-0.010850066,0.025725053,-0.020465467,0.068863449,-0.142026963,0.067478204,0.461451752,0.040168764,-0.03606258,-0.173301871,0.240430517,-0.087520817,-0.208833317,0.156713805,0.529980895,-0.094864992,0.013113961,-0.420869565,0.061617449,-0.087651834,0.04552025,-0.038919087,-0.062248418,-0.074861977,-0.014738526,-0.010758819,-0.065733804,0.053950594,0.128408209,-0.115834904,-0.02990308,0.17601673,-0.162215687,-0.073336562,0.000557457,6.06E-05,0.001392038,0.008880445,0.028122889,-0.087790173,-0.0352906,-0.002920379,-0.03953425,0.183219126,-0.080475456,0.269405187,-0.101691175,-0.081775074,0.06887294,-0.077445069,0.186051272,-0.082178713,-0.120736549,-0.013779052,-0.180508592,0.185435369,-0.142336833,0.222501322,0.015982986,-0.042013964,0.093567827,-0.115222373,0.107618333,-0.015083572,-0.010003782,0.011515121,0.074446069,-0.04347548,0.158679716,0.070679043,-0.19024077,-0.058225224,0.108750622,-0.08135554,0.047872584,-0.034762247,-0.202406422,0.189466781,-0.106492151,-0.02679958,0.061427612,-0.168419288,0.299153073
