Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,Segment 9,Segment 10,Segment 11,Segment 12,Segment 13,Segment 14,Segment 15,Segment 16,Segment 17,Segment 18,Segment 19,Segment 20,Segment 21,Segment 22,Segment 23,Segment 24,Segment 25,Segment 26,Segment 27,Segment 28,Segment 29,Segment 30,Segment 31,Segment 32,Segment 33,Segment 34,Segment 35,Segment 36,Segment 37,Segment 38,Segment 39,Segment 40,Segment 41,Segment 42,Segment 43,Segment 44,Segment 45,Segment 46,Segment 47,Segment 48,Segment 49,Segment 50,Segment 51,Segment 52,Segment 53,Segment 54,Segment 55,Segment 56,Segment 57,Segment 58,Segment 59,Segment 60,Segment 61,Segment 62,Segment 63,Segment 64,Segment 65,Segment 66,Segment 67,Segment 68,Segment 69,Segment 70,Segment 71,Segment 72,Segment 73,Segment 74,Segment 75,Segment 76,Segment 77,Segment 78,Segment 79
11.497205153538532,-1372.6909805102805,-252.14452351198892,-791.2664617767106,-48.55569216873024,-245.85544825467292,-381.147923013605,-224.4733119345273,945.4273341791944,-359.1611643586103,-378.8506045057178,-876.933672567026,77.72056028234243,929.0663629246254,-1.8218493696174287,-321.67555499484706,-537.5771150371081,653.2447671256972,-263.71869464019585,-816.753605094554,-499.6323455086056,544.3828025800544,62.35205596728864,-384.40046853668815,175.012155794534,795.706180592474,637.791294144578,572.9729838957709,-668.5737594533653,486.39180396557,142.14394815188916,-727.1026698891413,-25.3822945761002,307.96982934832226,79.82031155309124,-485.7970308541756,-216.1839809008904,-483.0403334283994,916.2099023988976,83.01550746567008,-469.0733602942916,-828.9334123839634,173.20394416866333,-240.31265967419225,-449.8379783370548,1105.2961024900062,334.4218883735708,111.6970522205156,525.99692071835,1008.7238447712504,-81.26141289777973,823.5768207954413,-249.2866552831524,-401.25950601658633,-891.7751183837225,221.4294192292443,990.6984429748962,1165.0763510018835,557.0679745822566,845.0582248754147,859.0907159513048,1369.2786386767118,937.55573653823,667.8336063744749,-270.06685367269745,-126.39796281205882,-320.3469374228928,-784.1031111175693,-46.70672443141331,801.6490014045224,566.7636813094632,545.74877187712,-326.23645382438684,-417.0520292275892,-681.0136114159619,-854.3144861920108,-768.961928809143,-596.1898544526084,-1209.4513882867573
-13.916327490282413,-1359.9989495315035,-336.7067146691222,-722.7574297030019,-95.76500560956798,-222.5453433422311,-390.1911254043965,-140.31668290468048,912.2446989272312,-386.6783329759566,-383.5018545627804,-898.7118539571526,164.99094528648732,864.7509717949,-10.55942914145707,-341.35816564482224,-464.31332259699576,624.9861878352484,-299.7299369565461,-823.8423065725503,-478.80611042215656,652.4465022448372,19.122995793929352,-405.1596586550703,275.07324845701845,761.4945487316194,600.2201007068505,489.0257867608759,-683.3035763590315,521.6188353278529,74.66420279224016,-747.2737981058024,43.55271328746741,272.1201024089978,52.168790798643805,-499.02046561207976,-232.4406632371008,-449.9475711227632,977.8115546927244,36.91529118271322,-475.20082632739786,-845.434511492175,99.5432710333077,-254.2553343914546,-433.1684202564797,1192.6852933735702,266.19140722636047,60.150493134133136,472.76447777887887,954.4880996835536,-95.33266125495685,823.1139421159336,-264.2709734415289,-411.78376578692416,-893.2380682353663,283.2661824486046,1081.3192981072564,1212.8762086024592,639.7411990923812,873.292250224248,844.4767442267157,1364.4361045361534,990.0154215434976,607.6295434601498,-283.40329679474786,-141.57143027005426,-336.39020212961003,-789.3693032771542,45.26903630077336,793.8915546602591,499.863218798784,478.1979471914944,-337.87464941296986,-405.0726259180466,-664.5502934011745,-854.9868397406476,-792.7145730231032,-608.8243788952333,-1255.7707203644638
-40.06336259701782,-1349.7592554223745,-419.6670383745079,-656.4108623036639,-139.17798734560762,-192.4772478589097,-396.1229537280663,-50.656694333753045,870.4313086097836,-410.1756105982713,-388.7146055612978,-917.7738501711672,249.6762550786505,798.5363249158236,-17.056004584915314,-362.05748665303474,-383.2953010580985,588.2373217252522,-330.5257079477843,-829.7695724553097,-450.0829038192696,757.767487400082,-18.98602000420774,-426.0064372037454,376.9544422012714,715.2684083516774,557.2289688020959,405.2618253609844,-698.9543959450076,544.3440258503889,8.121987459120554,-764.2215911938056,108.4370588867507,230.3897490744886,26.450157973856392,-512.429052372658,-249.8892140659325,-408.7172963441722,1029.6052866225127,-5.431261763890759,-481.8880861338731,-858.6772943108492,24.046934514886424,-269.6039722704234,-408.2773443116451,1268.1264781304374,198.33293148157912,12.569289874257858,420.0912412848773,897.6055259594151,-109.02861035489056,812.8771408861403,-276.6836275928202,-423.40072631995,-888.2855442846208,345.3753267048933,1161.8853836285682,1249.242320847337,714.2856497133474,890.1145100192907,819.3011237051745,1348.9025134955382,1032.391335618263,542.897610230059,-296.4728131257869,-157.41141096485174,-352.9082733899811,-789.8613560220631,137.3747687241512,775.3521674242403,434.8648740272768,414.7895328325337,-347.380899256748,-385.9387239777043,-642.1080367246097,-850.2864294726892,-814.1214833647844,-618.8965999791944,-1297.445907671624
-66.59514579648314,-1341.464777079411,-500.4621020629416,-592.8908037907003,-178.9586468818061,-155.58730483665195,-398.2653544397898,43.37312481966335,821.0125995371012,-429.98776135764354,-394.5479154505517,-933.3811217850796,330.3260256525721,731.4061345136049,-21.80484048056528,-383.466237813725,-295.1761949103772,544.0292985981891,-356.2694272317106,-834.5987337747531,-412.99369311815457,858.9513186476913,-52.07294172039375,-446.4637951288127,479.24362144737614,658.2299105883894,509.79212265506334,322.8360889294406,-715.2155678451794,554.7152023783915,-56.936891203116296,-777.0624399530675,168.23824910419572,183.67993756857587,2.737103824999015,-526.1416184060068,-268.47087486166095,-359.17651614549345,1071.1036825040771,-43.92201702360669,-489.24629175056856,-867.8783670671418,-51.96477545199912,-286.4165416721003,-374.5891158947388,1330.7238737925595,131.85633731359272,-30.69479316557227,368.4871833564361,839.1693631225859,-122.50339738335002,793.4321480508906,-286.9466845150162,-436.1790162605953,-876.1245314879429,406.82990862156777,1231.3293301623935,1273.9179961877498,779.6695925584341,895.5521758606931,784.456254724982,1323.2563568925566,1064.274969639603,474.91676218517824,-309.51420629860564,-173.86966302828472,-369.6246427426762,-784.7487257642975,228.1030716331433,746.6871029141192,372.3733597311629,355.81101317942847,-355.17538594062654,-358.8899758074353,-613.2331358671178,-839.4915183492151,-832.4780301086221,-625.7198232225595,-1333.5944371265234
-93.123668089003,-1334.5289289381883,-578.5413221691612,-532.7925360604198,-215.31880685698485,-111.98439831695124,-395.935241457276,140.4969707938153,765.1010691490161,-446.4883099813544,-401.05836776238186,-944.76677695665,405.5596357215929,664.280480002579,-25.28515138890702,-405.20523986767455,-200.79824233405287,493.4992329147908,-377.2200819434927,-838.4302854869749,-367.2390781789479,954.6527828947876,-80.33309471912611,-465.9769339440208,580.4881030716118,591.7627242162458,458.9085283850925,242.781332945175,-731.7066796540317,553.1301215791823,-120.01108007346484,-784.8879279355991,222.037992551444,132.93648087009942,-18.94753870346887,-540.2632490156645,-288.0678780040523,-301.3240603427917,1102.013394352046,-78.54694687011455,-497.3775261906315,-872.2436285466886,-127.25853723052032,-304.7129424954375,-331.6920166295326,1379.846516001439,67.66036677368857,-69.40945504817624,318.3836676632872,780.2408529865104,-135.90182903382862,765.4943445943999,-295.47525460658136,-450.1661013997677,-856.0316922620174,466.6954463842273,1288.8021326893709,1286.862749411287,835.0574135155867,889.8586949089402,740.9877262100084,1288.211995160485,1085.4576220994668,404.9459332214189,-322.7348284193275,-190.85708468208423,-386.19000187167376,-773.2231887330483,315.9388402835477,708.7255249606579,312.8813435224548,301.43016819692065,-361.66167258417096,-323.29439184893727,-577.5582715225624,-821.9405182410522,-847.0407695854021,-628.5846125101266,-1363.3950278518494
-119.2157273592342,-1328.312012700191,-653.3750353353711,-476.6308279961045,-248.50659535779232,-61.95949600368992,-388.4655126013808,239.32807862278585,703.8663294231554,-460.074631458798,-408.2993480316374,-951.15699891439,474.10280809564654,598.00063328349,-27.95619165316229,-426.82159697473344,-101.17990954475704,437.8562263893016,-393.7161972129614,-841.3998699225713,-312.7126606932037,1043.6023180279933,-104.04485773823362,-483.9161655174519,679.2312904185916,517.3986522962687,405.5763597193721,165.992741447954,-747.9728909913274,540.2122323164348,-180.6588840121981,-786.7916677752755,269.0563231977176,79.12517242498788,-38.62547847397051,-554.8887716910144,-308.4947229079686,-235.3443220686568,1122.2350785641938,-109.3780564817333,-506.3758887043408,-870.9919365975825,-200.71234006463547,-324.46837410860104,-279.3631122633985,1415.1357028132322,6.519161145013429,-103.45905807680693,270.1327138609868,721.8236624098278,-149.3571064262497,729.9052538437219,-302.6669261277058,-465.3841819663684,-827.3834554312663,524.0534141249648,1333.6880807846633,1288.2464967590822,879.8245201692223,873.5006926120707,690.0608082571919,1244.597854317267,1095.9283392785092,334.1948826271223,-336.3132138680442,-208.23592842118333,-402.1802177343216,-754.5277882219243,399.4008569782082,662.4430711515632,256.7680267317145,251.7030853289726,-367.2213554667758,-278.67811290354945,-534.8245581607035,-797.0601456550725,-857.0458049436637,-626.7797187531028,-1386.1100250330517
-144.3884887162906,-1322.1483293180625,-724.4633355260202,-424.8306254931073,-278.79573608302707,-5.988605656235655,-375.2279508085005,338.40423359988387,638.5052597656482,-471.1543643181474,-416.3188784148055,-951.7955832684146,534.8203843874129,533.3168719181814,-30.25274889743062,-447.7892129908104,2.50326237628586,378.34693040146107,-406.1591813995848,-843.6748773908527,-249.5187500090501,1124.630164418635,-123.554640878312,-499.58318313553485,774.0492235547283,436.7819536863057,350.76899898620417,93.21725874104982,-763.4823298793158,516.782106559956,-238.5112866230043,-781.8993994012845,308.67087950338424,23.20785241434674,-56.356940979781015,-570.1052640765757,-329.4906753959199,-161.6155711269367,1131.8583858021366,-136.5580943892686,-516.3272460913079,-863.3812075145423,-271.33484598424485,-345.6063832309245,-217.58828025288656,1436.5043312093287,-50.92683409244274,-132.83979547787115,224.00870402550865,664.8413288337658,-162.9884624120916,687.6067231788445,-308.893321037406,-481.8248623368326,-789.6855945342921,578.0241767336233,1365.6128740944346,1278.4386363712056,913.5658980861192,847.1393928173956,632.9250759588199,1193.3333260175034,1095.8667903316516,263.79813948612764,-350.40238245355897,-225.8127436445793,-417.0971802629231,-727.9871876877723,477.082246351855,608.9326813361359,204.300893358398,206.58455079502204,-372.21056771786266,-224.75216723159653,-484.9022620109649,-764.3932043305624,-861.7303383260246,-619.615765238309,-1401.1072309299848
-168.10714246915097,-1315.3729515903226,-791.3454994174872,-377.7204157240352,-306.4759192748836,55.27101311315648,-355.657253962061,436.22603701091685,570.2131140354395,-480.1335138576885,-425.1560224258912,-945.9708737666886,586.7442792537598,470.8794277778044,-32.58183530091792,-467.5120095590151,108.94354623922732,316.22180710701883,-414.9965786789663,-845.449640320643,-177.98341400167962,1196.687874263878,-139.26170840318875,-512.220979781224,863.5856712477646,351.63224592505577,295.41319693780514,25.047664843796785,-777.6262069435114,483.8256513387523,-293.2822525470841,-769.4013811052562,340.4307769085778,-33.88015220690236,-72.23419950796173,-585.993276480802,-350.7140884550908,-80.71216420391168,1131.1524231689723,-160.2885570157735,-527.3075325616057,-848.7361598648565,-338.2795106652616,-367.9919607840964,-146.57625908337286,1444.1286277590568,-104.17559847515908,-157.65310145409944,180.2122722403393,610.1182140872412,-176.89862815528343,639.6136633997196,-314.4938690325354,-499.4427898024717,-742.6009554002017,627.7885584411772,1384.4449877887048,1257.9925721016132,936.0983827782412,811.6073428248421,570.8784210556922,1135.4050351648336,1085.6316049543152,194.7926377364024,-365.1333855881212,-243.3325743405077,-430.3728910064053,-693.0382317257989,547.6883120413457,549.3736160690821,155.6403752647147,165.94033025728092,-376.95808489955743,-161.43494324064818,-427.8090703367779,-723.6247713908273,-860.3568859287238,-606.4509536266131,-1407.8805055423773
-189.7852135825288,-1307.3471821007106,-853.6097345338134,-335.5284241765085,-331.8444516767176,120.99143327352368,-329.27529917073826,531.2963909956566,500.15636860672765,-487.4065037511574,-434.8359571884264,-933.044184048673,629.0957816403798,411.2326229475801,-35.32032413286221,-485.330137066602,216.73082186132,252.7031550479392,-420.70571274913726,-846.9392326168478,-98.65816032418098,1258.866898639781,-151.60334862312615,-521.0275445975983,946.5845414892498,263.7068591686699,240.36991498797747,-38.07867902012429,-789.7222336992847,442.4602194246242,-344.7759176028919,-748.5858650256797,364.06474950111306,-91.25061954525567,-86.37492139572024,-602.6265336769133,-371.7391239595559,6.5997702538960095,1120.5522191906553,-180.81748147634408,-539.379564868448,-826.476741451057,-400.853420436029,-391.42512444134593,-66.76580295465524,1438.4330066242314,-152.86404169889437,-178.09757266073518,138.8760406046578,558.3643234205464,-191.17107136095527,586.9862232769004,-319.7717896695213,-518.1485504021333,-685.973968001369,672.6073420909682,1390.290583201399,1227.626328472703,947.4569094191372,767.8813419507348,505.2316713641485,1071.8431010282288,1065.7448067939886,128.0994930040797,-380.6186693478951,-260.4749295537448,-441.3770512827596,-649.2593897862521,610.0704554942165,484.9996055506082,110.8471011091204,129.5608047882274,-381.7647021450116,-88.86919104751662,-363.7247998772268,-674.6055159796969,-852.2394338252383,-586.717873775629,-1406.0684258520537
-208.7879978184785,-1297.4818638399329,-910.902845858909,-298.38171890827005,-355.19929818919263,190.1911787220244,-295.7146417063729,622.1596692061236,429.4480074223914,-493.34832411650257,-445.3638984216203,-912.4786170053768,661.301649962057,354.8121506349399,-38.81324784398823,-500.5293714518547,324.3862076707922,188.9558559461294,-423.7781495944407,-848.3719273779885,-12.315857499093903,1310.4140410964042,-161.0408337791527,-525.1733026837209,1021.9185800168668,174.76349050849365,186.4182601351376,-95.87663569346562,-799.0218219008665,393.899700605194,-392.8904187956158,-718.8722517382116,379.48346887143305,-148.08052690136037,-98.915573346138,-620.069970694318,-392.0554108066034,99.37330687215774,1100.6418030348073,-198.4274834524097,-552.588424829483,-796.1461325672009,-458.5210052645944,-415.635471168038,21.17468116618991,1420.068963548432,-196.7645524825394,-194.45965686857184,100.07180157263764,510.1642153988743,-205.86698128750632,530.8022601733895,-324.9921710813988,-537.8011964869972,-619.8506316800737,711.8381252462794,1383.4824571506338,1188.1999643270874,947.8851734862894,717.0525484572867,437.2749433200231,1003.6979692554412,1036.8730435799855,64.51022433343275,-396.9548531764301,-276.8520108773157,-449.428274946996,-596.3976931159534,663.2551033202687,417.06705484996377,69.89132983614951,97.17540512499602,-386.90349694658704,-7.432520739499386,-293.0015179891014,-617.3708968823271,-836.7706309774201,-559.9503483253204,-1395.470277914237
