Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,Segment 9,Segment 10,Segment 11,Segment 12,Segment 13,Segment 14,Segment 15,Segment 16,Segment 17,Segment 18,Segment 19,Segment 20,Segment 21,Segment 22,Segment 23,Segment 24,Segment 25,Segment 26,Segment 27,Segment 28,Segment 29,Segment 30,Segment 31,Segment 32,Segment 33,Segment 34,Segment 35,Segment 36,Segment 37,Segment 38,Segment 39,Segment 40,Segment 41,Segment 42,Segment 43,Segment 44,Segment 45,Segment 46,Segment 47,Segment 48,Segment 49,Segment 50,Segment 51,Segment 52,Segment 53,Segment 54,Segment 55,Segment 56,Segment 57,Segment 58,Segment 59,Segment 60,Segment 61,Segment 62,Segment 63,Segment 64,Segment 65,Segment 66,Segment 67,Segment 68,Segment 69,Segment 70,Segment 71,Segment 72,Segment 73,Segment 74,Segment 75,Segment 76,Segment 77,Segment 78,Segment 79
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,2,2,2,2,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-29.53869407,316.9486143,-392.3810681,-215.0072951,-236.8053137,-293.97975,10.1038234,314.595267,488.3737967,-22.41599951,-180.0602463,-291.2839729,-350.9552626,-29.33806287,648.4730863,353.7223546,-96.16464501,-337.7114921,-797.2052289,-323.3858524,232.3152088,660.3252802,412.5070302,-43.46107101,-8.055251208,-141.5115476,-337.2012133,-251.0046525,-363.7984644,-385.7169075,26.27104337,316.2602458,160.7098536,476.3736964,497.8208916,47.20658186,302.1823498,183.6953276,101.9402341,287.2696008,84.59695742,437.155527,445.076286,238.2073186,615.0514525,351.4620359,-98.35434845,29.36298868,483.0450608,41.0947275,-0.744486051,-319.028886,96.27191209,290.7976812,347.0830766,-72.45519996,-298.2420537,-340.1757017,-285.2221213,114.2808998,325.2917709,361.4101759,-329.4779169,-325.3650429,-24.00802538,475.5273956,221.583972,-321.448348,-349.8138702,-36.52191747,576.8431898,-60.21279502,-350.8769792,-99.28967876,276.6466744,272.6759789,-533.1959184,-58.06301498,292.702837
-0.477351363,311.8789053,-397.3948256,-224.8966162,-250.829363,-291.5832985,63.9109968,328.0884435,461.1213889,-44.1169328,-189.3724569,-310.8479004,-337.2688524,12.86223989,651.334995,324.6870513,-108.6262559,-353.1170123,-780.9984255,-281.8098399,275.2526257,654.6852409,388.7364439,-65.87004485,-22.64915891,-149.5913498,-351.2601144,-261.4518317,-352.9680135,-351.3775234,86.71980179,350.426345,172.3946369,457.2668938,473.0584706,21.16159486,272.3712409,155.469397,72.38619102,258.0772912,56.21762146,409.7442661,424.3332676,223.889866,613.9894262,387.2984362,-49.61526684,91.76167998,475.9204152,40.93479242,-2.028637355,-317.9852052,90.54456461,266.2908907,351.2414329,-40.41495878,-268.9922416,-354.0605621,-294.8960963,84.96168849,297.2376582,394.5281262,-307.0293377,-337.8142734,-42.03102164,438.6533068,244.3286272,-293.1778162,-364.3545516,-50.08967854,552.4325345,-6.078839764,-365.4568049,-110.1907632,243.5029005,330.5272422,-544.9141725,-70.03262882,270.6187197
27.98799909,304.8155575,-399.070536,-234.3905373,-265.254237,-285.537866,118.4811595,336.965866,431.64915,-64.11593073,-198.8263597,-329.9164753,-319.2027798,54.02201543,648.5416494,295.3533948,-120.3814627,-368.2557867,-762.5781877,-237.8339375,314.0347627,643.6243693,363.0208592,-86.74327614,-36.09187386,-157.7814467,-365.4347039,-269.9420074,-337.7062269,-314.237023,147.1814335,381.4932427,179.8484098,435.3857477,446.648058,-4.199926298,242.9963696,127.8382485,43.87802702,229.4234368,28.52237179,381.5254355,401.5455433,206.8883729,608.1343575,419.0653673,-2.238506513,154.854412,468.0250913,40.16936912,-3.341650539,-317.0823671,85.10074708,240.3741819,352.2455736,-9.634360069,-234.7339056,-367.148121,-304.5713246,57.24894703,267.8253715,422.8574544,-279.2327167,-350.4236212,-58.43640628,401.4192087,263.2819081,-259.636039,-379.7478851,-62.52870683,525.5859152,47.32686446,-378.2756381,-120.4530952,209.786062,386.6968434,-554.712413,-80.67284773,245.9774361
55.18225603,295.9241929,-397.4173127,-243.6631185,-279.9154331,-275.5710784,173.1095933,341.2804487,400.4572152,-82.40981548,-208.6278781,-348.083319,-296.6464707,93.54121208,640.3485352,266.068857,-131.602681,-382.8593656,-742.0049537,-191.8650131,348.0798928,627.5390518,335.8099516,-106.0640883,-48.54767615,-166.2696832,-379.5528869,-276.0769696,-317.8650074,-274.7682696,206.7302392,409.1158456,183.1297459,411.1441739,418.9889014,-28.6068948,214.3105284,100.9983272,16.59295152,201.5643906,1.812531463,352.8692289,377.1230526,187.6072892,597.8218135,446.4341943,43.08665703,217.7400316,459.1720721,38.8695401,-4.662292085,-316.4409649,80.0619809,213.4748595,350.199085,19.44260662,-195.6537309,-379.0698148,-314.3638973,31.33834814,237.5323934,446.1032114,-246.1738669,-363.0582521,-73.34668617,364.2720486,278.2752465,-221.0030558,-395.8439496,-73.97164887,496.7697875,99.27325383,-388.9141514,-130.3040702,175.9369265,440.4309135,-562.2169909,-90.1218554,219.2010997
80.46536428,285.3907353,-392.5082411,-252.8847871,-294.5949783,-261.4789805,227.0846194,341.1625365,368.0376311,-99.03157929,-218.9615123,-364.8946398,-269.5779176,130.8494674,627.0864079,237.1469958,-142.4646207,-396.6257066,-719.3780269,-144.374189,376.9114563,606.8953616,307.5427468,-123.857626,-60.19855128,-175.2235056,-393.408512,-279.4618153,-293.3854201,-233.5022861,264.4632253,433.0191347,182.3734768,384.9601369,390.4630207,-51.83430675,186.5291324,75.11147631,-9.337439891,174.71382,-23.66158429,324.1218886,351.4650247,166.4643985,583.4406051,469.164731,85.7159285,279.5086463,449.1625529,37.11057611,-5.969792447,-316.1903353,75.54399097,186.0018947,345.2536448,46.40379233,-152.0503814,-389.4372461,-324.3787177,7.441649824,206.8076127,464.067806,-208.0581789,-375.5577849,-86.90247279,327.6145339,289.211613,-177.576109,-412.4401681,-84.56606756,466.4476788,149.0522377,-396.9517792,-139.9715234,142.3577723,491.0238834,-567.0506686,-98.53536368,190.7169635
103.2493204,273.416857,-384.4754793,-262.2181208,-309.0225801,-243.1368203,279.703472,336.813608,334.8650613,-114.0478887,-229.9843173,-379.8580237,-238.0697609,165.4195013,609.1514011,208.8635871,-153.140348,-409.2243934,-694.8343336,-95.88841379,400.1663984,582.2149662,278.6390521,-140.1863714,-71.23907065,-184.7835138,-406.764083,-279.717248,-264.3050497,-191.0167647,319.5223299,453.0013994,177.7840229,357.2476311,361.4300595,-73.70514643,159.8294619,50.30674375,-33.82538402,149.0427435,-47.70255263,295.6008555,324.9523278,143.8802922,565.4200871,487.1072214,125.0644454,339.2656814,437.7907112,34.96994957,-7.244722991,-316.4655538,71.65427345,158.3386935,337.6028163,70.87943831,-104.3320673,-397.849202,-334.7061706,-14.21427675,176.064905,476.6518687,-165.2099892,-387.7339149,-99.26062913,291.8011743,296.0643942,-129.7664328,-429.2810652,-94.47235771,435.0715339,195.9946824,-401.9790857,-149.6786508,109.4072894,537.8326191,-568.8417036,-106.0825857,160.9487177
123.0132759,260.2153016,-373.5046182,-271.8135339,-322.8787868,-220.5077373,330.2873631,328.4985166,301.3884304,-127.5563994,-241.8201683,-392.4534661,-202.2926111,196.7791531,586.9940692,181.4537921,-163.7972573,-420.3031707,-668.546415,-46.97965648,417.5999867,554.0601475,249.4918278,-155.1451367,-81.87083678,-195.0570692,-419.3544001,-276.4925055,-230.7625921,-147.9228754,371.1149111,468.9352948,169.6272911,328.4093934,332.2229059,-94.09107951,134.350747,26.68261502,-56.82436469,124.6805259,-70.16668953,267.5908498,297.9409802,120.2685727,544.2173711,500.2016726,160.6191591,396.155217,424.848784,32.52561541,-8.469783112,-317.4038473,68.48946837,130.8370803,327.4751096,92.5514394,-53.0104452,-403.8997383,-345.4183146,-33.39030321,145.6781916,483.8525966,-118.0679575,-399.3687447,-110.5924025,257.1356741,298.874543,-78.09219504,-446.0594785,-103.8612265,403.0739042,239.4851408,-403.610869,-159.6385918,77.39692323,580.288338,-567.2340726,-112.9419831,130.3085746
139.3162678,246.005179,-359.8284884,-281.8048783,-335.8002887,-193.6488732,378.1953,316.5365489,268.0236485,-139.6828776,-254.5544551,-402.1465256,-162.5153811,224.5217063,561.1076675,155.1103629,-174.5929198,-429.4957169,-640.7196378,1.747812062,429.0872132,523.018448,220.4606513,-168.8557,-92.296553,-206.1121392,-430.8911541,-269.478482,-192.999338,-104.850865,418.5318548,480.7668198,158.2214179,298.8304472,303.1440804,-112.9119633,110.1950084,4.309468327,-78.32588971,101.7166452,-90.96394414,240.3409127,270.7569323,96.02703984,520.3048512,508.4747482,191.9488381,449.3817494,410.1324466,29.85453151,-9.630437166,-319.1404943,66.1325937,103.8125644,315.1265791,111.1610319,1.309030196,-407.1872893,-356.564717,-49.83980342,115.9779289,485.7597729,-67.17656117,-410.2141625,-121.0813786,223.8696016,297.7461938,-23.16781997,-462.4194048,-112.9106837,370.8611,278.9749647,-401.4995813,-170.0486918,46.58864766,617.9061146,-561.8986175,-119.2968469,99.19023544
151.8072108,231.007337,-343.7205797,-292.3049805,-347.3873984,-162.7145216,422.8363158,301.2916021,235.1475091,-150.5780935,-268.2293547,-408.4033609,-119.1025212,248.3142171,532.0159919,129.9828565,-185.6707994,-436.4305291,-611.5886391,49.67152617,434.6209909,489.6874776,191.8663834,-181.4612542,-102.7138042,-217.971588,-441.0684774,-258.4205575,-151.3573457,-62.43499207,461.1627666,488.5123875,143.9266559,268.8725451,274.4628856,-130.1342302,87.42854145,-16.76793605,-98.3557893,80.20303529,-110.0569001,214.0624044,243.6921736,71.53004919,494.158384,512.0345158,218.7114834,498.2296054,393.446488,27.03137493,-10.71535576,-321.8043176,64.65021138,77.5409008,300.8332231,126.5146918,57.94001015,-407.3247101,-368.1681025,-63.31524521,87.24893467,482.5497089,-13.17400985,-419.9925801,-130.9211026,192.2022434,292.8409723,34.3099071,-477.9606258,-121.8025155,338.8073841,313.9935039,-395.3485914,-181.0844953,17.19410448,650.2918879,-552.5447966,-125.3307683,67.96280475
