AE_0,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16,AE_17,AE_18,AE_19,AE_20,AE_21,AE_22,AE_23,AE_24,AE_25,AE_26,AE_27,AE_28,AE_29,AE_30,AE_31,AE_32,AE_33,AE_34,AE_35,AE_36,AE_37,AE_38,AE_39,AE_40,AE_41,AE_42,AE_43,AE_44,AE_45,AE_46,AE_47,AE_48,AE_49,AE_50,AE_51,AE_52,AE_53,AE_54,AE_55,AE_56,AE_57,AE_58,AE_59,AE_60,AE_61,AE_62,AE_63,AE_64,AE_65,AE_66,AE_67,AE_68,AE_69,AE_70,AE_71,AE_72,AE_73,AE_74,AE_75,AE_76,AE_77,AE_78,AE_79,AE_80,AE_81,AE_82,AE_83,AE_84,AE_85,AE_86,AE_87,AE_88,AE_89,AE_90,AE_91,AE_92,AE_93,AE_94,AE_95,AE_96,AE_97,AE_98,AE_99
0.69633985,0.43032518,-0.46449336,0.17524873,0.5669002,0.5129285,-0.10937291,-0.035156786,0.3433026,-0.20594798,0.41551745,-0.17198065,-0.0196633,0.47875768,0.21199565,0.23520201,-0.35673475,0.21415678,-0.19073598,-0.034794547,-0.24007556,-0.018065944,-0.5714847,1.0,0.43258983,-0.20412335,-0.34223014,0.2133479,0.22958736,-0.46170095,0.5199498,-0.46589914,0.3628068,0.67568845,-0.3894206,0.59370935,0.33793256,0.6489538,-0.16837497,0.06074005,0.032529194,-0.22083667,-0.39206883,0.23201768,-0.13003089,0.036748957,-0.05591127,-0.27014732,-0.37166697,-0.185815,-0.0046459697,0.14138748,-0.15367016,0.6996293,0.2911884,0.53776085,-0.25449005,-0.99999267,0.5500521,-0.22094457,0.5095725,-0.26630387,-0.12199001,0.036181487,1.0,-0.15673085,1.0,-0.118945055,0.08513534,-0.17875345,-0.3328698,-0.18523689,-0.28229353,-0.36820287,-0.35412562,-0.48085403,-0.44612157,0.40441707,-0.04903635,-0.34317407,-0.35483122,-0.033998225,-0.5076913,-0.3585184,0.26209408,0.31224662,-0.605017,0.21810283,-0.27571315,-0.69383854,0.19586916,-0.42074946,0.2905135,-0.9960963,-0.093388975,0.19685362,0.61089975,-0.45454317,-0.3822624,-0.24945045
0.4827976,-0.31357855,-0.42758405,0.5931079,-0.16720422,-0.010641768,0.22679082,-0.42379832,-0.009552128,0.2795904,-0.57179844,0.00035908818,-0.078212164,-0.4610996,-0.37042308,-0.53704125,0.4884244,-0.57692057,0.06770432,0.55975765,0.3676604,-0.15702914,0.1388022,1.0,-0.51314706,0.32041112,0.10205156,-0.63894886,-0.6512413,0.47159684,0.065295465,-0.21583498,0.21314593,-0.051222116,0.3999454,-0.5275111,-0.41013598,-0.05658114,0.21613775,0.35602537,-0.30429018,-0.55149716,-0.33154917,0.033072587,0.3980746,0.21988484,-0.01969446,0.35721746,-0.2786969,-0.15349603,-0.3141429,-0.36919755,0.36213145,0.34670743,-0.2904216,-0.049800944,0.61634547,-0.99988174,-0.3135379,-0.41217372,-0.3089293,0.57259685,0.44193333,0.30084953,1.0,0.10547388,1.0,-0.6741054,-0.3444515,-0.09889111,-0.44954562,0.47369042,-0.22545949,-0.07782704,0.26100987,0.49915883,0.6458353,-0.28854248,0.28938088,0.3401803,-0.079845496,-0.3131004,0.25446936,0.0028849158,-0.54565173,-0.020716047,0.27362043,-0.5766627,0.1100019,-0.06989613,0.5876913,0.29092717,-0.6569104,-0.9942723,0.63418317,0.41632375,-0.47284466,0.3664013,0.66124237,0.3244925
0.16547698,0.4656169,-0.45582798,0.30716467,0.66099876,0.52575856,-0.45841601,-0.074792154,-0.2678799,-0.18744752,0.67784834,-0.2342195,-0.25267205,0.4025445,0.2302725,0.21299103,-0.33927915,-0.19156423,-0.54243624,-0.17713416,-0.2110485,-0.43081614,-0.47118416,1.0,0.26512137,-0.27451438,-0.17659186,0.15394372,0.112648316,-0.5346205,0.42676553,-0.43318623,0.44036964,0.1680865,-0.3599753,0.6599902,0.26152185,0.5367426,-0.21159624,0.13186418,-0.0027669596,-0.18094273,-0.40960217,0.545104,0.375868,0.0054169954,-0.30754527,-0.5045658,-0.4394174,-0.060648836,-0.22337224,0.3351812,-0.57816094,0.5514681,0.22995643,0.22156835,-0.47810084,-0.99998885,0.0019592615,-0.2705245,0.21846418,-0.31457254,-0.12599237,0.47147042,1.0,-0.12612784,1.0,0.15533563,0.11428885,-0.36122796,-0.51109004,-0.15061341,-0.3701811,-0.35685086,-0.23792678,-0.29890594,-0.30786353,0.5251961,0.20369545,-0.39112815,-0.1492905,0.22841018,-0.65543485,-0.050418027,0.32318684,0.19014966,-0.3128782,0.61543876,-0.31233656,-0.47248426,-0.037667375,-0.5023362,0.24359278,-0.99172366,-0.3865114,0.3713044,0.6327532,-0.32153335,-0.6081629,-0.25739163
0.08933192,-0.22502661,0.04878471,0.38571414,-0.3066285,-0.3542969,0.36829877,-0.63672197,0.15315525,-0.33875814,-0.4434196,0.22975048,-0.06714852,-0.24940994,-0.5186567,0.02643559,0.016949458,-0.36935622,-0.20606758,0.29626778,-0.14630283,0.20798519,0.17161022,1.0,-0.23947644,0.38817862,0.2103584,-0.67697185,-0.39356285,0.23964608,-0.40574628,-0.2681593,0.20358282,-0.49656403,0.13058689,-0.5146928,-0.4746153,0.052197292,0.5582562,0.14755692,0.1605222,0.18921264,0.12470645,-0.31339717,0.19823238,0.4568503,-0.5571414,0.31492943,-0.48350823,-0.45740804,-0.11848024,-0.19390324,0.15765634,0.50778043,-0.4813838,0.10180616,0.40408003,-0.99995285,-0.6119637,0.3375031,-0.6518931,0.4365515,0.028926702,0.5025756,1.0,0.45665938,1.0,-0.4629647,-0.36687836,0.11555435,-0.44629928,0.020486407,0.24384397,0.12929958,0.39144754,0.44842604,0.012957652,-0.62849855,-0.11470444,0.43086603,-0.54351574,0.14374162,-0.26634234,-0.24141397,-0.09324664,-0.3272874,0.6563667,-0.4187461,0.4670758,-0.01122183,0.60649365,0.44957867,-0.62066454,-0.9857712,0.4366563,0.12216106,-0.6578338,0.21317069,0.57525975,0.32660154
-0.5270322,0.5478577,-0.063017905,0.07104533,0.52746254,-0.026327332,-0.62438685,0.26987785,-0.6831488,0.020101273,0.6800909,-0.54211354,-0.0305801,0.053667065,0.15069373,0.22038677,-0.51212686,-0.11567525,-0.616786,-0.4962597,-0.2436991,-0.51065403,-0.21525212,1.0,-0.20496358,-0.09547567,0.34152687,0.3533161,0.3988444,-0.33175847,0.059399623,0.23027483,0.63624054,-0.27646703,-0.4375234,0.38129547,0.59683543,0.2761619,0.13482788,0.4299858,-0.34983745,0.20945442,0.18624593,0.30003873,-0.062141117,-0.0844876,0.037921775,-0.35617232,0.26657066,0.3957531,-0.5175657,0.2698489,-0.63274336,0.12088156,-0.23070522,-0.50151896,-0.46362507,-0.9999901,-0.18726823,-0.029318448,-0.4525115,0.29965967,-0.31466293,0.37803188,1.0,-0.17868768,1.0,0.6433098,0.30388993,0.35571146,-0.37540415,0.17705232,-0.5513302,-0.2911699,-0.030413093,-0.033099115,0.023993474,0.61552167,0.20489006,-0.65049595,0.17142892,-0.14389755,-0.4236581,0.25744677,-0.16060473,0.36083835,0.45589626,0.4742668,-0.3646134,0.30592373,-0.2846392,-0.54329544,0.5541011,-0.99432933,-0.47415876,-0.040386394,0.6037799,-0.35462144,-0.35332516,0.056914527
-0.37234843,-0.28572562,0.2968507,-0.39683983,-0.3862499,-0.09720573,0.60684484,-0.5614293,-0.013947832,-0.54556984,-0.4271323,0.24314944,0.099041134,-0.041016914,-0.060992368,0.41073945,0.12644786,0.009402623,-0.13567595,0.18964194,-0.46773118,0.47219568,0.4164413,1.0,0.15962389,0.52019465,0.27267355,-0.322669,0.29368252,-0.23815286,-0.5596424,-0.05081629,0.120534785,-0.46009624,0.19430868,-0.466387,-0.44379243,0.16597809,0.7070809,-0.18484786,0.43543375,0.60228944,0.5897243,-0.60745454,-0.19512369,0.39472544,-0.53743887,0.049123768,-0.5708779,-0.4362445,-0.03630222,-0.26708966,0.3227437,0.0784076,-0.22480063,0.18453485,0.24796721,-0.9999233,-0.32787183,0.53586024,-0.54952794,-0.09332559,0.010834746,-0.09688363,1.0,0.32119012,1.0,-0.041236244,0.06274553,-0.13233453,-0.40904123,0.0030238533,0.3064688,0.29778644,0.3855015,0.49662623,-0.5051875,-0.638088,-0.36580443,0.46863177,-0.54918784,0.25360057,-0.26403236,-0.39385414,0.27250284,-0.46674052,0.42289376,-0.3307919,0.61653495,0.14193812,0.23979467,0.58636695,-0.5127333,-0.9823078,0.22813806,-0.33861452,-0.5856103,-0.31790215,0.62507653,0.2279143
-0.45864347,0.32792833,0.16652146,0.041813564,0.36835808,0.11807781,-0.337479,0.40876973,-0.5851728,0.3940425,0.6897361,-0.52189916,0.032599393,0.037545543,-0.037318476,0.08771156,-0.49468386,0.03407069,-0.48279244,-0.5819384,0.17120306,-0.6708063,-0.13820894,1.0,-0.19579907,-0.07750397,0.42770734,0.28581607,0.284106,0.097023,-0.0008850988,0.50231564,0.43061835,-0.07892807,-0.41539955,0.36452168,0.41895977,0.20553921,0.028293682,0.41330156,-0.4127495,0.55934477,0.49836165,0.079553135,-0.3983008,-0.5993519,0.3738764,-0.21504466,0.20588894,0.5632801,-0.42635742,0.19828516,-0.4659129,-0.18524888,-0.25970912,-0.63961154,-0.44932425,-0.99999475,-0.013439978,0.1584717,-0.5640934,0.4038139,-0.2663408,0.059070442,1.0,-0.116907,1.0,0.5317501,0.09451911,0.16508912,-0.1871585,0.3447942,-0.60217947,-0.06416309,-0.06214218,-0.030403657,0.5336832,0.59349185,0.29781374,-0.6046236,0.1750839,0.022352008,-0.4275357,0.3246532,-0.24877644,0.6172552,0.39168632,0.3803117,-0.59270465,0.4361959,-0.45466802,-0.5188243,0.389607,-0.997948,-0.25413606,-0.36981153,0.33712283,-0.53257954,0.07650618,0.17004517
-0.53163195,-0.28516576,0.17000498,-0.44219342,-0.5081445,0.12367544,0.5637055,-0.44454965,-0.1507019,-0.30028117,-0.32319868,0.10852759,0.0071304715,-0.35828465,-0.021052526,0.43977478,0.046024617,-0.12099329,-0.24313158,0.2190765,-0.5972287,0.53213334,0.57558745,1.0,0.32938105,0.5402083,0.29194286,-0.36817667,0.14403258,-0.35343894,-0.6623066,-0.13168402,0.10361014,-0.5925534,0.23382388,-0.41173133,-0.62423265,-0.118139364,0.6692395,-0.26659015,0.5108451,0.51716197,0.50408864,-0.4707637,0.07283426,0.30546197,-0.60011107,-0.09085588,-0.49764654,-0.3576767,-0.034309026,-0.5431651,0.18590789,-0.09052271,-0.10251301,0.12576945,0.14297444,-0.99993825,-0.16445509,0.45032468,-0.46177894,-0.13477035,0.26936182,0.18768394,1.0,0.3576933,1.0,-0.12552011,-0.105633676,-0.1611979,-0.5458216,-0.10334058,0.28301257,0.30966285,0.40527016,0.5830554,-0.44429833,-0.5676218,-0.33900735,0.42018127,-0.39951798,0.33748466,-0.18388407,-0.29546085,0.3574323,-0.44489047,0.32702553,-0.03898503,0.6289241,0.23005947,0.22682738,0.59518826,-0.535953,-0.98712504,0.41257963,-0.38835433,-0.5010604,-0.23242845,0.47602972,0.10324998
-0.2141546,0.4168865,-0.23609227,0.19321235,0.44479942,0.3288251,-0.24680936,0.19174598,-0.53134704,0.38913295,0.7487629,-0.45549202,0.16622727,0.003693087,-0.09884554,0.23777208,-0.5258584,-0.06709421,-0.6480642,-0.477282,-0.1587711,-0.67835885,-0.51066804,1.0,0.012600646,-0.25651163,0.40253666,0.23415619,0.30458313,-0.08733464,-0.0018595732,0.26715174,0.56061417,-0.099997446,-0.49493837,0.4415739,0.584562,0.5877589,0.018544214,0.48533016,-0.15964194,0.25801283,0.1802527,0.14365987,-0.3455543,-0.45807302,0.28315392,-0.26169366,-0.07410996,0.61101437,-0.5834286,0.19654937,-0.5924888,0.28454977,-0.09837534,-0.51108646,-0.42799762,-0.9999915,0.06983202,-0.05198407,-0.41534457,0.30776864,-0.49062732,0.38673028,1.0,0.086294346,1.0,0.56453407,0.2714245,0.07709933,-0.3906158,0.039338656,-0.62549496,-0.25907367,-0.19306529,-0.18217899,0.174311,0.62771285,0.25823748,-0.733652,-0.21708263,0.23401974,-0.6742222,0.19226933,-0.010613995,0.5101656,0.2693596,0.39209446,-0.5958817,0.14860584,-0.14240824,-0.59713763,0.4628137,-0.99727714,0.057302218,-0.37074396,0.41526312,-0.5998691,0.019823635,0.12719297
-0.042471886,-0.043370973,-0.06828144,0.20102367,-0.34860227,0.19440095,0.61103696,-0.5036311,-0.1026986,-0.074926175,-0.43064743,-0.047218733,0.28464565,-0.49955335,-0.29916298,0.013319241,0.26946986,-0.48588645,-0.44653022,0.43323332,-0.40012312,0.4592175,0.3034567,1.0,0.002100226,0.45685908,0.45886827,-0.49920583,-0.12880307,-0.43394947,-0.42424062,-0.044192355,0.09019095,-0.5997452,0.4180025,-0.60900867,-0.583395,0.20921339,0.6282288,0.10921184,0.11632449,-0.055881865,-0.029399293,-0.20927246,0.39338022,0.5116661,-0.5978187,-0.16122626,-0.55920523,-0.44278988,-0.15511172,-0.657292,0.3742424,0.36915082,-0.27285784,-0.010983679,0.47022787,-0.9997357,-0.4192898,0.19271685,-0.2752848,0.06293583,0.32028013,0.3985867,1.0,0.032616068,1.0,-0.28764427,-0.27759585,-0.39097992,-0.5687663,0.27335036,-0.1350176,0.1213685,0.43830588,0.7387355,-0.18462332,-0.46665365,0.092373684,0.27815205,-0.28554899,-0.030279526,-0.007980951,-0.16450986,0.21865939,-0.23591273,0.37561196,-0.22088069,0.6598601,-0.03157644,0.39398903,0.51949036,-0.75810516,-0.98299956,0.54533935,0.21712227,-0.5429958,0.060895547,0.59496826,0.32363462
