Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,Segment 9,Segment 10,Segment 11,Segment 12,Segment 13,Segment 14,Segment 15,Segment 16,Segment 17,Segment 18,Segment 19,Segment 20,Segment 21,Segment 22,Segment 23,Segment 24,Segment 25,Segment 26,Segment 27,Segment 28,Segment 29,Segment 30,Segment 31,Segment 32,Segment 33,Segment 34,Segment 35,Segment 36,Segment 37,Segment 38,Segment 39,Segment 40,Segment 41,Segment 42,Segment 43,Segment 44,Segment 45,Segment 46,Segment 47,Segment 48,Segment 49,Segment 50,Segment 51,Segment 52,Segment 53,Segment 54,Segment 55,Segment 56,Segment 57,Segment 58,Segment 59,Segment 60,Segment 61,Segment 62,Segment 63,Segment 64,Segment 65,Segment 66,Segment 67,Segment 68,Segment 69,Segment 70,Segment 71,Segment 72,Segment 73,Segment 74,Segment 75,Segment 76,Segment 77,Segment 78,Segment 79,Segment 80,Segment 81,Segment 82,Segment 83,Segment 84,Segment 85,Segment 86,Segment 87,Segment 88,Segment 89,Segment 90,Segment 91,Segment 92,Segment 93,Segment 94,Segment 95,Segment 96,Segment 97,Segment 98,Segment 99
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,0,0,0,0,0,1,1,2,1,1,1,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,2
0.016626865,-0.076418121,0.031472893,-0.114182098,0.020468748,0.070035071,-0.044980738,-0.126317812,-0.148484038,0.170596562,0.128567751,-0.148675283,-0.024991764,-0.040552558,-0.167741388,0.084793963,-0.181153384,0.201344584,0.17950882,-0.050162884,0.025126504,-0.006381871,-0.177780779,0.070620701,0.002523652,-0.019294263,-0.027189093,-0.008082148,0.102217821,-0.036608181,0.138037869,-0.161999098,0.078735896,-0.033565854,0.117049204,0.141485292,-0.052631893,-0.096825451,0.128919269,0.078502057,-0.31569591,0.198264832,-0.126864204,0.053219511,0.058043985,0.163891873,-0.112729007,-0.177361369,-0.04942626,0.052037975,0.219546271,0.060635761,-0.06162754,0.294666236,0.000148275,-0.150751641,-0.329688456,0.090202395,0.010018362,-0.27086028,-0.086212855,-0.025158055,-0.068306685,-0.08603052,-0.115677579,0.041661782,0.222037065,0.150280962,0.017662712,0.116001284,0.019170072,-0.072657375,0.02861807,0.06467566,0.04324237,0.053817331,0.042456478,-0.102623969,0.061131827,-0.102962914,-0.070166035,-0.167257764,-0.20495619,-0.06991171,0.074225598,0.139033331,-0.100332839,0.068018922,-0.000481449,-0.089394531,-0.031453229,-0.160396,-0.03874397,0.084062231,-0.064926887,-0.056200368,0.080527883,0.291448632,-0.244301205
0.045159856,-0.090707043,0.04965124,-0.11710619,0.003732744,0.065985785,-0.024117076,-0.124865796,-0.174100246,0.178418478,0.114651768,-0.152423462,-0.007326525,-0.052164744,-0.168974486,0.102959496,-0.179306835,0.200346922,0.168834492,-0.059841667,0.040288202,0.010579076,-0.177045166,0.082509767,0.00030427,-0.011090377,-0.029831067,0.002077299,0.089515509,-0.018020301,0.128778409,-0.16728246,0.09057532,-0.033925921,0.125849692,0.13770274,-0.064127775,-0.104131378,0.113085379,0.076983319,-0.328031663,0.200047695,-0.140340349,0.046485205,0.068332977,0.170918352,-0.12482963,-0.171231351,-0.031803282,0.061192713,0.215535509,0.044523783,-0.065258913,0.300051902,-0.0104703,-0.145402663,-0.332052337,0.089230716,-0.005673306,-0.312656858,-0.095266604,-0.01330772,-0.07878363,-0.094957931,-0.126751215,0.030167632,0.206631006,0.149216291,0.015103925,0.137048315,0.005911083,-0.085106237,0.016434737,0.060253433,0.039658585,0.045732784,0.035508764,-0.090800765,0.077396648,-0.098297123,-0.070835875,-0.166726599,-0.205540557,-0.056196106,0.083056942,0.13193712,-0.107000354,0.069501948,-0.008558651,-0.096578987,-0.041011981,-0.164314848,-0.028102411,0.073150274,-0.060531769,-0.070716058,0.071198229,0.284154884,-0.269895458
0.07324719,-0.104109705,0.066041503,-0.118429604,-0.012953056,0.06065016,-0.002715513,-0.121809434,-0.197762193,0.183392793,0.099939031,-0.154435365,0.011125969,-0.063735043,-0.167834405,0.119710806,-0.175411336,0.196886914,0.15689736,-0.069184846,0.054894519,0.026593214,-0.175769849,0.095648289,-0.00192371,-0.004089033,-0.032201193,0.011721238,0.076682967,0.000523246,0.118432873,-0.171160056,0.100317236,-0.034000688,0.135320739,0.133361809,-0.075249188,-0.11156684,0.096172728,0.074214038,-0.34055927,0.201646052,-0.154587607,0.039473987,0.076732737,0.178401112,-0.136400183,-0.163209454,-0.013709926,0.069343195,0.209484555,0.02797223,-0.067087747,0.302910917,-0.019610537,-0.138049222,-0.334399533,0.087490602,-0.021433221,-0.351467271,-0.103509473,-4.33E-05,-0.089086421,-0.103440302,-0.137045174,0.018658762,0.192920617,0.147020416,0.012482299,0.158039482,-0.007260758,-0.097060649,0.004242202,0.055203465,0.035136915,0.037578796,0.028592243,-0.081949304,0.092833965,-0.092316687,-0.070303715,-0.164124405,-0.204641642,-0.041050787,0.090291399,0.123627567,-0.112530523,0.070358418,-0.015961641,-0.103458702,-0.050355592,-0.167192329,-0.016355199,0.061437481,-0.054441066,-0.085046904,0.061125741,0.275374644,-0.293125958
0.100428169,-0.116484877,0.080405424,-0.118037001,-0.029446856,0.054166226,0.018851797,-0.11712128,-0.21923752,0.185502478,0.08458787,-0.154593137,0.030063055,-0.075218291,-0.16422163,0.134778473,-0.169410312,0.191134738,0.14390722,-0.078132094,0.068683306,0.041410749,-0.17403828,0.109847161,-0.004136249,0.001624435,-0.034290514,0.020687639,0.063754805,0.018672065,0.107180727,-0.17349065,0.107859368,-0.033774354,0.14527882,0.128534755,-0.085834991,-0.119049196,0.078234588,0.070281921,-0.353145923,0.203046159,-0.169435424,0.032250677,0.083124475,0.186172003,-0.147305239,-0.153359555,0.004518682,0.076366641,0.201595455,0.011092169,-0.06710882,0.303254377,-0.027053527,-0.128758126,-0.336706923,0.085034261,-0.037205871,-0.386556185,-0.110796854,0.014430324,-0.099122234,-0.111353473,-0.14638619,0.007159228,0.180934594,0.143616203,0.00980662,0.178647417,-0.020335531,-0.108426162,-0.007929943,0.049630768,0.029753732,0.029390596,0.021723578,-0.07599059,0.107187635,-0.085088084,-0.06847299,-0.159390473,-0.20215465,-0.024743854,0.095833321,0.11433319,-0.116761718,0.070620551,-0.02254762,-0.109947858,-0.059426178,-0.168895446,-0.003696761,0.049076459,-0.04670841,-0.099100371,0.050459215,0.265323324,-0.313835104
0.126267705,-0.127681152,0.092558458,-0.115834804,-0.045603045,0.046676836,0.040208802,-0.110810721,-0.238346472,0.184793454,0.068742618,-0.152805208,0.049167963,-0.08656952,-0.15808365,0.147937237,-0.161283421,0.183294225,0.130061223,-0.086601752,0.081412313,0.054811279,-0.171937483,0.124878293,-0.006299428,0.005996399,-0.036088239,0.028833356,0.050763803,0.036085377,0.095194277,-0.174149452,0.113151547,-0.033236087,0.155525315,0.123297688,-0.095714002,-0.126486547,0.059335702,0.065286282,-0.365661321,0.204238619,-0.184722024,0.024880175,0.087439341,0.194051467,-0.157393915,-0.141791182,0.022544094,0.082169999,0.192081233,-0.006019255,-0.065340466,0.301118481,-0.032585382,-0.11764473,-0.338950086,0.081922029,-0.052936196,-0.417234749,-0.116973712,0.02986965,-0.108774745,-0.118557506,-0.154585695,-0.004308157,0.170654095,0.13895389,0.00708621,0.198553183,-0.033301026,-0.119087596,-0.020043902,0.043622754,0.023590365,0.021197333,0.014911708,-0.072787778,0.120233209,-0.076710432,-0.065270495,-0.152504244,-0.197997803,-0.00757709,0.099627778,0.10428367,-0.119537694,0.070329177,-0.028165624,-0.115948181,-0.068151726,-0.169301495,0.009651319,0.036211752,-0.037429204,-0.112776087,0.039337151,0.254205709,-0.331933722
0.150366993,-0.137539185,0.102372174,-0.111757292,-0.061269832,0.038324991,0.060985454,-0.102927372,-0.254965958,0.181370219,0.052534091,-0.149012916,0.068118532,-0.097740621,-0.149421056,0.159010356,-0.151052108,0.17359404,0.115540103,-0.094490727,0.092865243,0.066608323,-0.169555173,0.14048239,-0.00836801,0.009004328,-0.037581239,0.036037932,0.03774661,0.052441972,0.08263535,-0.173034283,0.116194074,-0.032381048,0.165851733,0.117727632,-0.104708561,-0.133775211,0.039558857,0.059334216,-0.377977878,0.205218144,-0.200294238,0.01742861,0.089657452,0.201853426,-0.166502874,-0.128658739,0.040034053,0.086691087,0.181157255,-0.023275429,-0.061825775,0.296558915,-0.036005778,-0.104872143,-0.341104133,0.078219759,-0.068564414,-0.442881367,-0.121879829,0.045998599,-0.117905315,-0.124900435,-0.161445306,-0.015717288,0.162019454,0.133014738,0.004332308,0.21745538,-0.046136769,-0.128909772,-0.032049041,0.037248511,0.016730857,0.013024474,0.00816104,-0.07215584,0.131783732,-0.067314002,-0.060651468,-0.143489248,-0.192116388,0.010123136,0.101660198,0.093700969,-0.120714254,0.069531821,-0.032661417,-0.121351164,-0.076444579,-0.168304089,0.023446404,0.022978028,-0.026739607,-0.12596212,0.027886139,0.242209629,-0.347400593
0.172372886,-0.145895205,0.1097745,-0.105772216,-0.076287433,0.029249866,0.080827299,-0.093562919,-0.269031266,0.175389751,0.036081181,-0.143196411,0.086596122,-0.10867723,-0.138291951,0.167872092,-0.138784047,0.162278709,0.100505728,-0.101675906,0.102856702,0.07665257,-0.166977068,0.156378226,-0.010284712,0.010655096,-0.038753693,0.042206453,0.024749222,0.067449214,0.069653018,-0.170071491,0.11703441,-0.031211243,0.176045414,0.111899732,-0.112638951,-0.140797688,0.01901114,0.052537145,-0.38997058,0.205983167,-0.216006406,0.009964602,0.089805206,0.209390507,-0.174460531,-0.114158859,0.056671711,0.089898547,0.169033534,-0.040596103,-0.056633339,0.289645606,-0.037137106,-0.090648536,-0.343144675,0.073996266,-0.08402118,-0.462961194,-0.125356081,0.062516211,-0.126355634,-0.130223113,-0.166763585,-0.027034429,0.154937802,0.125813665,0.001559416,0.235078474,-0.05880863,-0.13773978,-0.04387795,0.030559367,0.009260095,0.004896427,0.001474811,-0.073872483,0.141693943,-0.057057429,-0.054603817,-0.13241578,-0.184486201,0.028016065,0.101954622,0.082791335,-0.120166099,0.068280728,-0.035883155,-0.126041046,-0.084200883,-0.165819031,0.037431867,0.009499151,-0.014813911,-0.138532005,0.016220364,0.229501327,-0.360279661
0.191985655,-0.152585685,0.114747897,-0.097885609,-0.090487024,0.019583677,0.099404415,-0.082851214,-0.280535496,0.16705399,0.019493375,-0.135379478,0.104294368,-0.119316014,-0.124814336,0.174448307,-0.124596103,0.149599863,0.085099951,-0.108017069,0.111235904,0.084833723,-0.164284487,0.172272994,-0.011980266,0.01098233,-0.039586896,0.047271334,0.01183192,0.080850734,0.056382341,-0.165221307,0.115762414,-0.029736167,0.185895441,0.105884704,-0.119328563,-0.147421248,-0.002170584,0.04500786,-0.401516612,0.206535321,-0.231718575,0.002560467,0.087951085,0.216479364,-0.181092334,-0.098525956,0.072164178,0.091790694,0.155908308,-0.057902713,-0.049857492,0.280458209,-0.035833792,-0.075222574,-0.345048918,0.069320947,-0.099223338,-0.477043402,-0.127251486,0.079105376,-0.133951749,-0.134364962,-0.170343853,-0.038214318,0.149291147,0.117400627,-0.001213468,0.251180009,-0.071264305,-0.145410782,-0.055443454,0.023590646,0.001262359,-0.003160774,-0.00514154,-0.077689647,0.149862741,-0.046123718,-0.047151254,-0.119402083,-0.175116259,0.04575736,0.100570677,0.071738492,-0.117793561,0.066630936,-0.037687635,-0.129898476,-0.091301102,-0.161789749,0.051344789,-0.004111925,-0.001860374,-0.15034284,0.00444219,0.216222638,-0.370675148
0.208964901,-0.157453017,0.117325655,-0.088145469,-0.103690658,0.009449482,0.116419388,-0.070966516,-0.289526901,0.156601248,0.002873983,-0.12563292,0.120927405,-0.129582559,-0.109166265,0.17871521,-0.108655502,0.135808023,0.069444754,-0.113361213,0.117889023,0.091080946,-0.161552312,0.187873177,-0.013374374,0.010042982,-0.040059256,0.051192987,-0.000926652,0.092432484,0.042944073,-0.158482351,0.112504388,-0.027973165,0.195198489,0.099746591,-0.124609664,-0.153497295,-0.023815419,0.036858145,-0.412494844,0.206878823,-0.247294181,-0.004706751,0.084200224,0.222945863,-0.186226943,-0.082026132,0.086250084,0.092393368,0.141963136,-0.075113469,-0.041617991,0.269082581,-0.031991291,-0.058877115,-0.346796853,0.06426167,-0.114070515,-0.484815333,-0.127430699,0.095442365,-0.140509379,-0.137170372,-0.172002734,-0.049196926,0.144944538,0.107860548,-0.003961807,0.265556408,-0.08342996,-0.151747249,-0.066636767,0.016364484,-0.007179687,-0.011116897,-0.011677191,-0.083344917,0.156233867,-0.03471519,-0.038355151,-0.104613896,-0.164050684,0.063009992,0.097599456,0.060698257,-0.113528896,0.064638457,-0.037946848,-0.132804713,-0.09761165,-0.156191987,0.064923944,-0.017752561,0.011884371,-0.161234671,-0.007356282,0.202489953,-0.378744884
