Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,Segment 9,Segment 10,Segment 11,Segment 12,Segment 13,Segment 14,Segment 15,Segment 16,Segment 17,Segment 18,Segment 19,Segment 20,Segment 21,Segment 22,Segment 23,Segment 24,Segment 25,Segment 26,Segment 27,Segment 28,Segment 29,Segment 30,Segment 31,Segment 32,Segment 33,Segment 34,Segment 35,Segment 36,Segment 37,Segment 38,Segment 39,Segment 40,Segment 41,Segment 42,Segment 43,Segment 44,Segment 45,Segment 46,Segment 47,Segment 48,Segment 49,Segment 50,Segment 51,Segment 52,Segment 53,Segment 54,Segment 55,Segment 56,Segment 57,Segment 58,Segment 59,Segment 60,Segment 61,Segment 62,Segment 63,Segment 64,Segment 65,Segment 66,Segment 67,Segment 68,Segment 69,Segment 70,Segment 71,Segment 72,Segment 73,Segment 74,Segment 75,Segment 76,Segment 77,Segment 78,Segment 79
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-536.704982992286,966.8964574409885,358.1602134534612,-1135.4272123790197,-350.9437941402953,1782.5833297255122,-1153.2590436013854,-619.721357306199,1032.1090324708894,1666.825158094345,-1308.8745204102086,-799.0846079789994,488.6209555990207,1378.6855916306154,-1158.1967189310813,-534.0817735723547,1343.1427003065253,-670.3188524377172,-739.9653042865756,758.9203677048764,95.49983677213044,-755.4646444730927,517.0823518984848,1312.4185380089946,-1067.8881962277387,-301.5531252004535,1836.0612520455595,-1341.676230554353,-367.2397679547244,1896.2897308474828,-1225.3450125421173,-258.84495103421307,1826.0826558185504,-1020.0838747532526,212.3128513895132,125.253976366868,-699.7205327519416,1858.9248959788097,-1426.9234421209785,210.55655088672856,193.77869984458772,-646.5277101289331,-372.9193940556919,1804.391822450919,-1282.2543223948385,-1566.943407304079,-436.6250136734811,97.23293213647064,703.9082580210259,-703.3372424919845,1711.977908133731,-1546.6496198405007,-415.1103401408516,1877.025549551618,-1166.1396170701182,102.12887969117102,710.975536087622,-804.777141737153,-683.8477341736941,1527.2596090646523,-1278.0487435349903,-294.6897866522769,1658.5409456609498,-975.5584360805484,461.40594239638426,1148.8488523080969,-842.6976455730463,487.91917590039793,268.7607672292983,-864.8283748016537,529.48089022582,627.0774958633001,-873.2144149846077,78.56575839853457,1541.914489550761,-897.2886188665566,723.0439740884208,-752.075995860111,-663.0769996586278
-566.2097697089137,876.4731155979896,546.0163471456751,-1181.9460657707432,-390.9732346922686,1729.47584443648,-1062.4860981712295,-637.7194289339112,938.1611321759802,1753.36176957229,-1251.0892935348488,-822.4469414675425,391.2656408635208,1491.655575018308,-1201.168758776964,-559.1976850398364,1253.1811215932612,-527.3237875856041,-760.6272486559253,660.4012258191616,276.4625637102529,-779.6312540150283,426.0757314298496,1450.4493587273582,-1106.484960037776,-346.8440405715474,1834.9739158146376,-1356.2172929573314,-403.3375132731604,1903.089873229896,-1263.185216034379,-303.3278128674979,1880.0619344613804,-1058.2031952939965,130.4961679860134,332.5642750815764,-719.8613936691552,1793.493177449949,-1457.7826651526057,128.59736892884814,389.1247015581836,-663.7843952205676,-408.8986275505264,1787.1142095491102,-1296.7364324103726,-1551.6672033026916,-470.4693721524239,39.68971160925931,883.7817239777571,-724.5112943987808,1630.7649696027725,-1536.8733382163173,-450.9335335223285,1873.893185993648,-1213.327485747939,26.736371812026903,884.5928568143914,-831.6675627235106,-706.5206665706156,1444.1511651137944,-1284.7076155432096,-345.3639162214355,1770.022768160439,-1016.438591258094,366.8739014258028,1318.0294952536858,-876.2833554514864,396.3711880118138,477.249322981825,-896.3910818838285,450.0689288599397,833.3279875300009,-908.6065243017766,12.078769977247276,1650.3170034642408,-930.3707390139076,635.1007124476771,-579.534526969273,-680.202693667711
-594.8226701194704,785.7641569347368,730.1183903481123,-1227.6555001184165,-427.1170400455677,1669.1370749905789,-954.949037673672,-655.3480965985818,843.3693909950999,1822.9924946641224,-1176.277817980013,-847.2525560162627,297.84018600403147,1588.889844212289,-1241.396122191159,-581.7410804317766,1161.1731906903228,-372.5338841163117,-782.545443249081,563.9704235381773,457.4115333045049,-805.7101428689336,337.82761854738743,1573.1377462439953,-1144.296451877472,-387.5597340992514,1821.525137603961,-1360.5184784683331,-435.7275494918968,1896.275753981032,-1296.808524900825,-343.3054033750492,1917.850821347804,-1097.0360291486086,53.08797545327267,539.9939168211317,-740.0806489195643,1721.783985381505,-1480.870275329027,51.45010882434471,582.5211162405814,-680.7559328785418,-442.9547770615352,1758.5536863942796,-1301.3475827780558,-1520.8025873040829,-500.84189606834633,-14.057314487951198,1055.0989136369794,-746.473973822946,1544.8392801671196,-1512.407140188173,-483.0189048001034,1858.13126045207,-1258.27501398377,-43.4206949903385,1048.8693658012344,-860.1465987650175,-728.9449746395592,1357.836135083703,-1280.6196954147058,-390.5248809357079,1863.7571330148287,-1058.7081624713398,275.8575973998785,1473.6559905422328,-911.48310781776,308.3227300335847,683.3983201360135,-929.8998149540348,373.0588110034311,1033.2640184535549,-946.1254460240016,-50.03935387821704,1742.268903148251,-965.0785453545136,548.6160248140864,-393.7460681298412,-696.5673962893063
-622.6066842980684,695.3089638419991,907.7696521218644,-1271.5187076055292,-459.6863158455481,1602.5121849021364,-831.1649800032989,-672.9484022490251,748.3016885550477,1875.930534262644,-1084.2109680276064,-873.776507383598,208.8920699520162,1669.953754528322,-1277.610059670082,-602.1546283501614,1067.7249395553215,-207.9311346495353,-805.9665337211455,470.2278676001379,635.5815268319533,-833.9150523730169,252.8108789952924,1679.5228437278715,-1180.3799262009363,-423.9683307223348,1796.841742218838,-1353.0778958758017,-464.7273407023755,1876.9529069812272,-1324.8484791491144,-379.04087018691786,1940.148241667496,-1135.9084817656606,-19.61186864595208,744.3635525242727,-760.6911990954701,1644.7836822382649,-1494.5091873810402,-20.630501821910286,771.0419397540272,-697.8008652531387,-475.21563230057416,1719.892088358026,-1294.6176650526736,-1472.59091116931,-528.1170630672003,-63.90267716890985,1215.524777729937,-769.4412022899257,1455.0512218342762,-1471.8650617012206,-511.8035912824535,1830.900850894892,-1299.6147631426527,-108.22101454317456,1201.583668497835,-890.3882598428851,-751.4765193769039,1269.0259711227773,-1264.3363037252984,-430.494542917863,1939.554983464072,-1101.8457453020194,188.84655431118748,1614.026408751002,-948.0473544761536,224.24312232508504,884.1317828918021,-965.2857052581704,298.8246923732164,1223.962285439377,-985.5594786816096,-107.63319842819834,1817.498340173856,-1001.2655012769736,464.0848411146613,-197.1334061155935,-712.6045056072779
-649.6790499790907,605.6529601727372,1076.4716402808956,-1312.3500526338692,-489.01998682619234,1530.4614841604975,-692.0820629035455,-690.8503760627718,653.5436752719565,1912.681307917604,-975.060655482277,-902.2483941523418,124.88867772832924,1734.7586592635785,-1308.422712596099,-620.8863508565341,973.406309039854,-35.79569575497818,-831.1120128992891,379.73410981830045,808.3027623971257,-864.4007559692827,171.4576604375585,1769.041210995047,-1213.6373587355151,-456.39072438866623,1762.0599170226646,-1332.4939028151318,-490.681956392143,1846.279875242196,-1345.8522803557344,-410.8498214337761,1947.850422492156,-1173.9800021484264,-87.38285339261571,942.5868647699424,-782.0073899296087,1563.3754043929516,-1497.0139788897957,-87.48606641451374,951.9234912239584,-715.2738533047035,-505.8120998118437,1672.2908433556706,-1275.182904727337,-1405.5495870574352,-552.6817734760517,-109.8113331520438,1363.0451637691665,-793.6285185585874,1362.1823225917892,-1414.1101726754875,-537.7391149306592,1793.3777309767274,-1335.8298016606022,-167.64696671990703,1340.850975659447,-922.5132048179352,-774.4939494383067,1178.36743604234,-1234.5504712736167,-465.6657151464861,1997.5894278140747,-1145.1632006664418,106.2702791455599,1737.844221242817,-985.59055892229,144.5342543428881,1076.544097981733,-1002.3765215811036,227.70717797898405,1402.7682339649432,-1026.5667672479103,-160.62799213211557,1876.0764775601665,-1038.6693611996636,381.98228776915073,7.546480153835778,-728.7502249770749
-676.2088380566718,517.3438816030692,1233.9933897848427,-1348.8292817826575,-515.4768590569421,1453.7636801386398,-539.0741976105843,-709.3714292100489,559.6976373717697,1933.9895697944696,-849.423327354013,-932.8404412157668,46.20399070006357,1783.528367702252,-1332.3555963444678,-638.3857441949148,878.7638187089415,141.3605615116464,-858.1684630030007,292.9995253478539,973.0809474360306,-897.2458023309439,94.14873523739313,1841.5071488511703,-1242.8291540747175,-485.1897715523757,1718.2897406044972,-1297.522992697132,-513.9565061292705,1805.427354823567,-1358.3156217973,-439.0899739036984,1941.995878723604,-1210.2439168340795,-150.09039750657232,1131.7656193122682,-804.3423757675488,1478.345503710748,-1486.7456955921268,-149.0581334529802,1122.6460673797594,-733.5244037625323,-534.8845854089911,1616.8625927568887,-1241.8420182095467,-1318.5462559368564,-574.9280128383782,-151.81748880726224,1496.010026227715,-819.2433544349574,1266.9580832058853,-1338.3169024563165,-561.2810851046064,1746.7155314259874,-1365.2831425113425,-221.7822896333928,1465.1607497591172,-956.5698502207098,-798.3857738514216,1086.4562029003912,-1190.1570356978837,-496.4874908476135,2038.3502301293656,-1187.7995791963183,28.4851392444291,1844.225983777876,-1023.577738048114,69.51931367526419,1257.9835314370257,-1040.8810348736913,160.0045475007056,1567.3664664246044,-1068.6609956117547,-209.03145983952007,1918.3774028631592,-1076.8954890445957,302.75345485705617,217.28225268455407,-745.4416054596428
-702.412140449733,430.9241648889982,1378.426826781007,-1379.5232637659344,-539.4289223492204,1373.1245385495806,-373.9180923251528,-728.8137464616179,467.37650035462286,1940.783160754068,-708.3284849357846,-965.6536894189654,-26.89201737667665,1816.756608988455,-1347.8760020662526,-655.1009859531905,784.3302797721742,320.8712850789816,-887.2755277073283,210.47287231739207,1127.6675070500523,-932.4341059270832,21.203302952952374,1897.079447682593,-1266.596112686229,-510.7596830436335,1666.5880818176677,-1247.138348548984,-534.9296355879599,1755.5441821211298,-1360.724721417602,-464.1510903371118,1923.7123183920587,-1243.5352175280914,-207.68925897197485,1309.2742745418989,-828.0028501012699,1390.394825946198,-1462.171945402102,-205.3880411817448,1281.0024872742424,-752.894086404093,-562.5894661165977,1554.651114418259,-1193.6122998781725,-1210.8666604086447,-595.2473394678963,-190.02093018530027,1613.159157509615,-846.4739082602928,1170.061181969851,-1244.0274540798628,-582.881109849847,1692.0172083240636,-1386.2563129678792,-270.80594465762806,1573.396959906789,-992.5143232952768,-823.5342956296234,993.8498178331732,-1130.3110658509604,-523.4502003842122,2062.5904240754776,-1228.7214844141756,-44.23681391866591,1932.69166844205,-1061.315347413656,-0.5664642084924407,1426.122252584221,-1080.375024780297,95.9642514110922,1715.8342847288598,-1111.200278129912,-252.9324892177491,1945.030169899763,-1115.403186648727,226.8021713143455,428.9002325790831,-763.1130659359021
-728.5447325521917,346.92023569919525,1508.2260145330597,-1402.915447183339,-561.2560247044743,1289.1893131302231,-198.75260604114675,-749.4602665473107,377.1935336359464,1934.1167596244632,-553.2305656344759,-1000.702612835272,-94.24043129599588,1835.158564962979,-1353.4407261347226,-671.4767796846893,690.6308346429084,499.99981174728,-918.5118977149602,132.5302028282384,1270.1168083125222,-969.8362116049284,-47.12987551277283,1936.2174907645544,-1283.4897508062463,-533.5161800219646,1607.9401950756228,-1180.5864136951225,-553.9882244792228,1697.730952744338,-1351.6046162909497,-486.4457151225097,1894.1680151591704,-1272.546309211988,-260.2235364061182,1472.8300969310055,-853.2809323858452,1300.1531378340026,-1421.930215258566,-256.6130083286263,1425.1505178634814,-773.7118177481306,-589.1050993108003,1486.6193928130788,-1129.783124597178,-1082.272646912271,-614.0272310755417,-224.5811494196657,1713.6303751277362,-875.4747992340555,1072.143498099422,-1131.19909436922,-602.9810780189467,1630.3151728081814,-1396.9965630754782,-314.98264809186884,1664.8412285488344,-1030.190236682374,-850.2967507272664,901.0787968708602,-1054.4817086100302,-547.0708393061126,2071.2686147001955,-1266.7308678839863,-111.71612508414071,2003.1395809272967,-1097.9476769460446,-65.58222552557068,1579.0099686743526,-1120.2899933454084,35.77548111755173,1846.67655520854,-1153.3804340759818,-292.49676628764377,1956.8663102286523,-1153.496305441537,154.47985972365788,639.1640714394541,-782.19094023493
-754.8921635637088,265.8297063210259,1622.2292162692463,-1417.4428615096176,-581.3419033600085,1202.5572230207342,-16.021595503239265,-771.5689093395495,289.7486516092782,1915.1186459794333,-385.98336483018784,-1037.8987042066387,-155.7963360711556,1839.6195831301025,-1347.5460863321416,-687.9523012372395,598.1849828583382,676.0259386517628,-951.8797732310528,59.46506463939864,1398.828112599369,-1009.1912232345333,-110.67929089907456,1959.6300088475584,-1292.0106600794622,-553.8878616154789,1543.2497671415756,-1097.4385861166857,-571.523281364232,1633.0215452230432,-1329.5723286052132,-506.4010884777277,1854.5296593303,-1295.8511103221722,-307.82330694538337,1620.5458021737238,-880.4431824722677,1208.1949931776055,-1364.8919091011037,-302.9587387616827,1553.6473047555792,-796.2868837035785,-614.6368075844327,1413.6452088379283,-1049.964154114711,-933.046772842991,-631.6491477936107,-255.7096952577801,1796.9511500028498,-906.3499171502452,973.8356724052238,-1000.2392150371196,-622.0097426206381,1562.5598640476503,-1395.771731204253,-354.6507525852292,1739.160113090949,-1069.3094057148185,-878.9841412681363,808.6549210657431,-962.498435888888,-567.8797045191742,2065.490435457937,-1300.480999462044,-173.87064501876222,2055.80856470162,-1132.4597942827843,-125.48455052030856,1715.1093918363983,-1159.9056658235106,-20.43651773920512,1958.841311291666,-1194.233780442863,-327.95975166389934,1954.8660862568383,-1190.319341508556,86.07549726246788,844.8769397296951,-803.085712214842
-781.7573080196241,188.10762981753817,1719.6638126430992,-1421.5400845764327,-600.071425513405,1113.7962992153994,171.59746905491545,-795.3648152795619,205.6124497053364,1884.9429862275124,-208.79716898447973,-1077.0337827643164,-211.6274215024264,1831.144032209396,-1328.7827342276842,-704.9586814086099,507.5046242287647,846.3308072372703,-987.2884346651518,-8.51917329721059,1512.5710218153076,-1050.0905153146534,-169.35492723452177,1968.2199054923624,-1290.6541593903069,-572.309078909614,1473.336670222269,-997.635038862178,-587.9268941232901,1562.3723434395697,-1293.3930834637408,-524.4524639275804,1805.928095413816,-1311.9375285414044,-350.69819846636955,1750.9629811197465,-909.716899848656,1115.0554152352015,-1290.224242684964,-344.7290311447432,1665.4651389262417,-820.8994996022418,-639.4203016854182,1336.5232289622518,-954.1254606017164,-764.0202680493735,-648.4880107402871,-283.6612715396812,1863.015545092496,-939.1331067012204,875.753286183465,-852.0253741375258,-640.3813181527571,1489.6160518574504,-1380.9312823043058,-390.2083024662157,1796.3785507760876,-1109.4347326462191,-909.8383940540544,717.0761404771106,-854.5867200494457,-586.4088202055192,2046.4523214458925,-1328.501034525999,-230.7163216973008,2091.2307126242868,-1163.687875640131,-180.326843040348,1833.3129162554144,-1198.347317952483,-72.613908022453,2051.7166933302583,-1232.6344630079898,-359.61753836062405,1940.106489567494,-1224.8600680687616,21.80756933466856,1042.9808876795948,-826.1817395138328
-809.4455023242333,114.15298787056884,1800.1351369108656,-1413.689174347008,-617.8287828111282,1023.4570748300224,361.2758252686306,-821.0305003305438,125.3092513793396,1844.7295491874388,-24.17984823953289,-1117.763972053504,-261.9083552861832,1810.806947506244,-1295.8933472604283,-722.9154857833673,419.0884905545625,1008.475586850906,-1024.5377020070614,-71.31421159868273,1610.494245619759,-1091.9644284121218,-223.14964862851852,1963.0284684712533,-1277.962043241564,-589.2144350163553,1398.94127142742,-881.5177379688445,-603.5899800927704,1486.6585255493335,-1242.0373706603243,-541.0378844466502,1749.432726849149,-1319.2479271369673,-389.12840066669526,1863.0658543319369,-941.2740452078276,1021.2439621705483,-1197.4468762852755,-382.2930612593045,1759.9890616461869,-847.7888599990052,-663.7230587372183,1255.9722753386943,-842.6268649266623,-576.5816279313998,-664.9126640659869,-308.72415841285624,1912.0490071069885,-973.7675364637588,778.4991511718598,-687.9080654111021,-658.4956182365963,1412.265758451344,-1350.971536897893,-422.09815526550045,1836.8420730214243,-1149.9665368539656,-943.0086124495392,626.8278664241116,-731.3904138216069,-603.1825427478989,2015.3902862583493,-1349.229216671698,-282.3640664401788,2110.178064838053,-1190.3374997484937,-230.25504866470564,1932.940997499467,-1234.5888693389345,-120.76724048187866,2125.1108773213846,-1267.311158547992,-387.8162454675631,1913.7135585520048,-1255.9595449347266,-38.18131439543848,1230.648248620622,-851.824428621906
-838.2474919666993,44.29651757486226,1863.6011646085155,-1392.474133857414,-634.996299348117,932.0838413922334,550.1225680709953,-848.6939918627929,49.3004675050379,1795.5720925371877,165.1357798996859,-1159.5954518893652,-306.91133756252384,1779.7106683543077,-1247.8309053292044,-742.2257263279135,333.4136267638072,1160.270121625249,-1063.3021891989288,-128.9084911264069,1692.1185166715495,-1134.073175327754,-272.13769141837633,1945.1819819076816,-1252.5787868167574,-605.0348496006853,1320.7338563532842,-749.8500003390698,-618.9004964473477,1406.6764304660069,-1174.7363194929078,-556.5943034764854,1686.0347579995553,-1316.2267625539062,-423.4537670830656,1956.2761162948009,-975.2132910989748,927.2560208821036,-1086.4800561325635,-416.0711245371594,1836.99785584836,-877.1388076929062,-687.8432519088066,1172.6462658213495,-716.2340654569739,-372.66390763539454,-681.2867899101104,-331.21053736391616,1944.5639965484672,-1010.0847924435576,682.6616260958232,-509.6947245939909,-676.7391194994221,1331.2164023062328,-1304.6026388379305,-450.793058031145,1861.170753976716,-1190.1336099266475,-978.5273179471454,538.3807886039383,-593.9785744624689,-618.7105180951413,1973.5357977652352,-1361.054323405664,-329.013007261047,2113.6067768876305,-1211.0101547009422,-275.4999562674818,2013.7237288583967,-1267.4625222900495,-164.97392039036043,2179.2174981772014,-1296.867721235767,-412.94065426029385,1876.8210419140496,-1282.3300679416911,-93.82673816881127,1405.3605662918228,-880.3050007302262
