Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,Segment 9,Segment 10,Segment 11,Segment 12,Segment 13,Segment 14,Segment 15,Segment 16,Segment 17,Segment 18,Segment 19,Segment 20,Segment 21,Segment 22,Segment 23,Segment 24,Segment 25,Segment 26,Segment 27,Segment 28,Segment 29,Segment 30,Segment 31,Segment 32,Segment 33,Segment 34,Segment 35,Segment 36,Segment 37,Segment 38,Segment 39,Segment 40,Segment 41,Segment 42,Segment 43,Segment 44,Segment 45,Segment 46,Segment 47,Segment 48,Segment 49,Segment 50,Segment 51,Segment 52,Segment 53,Segment 54,Segment 55,Segment 56,Segment 57,Segment 58,Segment 59,Segment 60,Segment 61,Segment 62,Segment 63,Segment 64,Segment 65,Segment 66,Segment 67,Segment 68,Segment 69,Segment 70,Segment 71,Segment 72,Segment 73,Segment 74,Segment 75,Segment 76,Segment 77,Segment 78,Segment 79
2083,2489,1593,1758,1756,1700,2045,2311,2410,1971,1788,1719,1633,1938,2665,2251,1911,1624,1097,1671,2296,2695,2401,1952,1905,1796,1627,1749,1621,1478,1989,2271,2160,2447,2488,2022,2255,2158,2056,2191,2002,2390,2430,2203,2648,2391,1865,2024,2360,1831,2063,2273,2149,2068,2291,1602,1749,1660,1638,2003,2268,2293,1593,1571,1890,2424,2232,1538,1523,1922,2538,1876,1602,1904,2203,2280,1498,2019,2207
2130,2488,1595,1750,1752,1692,2113,2322,2375,1951,1780,1709,1634,1990,2668,2223,1892,1610,1105,1725,2340,2695,2373,1927,1887,1786,1612,1740,1616,1513,2061,2308,2169,2428,2468,1994,2224,2130,2032,2165,1987,2363,2402,2184,2636,2426,1926,2091,2357,1831,2063,2272,2142,2042,2292,1646,1758,1652,1627,1974,2241,2323,1598,1567,1862,2393,2251,1550,1510,1899,2507,1933,1585,1888,2169,2343,1496,2010,2189
2170,2485,1600,1742,1746,1684,2180,2330,2339,1932,1771,1699,1639,2037,2663,2194,1874,1594,1116,1787,2372,2692,2344,1906,1870,1777,1596,1732,1616,1555,2131,2337,2178,2404,2445,1966,2193,2106,2009,2145,1970,2334,2374,2161,2619,2453,1978,2173,2351,1831,2055,2272,2132,2012,2288,1685,1779,1648,1619,1948,2212,2347,1612,1565,1835,2361,2265,1575,1499,1881,2476,1991,1572,1872,2134,2400,1495,2005,2169
2203,2480,1607,1734,1738,1675,2245,2332,2302,1914,1762,1688,1650,2080,2652,2162,1856,1578,1131,1854,2391,2688,2315,1886,1854,1767,1581,1726,1621,1605,2197,2360,2183,2379,2420,1939,2164,2088,1987,2128,1951,2304,2346,2136,2600,2472,2022,2258,2341,1831,2045,2275,2121,1981,2280,1718,1817,1646,1615,1927,2185,2364,1639,1564,1809,2329,2276,1614,1488,1870,2442,2045,1560,1859,2094,2449,1497,2003,2148
2233,2472,1616,1721,1730,1669,2309,2328,2271,1896,1753,1678,1671,2123,2637,2131,1841,1563,1150,1914,2400,2646,2284,1869,1840,1758,1572,1720,1628,1661,2263,2380,2181,2353,2394,1916,2137,2070,1967,2109,1931,2275,2319,2111,2580,2479,2061,2340,2325,1834,2039,2277,2108,1950,2270,1747,1869,1645,1608,1912,2162,2375,1681,1563,1788,2297,2286,1669,1477,1862,2412,2092,1550,1847,2060,2495,1498,1998,2127
2257,2457,1625,1701,1722,1668,2366,2322,2243,1878,1743,1667,1701,2162,2618,2101,1829,1551,1172,1971,2405,2580,2255,1856,1829,1748,1565,1713,1641,1721,2327,2396,2175,2326,2365,1893,2111,2054,1950,2091,1910,2247,2294,2085,2559,2480,2098,2420,2305,1840,2036,2274,2099,1925,2259,1772,1922,1644,1600,1899,2137,2380,1738,1563,1772,2263,2291,1737,1469,1853,2386,2132,1540,1836,2028,2531,1496,1989,2102
2273,2442,1636,1682,1713,1676,2413,2311,2212,1861,1733,1657,1740,2195,2593,2074,1819,1539,1196,2032,2407,2533,2226,1845,1819,1741,1557,1705,1666,1782,2384,2407,2166,2299,2333,1871,2090,2037,1929,2073,1886,2222,2273,2059,2541,2480,2134,2492,2285,1843,2035,2273,2095,1902,2247,1791,1980,1644,1591,1888,2111,2380,1805,1563,1756,2224,2289,1803,1462,1844,2360,2167,1531,1825,1999,2562,1495,1981,2074
2286,2425,1651,1668,1700,1699,2448,2292,2182,1843,1721,1646,1785,2220,2563,2051,1809,1529,1222,2086,2408,2495,2197,1835,1810,1735,1551,1697,1707,1839,2436,2412,2151,2271,2301,1851,2070,2015,1903,2053,1855,2198,2251,2038,2526,2480,2162,2550,2266,1844,2034,2272,2093,1883,2234,1805,2047,1644,1582,1875,2086,2376,1867,1563,1743,2186,2284,1868,1453,1834,2334,2201,1522,1814,1976,2593,1494,1972,2048
2295,2408,1668,1657,1685,1738,2477,2272,2154,1825,1708,1636,1829,2238,2527,2032,1800,1524,1251,2137,2409,2461,2170,1826,1804,1727,1545,1693,1761,1894,2480,2412,2130,2244,2272,1834,2053,1992,1880,2032,1824,2172,2226,2020,2508,2478,2182,2596,2248,1845,2034,2272,2092,1865,2217,1816,2122,1644,1578,1858,2058,2369,1932,1563,1731,2154,2277,1944,1444,1825,2308,2233,1513,1804,1954,2618,1491,1964,2018
2297,2390,1686,1647,1671,1780,2509,2254,2126,1808,1697,1623,1877,2253,2485,2015,1791,1521,1283,2184,2409,2428,2144,1819,1799,1719,1538,1695,1823,1943,2510,2408,2107,2216,2242,1822,2039,1970,1859,2012,1798,2148,2200,2004,2483,2472,2197,2634,2230,1845,2034,2272,2091,1848,2199,1826,2200,1644,1573,1837,2033,2361,2009,1560,1720,2127,2265,2023,1434,1815,2277,2265,1508,1793,1933,2641,1487,1956,1984
