Segment 1,Segment 2
2,2
1477,705
1457,684
1441,668
1425,660
1413,664
1405,672
1397,676
1393,688
1393,701
1389,717
1385,733
1381,757
1373,781
1369,809
1361,845
1357,881
1349,921
1345,961
1349,1001
1357,1045
1377,1089
1409,1133
1461,1181
1537,1225
1633,1269
1745,1313
1877,1353
2018,1389
2162,1421
2306,1449
2446,1477
2558,1497
2650,1521
2746,1537
2830,1553
2906,1561
2966,1569
3014,1573
3046,1577
3066,1577
3074,1577
3070,1577
3058,1581
3038,1581
3006,1577
2970,1577
2930,1569
2878,1565
2822,1561
2758,1561
2690,1569
2614,1581
2542,1605
2466,1641
2394,1681
2326,1729
2266,1789
2210,1857
2158,1929
2110,2001
2065,2073
2026,2138
1989,2198
1961,2254
1933,2302
1905,2346
1881,2382
1861,2410
1841,2438
1825,2462
1809,2486
1793,2506
1777,2518
1757,2526
1741,2526
1721,2522
1705,2514
1689,2498
1669,2482
1649,2466
1629,2446
1613,2430
1597,2410
1577,2390
1561,2370
1541,2350
1521,2330
1501,2310
1485,2290
1469,2274
1457,2258
1445,2246
1433,2242
1421,2238
1413,2234
1405,2238
1397,2242
1389,2250
1381,2262
1369,2278
1361,2298
1349,2314
1341,2334
1333,2354
1333,2370
1341,2378
1357,2390
1389,2394
1441,2398
1517,2394
1613,2386
1725,2374
1853,2354
1993,2326
2138,2294
2282,2258
2422,2222
2546,2186
2646,2142
2726,2098
2802,2049
2866,2005
2918,1965
2962,1929
2986,1897
2998,1869
2998,1845
2986,1829
2962,1817
2930,1809
2890,1801
2846,1793
2794,1781
2734,1761
2670,1741
2598,1721
2522,1697
2446,1677
2370,1661
2294,1645
2218,1637
2150,1637
2082,1641
2026,1657
1977,1677
1925,1701
1881,1733
1841,1773
1809,1817
1777,1869
1749,1925
1725,1985
1701,2042
1677,2102
1653,2154
1637,2198
1621,2242
1605,2286
1585,2330
1565,2374
1545,2414
1525,2450
1509,2486
1489,2514
1469,2538
1453,2554
1433,2558
1413,2562
1397,2558
1385,2554
1365,2546
1345,2538
1321,2534
1301,2530
1281,2530
1261,2534
1241,2538
1225,2546
1213,2558
1201,2570
1197,2578
1193,2590
1185,2606
1177,2622
1173,2638
1165,2650
1157,2662
1149,2674
1145,2674
1145,2670
1149,2658
1165,2642
1193,2622
1229,2594
1281,2566
1357,2538
1449,2510
1565,2486
1689,2462
1825,2442
1965,2422
2102,2402
2234,2382
2358,2362
2470,2342
2554,2326
2618,2310
2678,2294
2730,2282
2766,2274
2786,2270
2794,2270
2786,2270
2766,2274
2738,2278
2702,2282
2654,2286
2602,2286
