Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,Segment 9,Segment 10,Segment 11,Segment 12,Segment 13,Segment 14,Segment 15,Segment 16,Segment 17,Segment 18,Segment 19,Segment 20,Segment 21,Segment 22,Segment 23,Segment 24,Segment 25,Segment 26,Segment 27,Segment 28,Segment 29,Segment 30,Segment 31,Segment 32,Segment 33,Segment 34,Segment 35,Segment 36,Segment 37,Segment 38,Segment 39,Segment 40,Segment 41,Segment 42,Segment 43,Segment 44,Segment 45,Segment 46,Segment 47,Segment 48,Segment 49,Segment 50,Segment 51,Segment 52,Segment 53,Segment 54,Segment 55,Segment 56,Segment 57,Segment 58,Segment 59,Segment 60,Segment 61,Segment 62,Segment 63,Segment 64,Segment 65,Segment 66,Segment 67,Segment 68,Segment 69,Segment 70,Segment 71,Segment 72,Segment 73,Segment 74,Segment 75,Segment 76,Segment 77,Segment 78,Segment 79
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-552.3500698907188,-838.2836666896791,-1119.4225694779302,-1390.8811285915735,-1648.1034116888861,-1887.0116406868367,-2104.127454570393,-2296.6613918339303,-2462.568375550194,-2600.569119266188,-2710.1392033684688,-2791.469078570149,-2845.3994301582156,-2873.3371781475867,-2877.1578733631104,-2859.1003403792706,-2821.659103748868,-2767.479493284226,-2699.259512350502,-2619.661695904014,-2531.2373293814394,-2436.3645646047157,-2337.201176127761,-2235.651949588394,-2133.3499632531357,-2031.6503336457813,-1931.6344321442787,-1834.1222459540272,-1739.6904995671323,-1648.6943414542568,-1561.2907708606608,-1477.4624664402006,-1397.041217809797,-1319.730680136093,-1245.1285843867022,-1172.7487533708145,-1102.0432527361768,-1032.4247989648823,-963.2892746892459,-894.0379631039335,-824.0989323933645,-752.9468589613939,-680.1204539349974,-605.2365501956298,-527.9998542799875,-448.207449445277,-365.7474550951114,-280.5918614558485,-192.78439086253363,-102.42508384776409,-9.65398228083646,85.36327251713114,182.4448701742933,281.3942386452173,381.99078955221654,483.9684272934744,586.9821269687865,690.565410146622,794.0840590735896,896.6930180838829,997.3036243892592,1094.5672871472875,1186.8800688493081,1272.4107632205682,1349.1531919091835,1415.0016139161892,1467.8463906097409,1505.6854094031564,1526.745277197217,1529.6049897375058,1513.3137361947963,1477.4938720876007,1422.4200966022838,1349.0665656788717,1259.1149642179907,1154.9184957616303,1039.41961574846,916.0232912326243,788.4322856469744
-545.9165567334403,-808.6976843761311,-1066.975417354365,-1316.1631504720178,-1551.995966997651,-1770.674764351289,-1968.9833025492235,-2144.3734976481364,-2295.0166674478974,-2419.8206078783114,-2518.4142762340557,-2591.1034462779676,-2638.801963016152,-2662.944156013762,-2665.3845445509246,-2648.2911154287935,-2614.0381137219765,-2565.1035207935874,-2503.975394619932,-2433.070192775198,-2354.6651589445396,-2270.845852408327,-2183.4689778828188,-2094.1398665833403,-2004.203268772667,-1914.7455430424068,-1826.605913760825,-1740.3942832300154,-1656.5131510422789,-1575.1814692991745,-1496.4586898974396,-1420.2677906687854,-1346.416648718775,-1274.6176886196106,-1204.506176856122,-1135.6577682809882,-1067.6058905587365,-999.8593320796422,-931.9201014935135,-863.3013534566637,-793.5449527897654,-722.2380617927635,-649.0279650522091,-573.6341955930619,-495.85693568932714,-415.58071505569893,-332.7727173641887,-247.47559071723586,-159.7954688680744,-69.88674940055552,22.064145680444362,115.85334456604316,211.26949839815032,308.09618613072905,406.10412196334204,505.03146873707533,604.5522792385252,704.2354957879539,803.4994560653403,901.5685966458449,997.4394244064458,1089.8619430588094,1177.3411223792975,1258.1611580685924,1330.4334097386354,1392.1670938875031,1441.360081772723,1476.105538489362,1494.7086705616534,1495.8065597613013,1478.4830151590209,1442.3697225417907,1387.7249054047102,1315.4813028578578,1227.2564426219546,1125.3200021287814,1012.5158007379881,892.1398268399555,767.7803940073316
-523.9786778040108,-760.197581599301,-992.2070708258613,-1215.7509855336486,-1426.8892177975406,-1622.137832098216,-1798.5818939958303,-1953.9562032363963,-2086.6915420429445,-2195.926297414602,-2281.4853237134007,-2343.829618702787,-2383.981755529792,-2403.43303932386,-2404.0390177021063,-2387.9101691982355,-2357.3042089856212,-2314.5255311073915,-2261.8360822113245,-2201.3806684479114,-2135.128435359158,-2064.8310618107844,-1991.9971357518095,-1917.8813081880794,-1843.486179549777,-1769.574442411267,-1696.688580135822,-1625.1754170996246,-1555.2130203283064,-1486.837812185621,-1419.970222373823,-1354.4377642593308,-1289.995034787055,-1226.3407378477932,-1163.1323150104981,-1099.999032581173,-1036.554371238879,-972.4083464262543,-907.1800787810531,-840.5106353604552,-772.0759015449238,-701.5990064271083,-628.8616001964625,-553.713081437072,-476.07673888664266,-395.95178374078347,-313.4105005179592,-228.590296259746,-141.68121670973042,-52.910331304378346,37.474924930420656,129.2218949215059,222.08350005628395,315.82180912581333,410.2017551115359,504.97319126639115,599.8410440906962,694.4256122366204,788.2175725900123,880.5341198819033,970.4832217411067,1056.942227811283,1138.5555420266403,1213.7542558069956,1280.798799595328,1337.8438838495415,1383.0233020044225,1414.5505855462875,1430.8300659623756,1430.5716414085914,1412.9015217325032,1377.4605640990967,1324.4816901554343,1254.8383636533783,1170.0571493180335,1072.2890439234511,964.2368677421226,849.039725191928,730.1201548946176
-470.76440282949795,-674.6696742510339,-874.6795624937974,-1066.9509959356578,-1247.9509315904386,-1414.5909420607704,-1564.33430385285,-1695.270666298187,-1806.1558338477862,-1896.4165346642224,-1966.1221834570742,-2015.9274842611514,-2046.9911937687223,-2060.8774717897086,-2059.4469710014077,-2044.7450411557136,-2018.8939804215522,-1983.995182402141,-1942.0455670131898,-1894.8711343778064,-1844.0789768585844,-1791.0276721211806,-1736.8147461126152,-1682.2789588859766,-1628.0145906326666,-1574.394658594789,-1521.600007839549,-1469.6514340508552,-1418.4423568136613,-1367.7699991065917,-1317.3635096669943,-1266.9080065366516,-1216.0641299508834,-1164.483315130523,-1111.8195198231317,-1057.7384487712623,-1001.9253460034764,-944.0922225011647,-883.9850749658689,-821.3913334351782,-756.1474815226065,-688.1465141992677,-617.3446294706882,-543.7663080052376,-467.5067641600645,-388.7307293481728,-307.6667486112076,-224.59669584383164,-139.8409859874823,-53.74079512969319,33.36070251542558,121.13558657100224,209.28415136986447,297.5407114245211,385.6695978276194,473.44939422862905,560.6448804118875,646.9683240369701,732.0342650590848,815.3139325548343,896.0961904831612,973.4613354026618,1046.2726337191075,1113.1887184100192,1172.6981549596976,1223.1757310020084,1262.9583590824302,1290.4369359986333,1304.1591057385508,1302.9366539766381,1285.950264934764,1252.8437063351623,1203.7993297114117,1139.5871457389171,1061.5806185557065,971.7338098141407,872.5168989449149,766.8106266327125,657.7646662547281
-389.5524603581805,-557.7672802168413,-722.3633864460552,-879.9511859007189,-1027.4469896481378,-1162.2013744210224,-1282.099773148182,-1385.6302567249677,-1471.915977645175,-1540.7121983366214,-1592.370106188017,-1627.771590669621,-1648.2407269448847,-1655.4388717108723,-1651.2510388049461,-1637.671448872699,-1616.6956339294518,-1590.225231040737,-1559.9899155782268,-1527.4891378696643,-1493.954599953914,-1460.3327974369063,-1427.285558961058,-1395.205509737566,-1364.2428778370952,-1334.3400152795534,-1305.2702780368381,-1276.6783555333197,-1248.1196459431287,-1219.096752278541,-1189.0916135386024,-1157.5922557624833,-1124.1137144100346,-1088.2133132914958,-1049.5010653836778,-1007.6463395709662,-962.3820279396659,-913.5072863590642,-860.8896293294484,-804.4668419682681,-744.2488596296079,-680.3194555073227,-612.8372716833716,-542.0354516832473,-468.218930604498,-391.75838767714777,-313.08005752496473,-232.65109317583207,-150.9609255389577,-68.4998879508756,14.262925413587633,96.90010741799456,179.04193959997934,260.3850931197343,340.6913351314319,419.77414757693964,497.4724430309466,573.6126130801321,647.9626326277054,720.1840651278362,789.7887775852358,856.106781577431,918.2702841467433,975.217312877297,1025.7165028126954,1068.412915221096,1101.8931364739346,1124.7664067916728,1135.75718247384,1133.803366012692,1118.153479972139,1088.4554014441808,1044.829045721184,987.9156487479987,918.8970216687542,839.4794381464579,751.8389738388541,658.5283773894154,562.3497714985348
-279.85949929156544,-410.1299171355643,-537.0131656132836,-657.600701749175,-769.2870364832999,-869.8911636149326,-957.7499535514252,-1031.7783853954793,-1091.494066298411,-1137.006061671708,-1168.9704851617705,-1188.5173920200339,-1197.1551503999838,-1196.659638289472,-1188.956366473671,-1176.0038234452165,-1159.6857436732705,-1141.7186134025637,-1123.5788652131264,-1106.4522381462855,-1091.2058753768408,-1078.381956759307,-1068.2101358392133,-1060.634984610752,-1055.3542141592409,-1051.863599019276,-1049.5050675896287,-1047.5150870646094,-1045.0710923931865,-1041.334183852243,-1035.4866605194823,-1026.7632987604657,-1014.4757597270997,-998.030129167344,-976.9382302824732,-950.8238221455758,-919.4249779773246,-882.5938443368055,-840.2947324134058,-792.6011931741771,-739.692416783284,-681.8489754585371,-619.4476058832767,-552.9544292188664,-482.9157844034087,-409.94577945929757,-334.7098370074015,-257.90398748428413,-180.2303990267287,-102.37044682598655,-24.957321338650647,51.44933324867512,126.38396133905844,199.4879140761321,270.51176046300395,339.3048276756322,405.7908619747903,469.9306410398715,531.6748417832167,590.912717811326,647.4233238165112,700.8358343579727,750.6042967484793,796.0004988681023,836.1268918059048,869.9498238114503,896.3517606239878,914.199716387119,922.4258255055109,920.1148666942044,906.5926279353423,881.5083445536847,844.9041617061523,797.264716241018,739.5404834697212,673.1396024777275,599.8847891011023,521.9349114567108,441.6747392800442
-127.36240582930562,-219.0348092692685,-307.511973981338,-390.38988812188853,-465.56502942631784,-531.3476264049697,-586.5468157315199,-630.5225515494437,-663.2017560091857,-685.0588815698204,-697.063599950133,-700.600510887793,-697.3674136017219,-689.2598228570623,-678.2501080152421,-666.2697633253262,-655.1026412735583,-646.295492454716,-641.0901804286356,-640.379853499752,-644.6893428668726,-654.1781756463046,-668.6629678069078,-687.6548561350556,-710.4072692679667,-735.969695108321,-763.2438794858418,-791.0397428331579,-818.1289881462324,-843.2947847881031,-865.3760976701498,-883.3053905607883,-896.1387756258126,-903.0782657759999,-903.4864818319897,-896.8947482749812,-883.0058093309325,-861.6923993013493,-832.9927183673966,-797.1036070039852,-754.3719221288655,-705.2843048237887,-650.4552066038461,-590.6127392883212,-526.5816853895931,-459.26292754221254,-389.60871660945077,-318.59366185291464,-247.18204838800833,-176.292892054962,-106.7648369871405,-39.32349913038493,25.44583100394714,87.11707566233943,145.43087831149003,200.28821073642007,251.7286090601776,299.89341837519214,344.97689657961786,387.17041286940713,426.60639336627116,463.3087095840948,497.1551604514365,527.8561350762661,554.9518654698832,577.8290493100212,595.75609500603,607.93484534715,613.5653979538815,611.9195742361728,602.4177042068209,584.7027408479055,558.7053795735615,524.6938715392104,483.3025702274016,435.5340551455243,382.73124464181103,326.5184961727834,268.7142369945149
43.74004489029415,-10.032402231784221,-60.799315332513665,-106.65178842669879,-145.97848137898094,-177.57071088372774,-200.69938832238978,-215.15869531032916,-221.27410005216382,-219.87510435635562,-212.23574582241386,-199.98809256305114,-185.01558247140764,-169.3341130497207,-154.96938224019087,-143.83901472583815,-137.64725322324918,-137.7984483433107,-145.33356502072368,-160.89180481139687,-184.69739686671753,-216.56968389019698,-255.95295441507122,-301.96134931156075,-353.4338836046589,-408.99515378956664,-467.11828055115456,-526.1876217080018,-584.5594829276065,-640.6193481056101,-692.8341402281534,-739.7979713886998,-780.270024420249,-813.2037342984974,-837.7671822295757,-853.3553167055891,-859.5950504610419,-856.3444033017337,-843.6867691418175,-821.9211935628897,-791.5493049972256,-753.2592614876836,-707.9067726097916,-656.4929655838898,-600.1386410302358,-540.0543843542282,-477.50615273743665,-413.7764083973743,-350.1215755692799,-287.7273935321146,-227.66443298225025,-170.84655015525306,-117.99537761672161,-69.61410692932196,-25.973768289251915,12.885174791725516,47.134060595592125,77.12000369200729,103.31498418716123,126.25494469816132,146.47544946979414,164.4507596796751,180.54232099204313,194.96120697026396,207.74745579073215,218.76767083300828,227.7307912826368,234.22060861425263,237.74243292600926,237.78030757049223,233.8603297394842,225.61498666249233,212.8430222067328,195.5592272479442,174.02868540351804,148.78052245874278,120.59740887045224,90.47921077142668,59.58225444363417
226.18330129100084,210.45461573471394,197.51632836493224,188.7624372915581,185.29702392266853,187.83889778997286,196.65399473298686,211.52047966869515,231.7287334753842,256.1155505454772,283.1292117979734,310.91993121426685,337.4486785980119,360.6064870121532,378.3359158524573,388.7464239997455,390.216216224961,381.4746583212917,361.66131355542046,330.3597026853697,287.6058799041839,233.8738065351133,170.04115510959488,97.34026315976251,17.299155724668925,-68.32311723565645,-157.60370410877147,-248.52365449108933,-339.0346499040988,-427.12343816381923,-510.87240767347265,-588.5144410791437,-658.4801652217733,-719.4361314070457,-770.3132228690375,-810.3254047228506,-838.979521998224,-856.0771196554398,-861.7092888455941,-856.2454490760074,-840.3168100137768,-814.7950360851629,-780.7663807142148,-739.5012995597699,-692.4193501362829,-641.0491163234892,-586.9830476511119,-531.8275373598192,-477.1492472277073,-424.419466066221,-374.9589813791471,-329.88645875615464,-290.073659945134,-256.11099975898094,-228.28691196739635,-206.58414977658984,-190.69525745910815,-180.05776441639952,-173.90720156574125,-171.3434032511376,-171.40365405446605,-173.13567008643813,-175.66405698143544,-178.24521592719336,-180.30719695025823,-181.4724976490791,-181.56319934766253,-180.5890883182858,-178.7205072499354,-176.24862331765203,-173.53660027947078,-170.96581273241082,-168.88169947117456,-167.54411188024227,-167.0870886148059,-167.4927643542856,-168.5833032440815,-170.0330737235483,-171.40073346534246
