Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,Segment 9,Segment 10,Segment 11,Segment 12,Segment 13,Segment 14,Segment 15,Segment 16,Segment 17,Segment 18,Segment 19,Segment 20,Segment 21,Segment 22,Segment 23,Segment 24,Segment 25,Segment 26,Segment 27,Segment 28,Segment 29,Segment 30,Segment 31,Segment 32,Segment 33,Segment 34,Segment 35,Segment 36,Segment 37,Segment 38,Segment 39,Segment 40,Segment 41,Segment 42,Segment 43,Segment 44,Segment 45,Segment 46,Segment 47,Segment 48,Segment 49,Segment 50,Segment 51,Segment 52,Segment 53,Segment 54,Segment 55,Segment 56,Segment 57,Segment 58,Segment 59,Segment 60,Segment 61,Segment 62,Segment 63,Segment 64,Segment 65,Segment 66,Segment 67,Segment 68,Segment 69,Segment 70,Segment 71,Segment 72,Segment 73,Segment 74,Segment 75,Segment 76,Segment 77,Segment 78,Segment 79
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113.1146614189668,211.9791017343521,309.7070332999198,404.90424237793854,496.2235356922418,582.395987691388,662.2577111344007,734.7717079992531,799.0448187279221,854.3399632800217,900.0839623141625,935.8713915014367,961.4650642863546,976.7937235237109,981.9473944733086,977.1707085840413,962.8543466165113,939.5246057718449,907.8311070011247,868.5328688785761,822.4832407225513,770.6142945169871,713.9210803752796,653.4457249813508,590.2609456102763,525.4523500949341,460.09893839160765,395.25153943969104,331.9095178183127,270.99683256901545,213.3391102464382,159.64347755962697,110.48243481730519,66.28239225630358,27.317110680904843,-6.293691182240646,-34.580207511443795,-57.71274501129642,-75.98663219911991,-89.80281366536596,-99.64549843153499,-106.05836511061909,-109.62084961887489,-110.9260600006747,-110.56173320955342,-109.09516683467771,-107.06228912304645,-104.9602803811125,-103.2426688673491,-102.31562817303337,-102.53427913467792,-104.19816901437713,-107.54568202564099,-112.74768900730777,-119.90111064967529,-129.02328466079194,-140.04810572697042,-152.82473064457642,-167.1191843125929,-182.61867300655024,-198.93810485671872,-215.62844683451334,-232.18712679680726,-248.0713972666424,-262.71584861508296,-275.5547212066456,-286.048463134498,-293.7126132132329,-298.1460734026873,-299.0555285390032,-296.27329876199343,-289.7670840307258,-279.6414240147823,-266.1317499091646,-249.59236252696726,-230.4796107380512,-209.3313195601232,-186.7434026255702,-163.34457406650188
134.1217078942387,232.9520892812083,330.5906220339259,425.6787691365865,516.9048235273516,603.0331744504447,682.9290483924921,755.578382033711,820.1029605575278,875.7711101586987,922.0042953819905,958.3801148160157,984.6323315892037,1000.6485832294584,1006.4663210192417,1002.2674027181725,988.3715743456016,965.228857165258,933.4107620555735,893.6003564056588,846.5813981584724,793.2268334316022,734.4867727365213,671.3756554778279,604.9579317749386,536.3314565678929,466.60795772870426,396.89038341859,328.2476041977481,261.6877020879388,198.1316479857699,138.38925428269425,83.13884157220463,32.911418879692796,-11.920187742530265,-51.14679815156276,-84.72239595420075,-112.75740214202067,-135.50596492807307,-153.34813692718618,-166.7682173596118,-176.33069550901405,-182.65529629161713,-186.39270136015998,-188.2024542790567,-188.73414957576037,-188.61229910052037,-188.42454645018506,-188.71239379312607,-189.96336665103456,-192.60357424478812,-196.98995613485937,-203.40204947819868,-212.03361826614622,-222.98480307912237,-236.25563089824317,-251.74179726398938,-269.23347732122454,-288.41749242583745,-308.8826469005762,-330.12775792172897,-351.5720619409355,-372.5683097515186,-392.41961455394613,-410.40138676991756,-425.7890725749568,-437.8910668424186,-446.0846482396934,-449.85164215338966,-448.81012378556096,-442.7389551152283,-431.59312206449704,-415.5092357762588,-394.80165770087604,-369.95020724825844,-341.58042073363197,-310.4372479796766,-277.3531865273767,-243.21212783609357
158.12444453057753,256.98883979436664,354.5909684140898,449.59678666570187,540.7195549587178,626.7474893055063,706.5668302941726,779.1800758730873,843.7196127577467,899.4571163177391,945.8091164421966,982.3392459825392,1008.757832483287,1024.9195311098274,1030.8196452215414,1026.5896794771045,1012.4924592437817,988.9168572967664,956.3719717950939,915.4805984081714,866.9719560573652,811.6736867065438,750.5029857234707,684.4563374478465,614.5969771906134,542.0391297542413,467.92834884035165,393.417831741246,319.64130755866347,247.6838543234418,178.55255659643356,113.1490033280231,52.245195974150576,-3.536180900262094,-53.736521780316124,-98.07045993539116,-136.42872686721046,-168.8742777866483,-195.6318288260734,-217.07156527444533,-233.68818617813923,-246.07662696129415,-254.9059080382883,-260.8926879733636,-264.776104959114,-267.29515982511424,-269.16925551548434,-271.08181849312314,-273.6664122836426,-277.49448128244876,-283.0638592333155,-290.78747659779833,-300.9822041457282,-313.85822523000877,-329.5095941803119,-347.90678663104404,-368.89212171118356,-392.1788086572372,-417.3539671799256,-443.8854613471892,-471.13208491025887,-498.3568035322984,-524.7434215843817,-549.4178279464013,-571.4752377805943,-590.014153031324,-604.1762855701799,-613.1900280647051,-616.413813477094,-613.3752431544527,-603.8023048872935,-587.6441681283583,-565.0804676909045,-536.5191239163831,-502.5832897356856,-464.0880972013874,-422.0079382052611,-377.4353609313216,-331.53324073531934
184.3114915957045,283.5245097561411,381.39403355015145,476.59776245930783,567.8620597691024,653.9884882650782,733.8756629794442,806.5362409264944,871.1093699402769,926.8690344151015,973.2287290670084,1009.742986481889,1036.1064316025327,1052.1511095206192,1057.842833709405,1053.2772321225184,1038.6759386737617,1014.3830151681883,980.8613934748807,938.6890280050831,888.554496769118,831.2518317536806,767.6742132206557,698.8058027076445,625.7106590041057,549.5176633975358,471.4007467199701,392.55435024148545,314.16481722917126,237.3791639785441,163.2732236272527,92.82125376853453,26.868695705022834,-33.89081850607119,-88.9334475511454,-137.9173174923895,-180.68805664666044,-217.27714527851654,-247.8931348791399,-272.9064030076653,-292.82850806461886,-308.2873977094698,-319.9998723924848,-328.74289605097414,-335.3254216965707,-340.5621436876756,-345.2500122122962,-350.1476848177122,-355.95756645036425,-363.3097890355084,-372.7474457288344,-384.7126566625919,-399.53349030339376,-417.4121468090764,-438.4150026104561,-462.4652152433221,-489.33865173478205,-518.6638030856313,-549.9259885420975,-582.4756881347138,-615.5405812411046,-648.2410787056547,-679.609837982106,-708.6165576740364,-734.1995851078623,-755.3050891741754,-770.9329422410602,-780.1866718361437,-782.3235089790128,-776.8000372365558,-763.3093428395962,-741.8067111257513,-712.5223492443507,-675.9607797218905,-632.8871253806554,-584.3006512222091,-531.3961262590334,-475.51413977364456,-418.08237882621296
209.67971907126497,308.9578230398671,406.830284662824,501.99007616573783,593.1796637711577,679.2164703479004,759.0135865975358,831.5956168580468,896.1100565877647,951.8346941841911,998.181488747907,1034.6974444971522,1061.0631534686584,1077.0897919933818,1082.7154173931126,1078.0013810465969,1063.1294306798325,1038.3996465257928,1004.2289650700071,961.1498463902079,909.8086188687412,850.9630544077789,785.4785930665557,714.3222927221613,638.5532669625776,559.3084061646217,477.7826341937027,395.2036838922675,312.80218167792594,231.7785782481985,153.26899556063347,78.31217033481774,7.81930098495929,-57.451961122697256,-116.91845794356617,-170.18646884013674,-217.05969446575298,-257.5396472980308,-291.8184297963355,-320.26448218341795,-343.40226280030174,-361.88701917478625,-376.47599467535747,-387.99766711237066,-397.3207641955626,-405.3246225878127,-412.87194638063903,-420.78439185512576,-429.8208764472444,-440.65818332152344,-453.87336459463984,-469.92766315552115,-489.15205120223584,-511.7347781616668,-537.7114301162181,-566.9580475873003,-599.1879008031,-633.9524512909761,-670.6467272013523,-708.5189408652706,-746.6839812871358,-784.1406817392652,-819.7935059582428,-852.4801144938904,-881.0064748936364,-904.1903104819455,-920.9119561898946,-930.1697991535937,-931.1360706756985,-923.2081753465418,-906.0510906636636,-879.627486207398,-844.2136455215765,-800.4004537691125,-749.0793106171817,-691.4130236786646,-628.7920583977905,-562.777302995376,-495.0316587661078
231.67718269952195,330.83232214066777,428.5282635299082,523.4747595474779,614.4317026068267,700.2335314559253,779.8088493052046,852.1952030212893,916.549486863516,972.1545070162158,1018.42216620293,1054.8937695835068,1081.2381076000565,1097.2481292808036,1102.8371458788522,1098.035518365241,1082.9885296465893,1057.9556534331343,1023.3109505430459,979.5440315750511,927.2609332632838,867.1842504311376,800.1517398842203,727.1122819688144,649.1177875572573,567.3097166735967,482.899422032801,397.1423520616496,311.3069961456906,226.64019267587759,144.3309375437658,65.47494976830995,-8.958093674324731,-78.15328268805995,-141.47410238586073,-198.47989776483905,-248.9361147332761,-292.81661031882,-330.2979480209976,-361.7461756844571,-387.6969368733657,-408.8299605950918,-425.93919730639345,-439.9001828252017,-451.63643737358103,-462.08661334165504,-472.1736680692931,-482.776748076619,-494.70594101260025,-508.6796994174738,-525.3046356025006,-545.057550752851,-568.269859884359,-595.1147724619747,-625.5976105441192,-659.5496360639555,-696.6258018952996,-736.3068068975642,-777.9055993127868,-820.5781499395617,-863.33819380481,-905.0759674213919,-944.5817484862719,-980.5758214539956,-1011.7466476751769,-1036.7980631059606,-1054.5044982314148,-1063.7712383582614,-1063.6952717457077,-1053.6216436452912,-1033.19053436829,-1002.3713608388022,-961.4816254805841,-911.1894212163502,-852.4991090753939,-786.7199233457649,-715.4176930632447,-640.3508483763037,-563.3932926015522
248.81653282013002,348.1106127227102,445.8790853871708,540.8390194772539,631.7594932408676,717.485350917609,796.956044560403,869.2195642486132,933.4419863109364,988.913225278172,1035.049463710004,1071.3927470493945,1097.608387486176,1113.4810240210286,1118.9103801318486,1113.9078192833022,1098.5945371219661,1073.2016815657914,1038.0721246402386,993.6632283334004,940.5497884445069,879.4263100648759,811.1076491146792,736.5267338001507,656.7277934719577,572.8536431091364,486.12620188308824,397.8203293072433,309.23194582399105,221.64212802432434,136.27936354332283,54.282273891342605,-23.335203519118895,-95.71469699061991,-162.17917406500078,-222.25243436639352,-275.6711812763569,-322.38891084308744,-362.57148446723863,-396.5848071635212,-424.97535130511847,-448.44445115615025,-467.817548730096,-484.00994546596024,-497.9909150191169,-510.7480208350572,-523.2531175956666,-536.4309684893391,-551.1308862861837,-568.101434531339,-587.9680834867404,-611.2138177158579,-638.162899286641,-668.9680852160069,-703.6015346080609,-741.8495844708602,-783.3116159864933,-827.4032404804713,-873.36386877264,-920.2684857784425,-967.0434072835391,-1012.48618489177,-1055.2906315726227,-1094.0787375143138,-1127.4413413475881,-1153.9883864602025,-1172.407688921307,-1181.529112454856,-1180.389536508744,-1168.293333832411,-1144.8633260111417,-1110.0782259033947,-1064.293980791225,-1008.2476098919531,-943.0427400459098,-870.1163146145386,-791.1864828331923,-708.1828311688289,-623.1617628031295
262.8689233364362,361.67053898434415,458.8851454939708,553.2440632664586,643.5325954483282,728.6130873109836,807.4429223963142,879.087510680186,942.7288690735186,997.6704387978139,1043.3386388488261,1079.2816359564838,1105.1659668719976,1120.7718949047367,1125.9886430342467,1120.8107483769395,1105.3365119504574,1079.7689123395346,1044.4187005352771,999.708924674895,946.179910752806,884.4936710005562,815.4365986609985,739.9189975043819,658.9697194681984,573.7243440005127,485.40604003611986,395.29923454691834,304.71712844485927,214.9648112620645,127.30020009789509,42.89515540107386,-37.201163242522945,-112.09512371171962,-181.07634664930825,-243.63905435186172,-299.4958256058702,-348.58294452180405,-391.05716524123085,-427.2842436811628,-457.8198695768418,-483.38380825691354,-504.82834853736233,-523.1025866178966,-539.2144488269283,-554.192420193723,-569.0486476430274,-584.7445807809622,-602.1598000670803,-622.0642971599276,-645.0942955382548,-671.7317359923735,-702.2876606328397,-736.8897170882404,-775.4738589824661,-817.7802223120779,-863.3532056356032,-911.545835207467,-961.5284035113507,-1012.3012109069093,-1062.7112731607274,-1111.4733030758382,-1157.1960948932835,-1198.416198871008,-1233.6407957870426,-1261.400573860475,-1280.3114602829921,-1289.1420054564364,-1286.8816920846127,-1272.804742263598,-1246.5242021851657,-1208.032080000983,-1157.7226905343568,-1096.3975283198629,-1025.2505980889803,-945.8334296963538,-859.999621847693,-769.8300644707978,-677.5418354510383
272.6133921906671,370.4637228823036,466.6742791858278,559.9963351334737,649.237017120671,733.281591467735,811.1105452499293,881.8115662793118,944.5870949977714,998.7581575859667,1043.7650117779656,1079.1650836426636,1104.6288225490723,1119.9343846103247,1124.962375867483,1119.6920288210736,1104.1999060409057,1078.6615666631667,1043.3559043481634,998.671318232867,945.1125980142709,883.3073294958153,814.0105218708399,738.1058592987958,656.601716031911,570.6202696664894,481.3788218236118,390.1634853091505,298.29633886386006,207.09784369151947,117.84676596984525,31.73997939672697,-50.145736430745124,-126.88823536690396,-197.74949052822106,-262.19865009058765,-319.9273691920627,-370.8565564937933,-415.1343125708523,-453.1253395128313,-485.39234616739174,-512.6701391823857,-535.8334072354357,-555.8596977925822,-573.7895307970269,-590.6857345924627,-607.5938588955044,-625.5050561813491,-645.3223219416108,-667.8305880782094,-693.6709530063026,-723.319300705772,-757.0695678330925,-795.02179545128,-837.0748709495566,-882.923727132194,-932.0608185268692,-983.7817949680134,-1037.1952751534068,-1091.236550680623,-1144.6851659420925,-1196.1868226866645,-1244.2808881762126,-1287.4354955229219,-1324.0921655416794,-1352.7207046960636,-1371.8831555195766,-1380.3035236845942,-1376.938484769559,-1361.0435607530537,-1332.2294277897631,-1290.5039746110635,-1236.2970827364782,-1170.4662466955097,-1094.28173814656,-1009.3903150090333,-917.75714956659,-821.5870782497383,-723.2282983065829
