23_80_beat1,23_99_beat2,23_66_beat3,23_66_beat4,23_53_beat5,23_55_beat6,23_55_beat7,23_8_beat8,23_47_beat9,23_54_beat10,23_92_beat11,23_70_beat12,23_70_beat13,23_28_beat14,23_81_beat15,23_81_beat16,23_81_beat17,23_46_beat18,23_22_beat19,23_62_beat20,23_32_beat21,23_32_beat22,23_68_beat23,23_25_beat24,23_59_beat25,23_59_beat26,23_89_beat27,23_79_beat28,23_44_beat29,23_76_beat30,23_76_beat31,23_87_beat32,23_65_beat33,23_2_beat34,23_86_beat35,23_86_beat36,23_86_beat37
-0.0417110355688849,-0.0760718736276818,-0.0175090009008069,-0.0163068379276858,-0.0182373420580257,-0.0609750875948066,-0.0187981327879062,-0.0384316081192975,-0.0728286624011395,-0.0167242710468693,-0.0308100528015186,-0.045353151044314,-0.0351567084291509,-0.0292445433348565,0.0021140857060673,-0.0180053758629487,-0.0326940312552586,-0.0262888989211973,-0.0480289744142047,-0.0225259086734661,-0.074467308898171,-0.0341192250941185,-0.0266179839192033,-0.2411143912495997,-0.0222318341909781,-0.0143315470002428,-0.1750520808122694,-0.0732038459647833,-0.0184972220067458,-0.0263218080880479,-0.0198082622406716,-0.0250817097744874,-0.0219097899574752,-0.0428560855449918,0.006037582141101,-0.0174802698280692,-0.040743239380197
-0.0406795458384516,-0.072852680576634,-0.016217675632989,-0.0166947394901772,-0.0169524155625718,-0.0593645715802548,-0.0172951864140469,-0.0377412402084654,-0.0725745403498083,-0.0179447435715511,-0.0302925169427639,-0.0449185540760759,-0.0347541637435498,-0.0300348677508098,0.0014594674914578,-0.017484925661046,-0.0318368866523698,-0.0261804140664597,-0.0479405817834799,-0.0254099128653346,-0.0725026816803343,-0.0342233023782675,-0.0263051609787803,-0.2413044979782294,-0.0225893303178666,-0.0147601188092912,-0.1721458899800065,-0.0719096257297325,-0.0170912019080008,-0.0231472893944721,-0.0190107578906436,-0.0242478948281117,-0.0193265554780859,-0.042833142334253,0.0071373403076959,-0.0164235977689472,-0.0399059914395931
-0.0392112244503907,-0.0695209975156326,-0.0148724857890141,-0.0169263518306972,-0.0154839395149344,-0.0575493711841684,-0.0155845500684325,-0.036752479252007,-0.0717338779702449,-0.019070548501742,-0.0295000651471412,-0.0441810435862809,-0.0340766578414098,-0.0306329251328009,0.0008387938480958,-0.0167566036683801,-0.0307674276013621,-0.0258779755145855,-0.0474535968833562,-0.0280164697692838,-0.0700698616662211,-0.0341381969439061,-0.0257929632652853,-0.2399877307239485,-0.022816178232608,-0.0151053349612842,-0.1685456509430334,-0.0703714508032531,-0.0152935523900091,-0.0200014203717769,-0.0180148235484322,-0.0232249036923763,-0.0165329010819687,-0.0424600580057603,0.0082639179337691,-0.0151353823069898,-0.0389048335309404
-0.0373104836941846,-0.0660956451861507,-0.0134909888367964,-0.0169911904025017,-0.0138482495789024,-0.0555567218913271,-0.013688862782539,-0.0354713894350503,-0.0702060685061203,-0.0200705448339162,-0.0284307535164292,-0.0431419642786459,-0.0331214565830644,-0.0310151526309663,0.0002925270240605,-0.0158292308065745,-0.0294988701386433,-0.0253731261654607,-0.0465484002581689,-0.0303043365713193,-0.0671813682138091,-0.0338395025106675,-0.0250818159293173,-0.237094420136499,-0.0228978656112599,-0.0153561147613998,-0.1642489151951283,-0.0685778441507265,-0.0130760098713999,-0.0169083998906416,-0.0168154539364457,-0.0220221154325774,-0.0135606436976309,-0.041720466526664,0.0094565680840825,-0.013628778416592,-0.03774979103332
-0.0349899577309083,-0.0625950901443626,-0.0120898437131609,-0.0168817306793972,-0.0120653537600701,-0.0534140698892355,-0.0116339865240429,-0.0339106461234307,-0.0678969597609414,-0.0209129061039836,-0.0270878679122739,-0.0418088275140645,-0.0318912530907487,-0.0311610000604357,-0.0001413401994856,-0.0147157384188047,-0.0280484790128707,-0.0246613429511994,-0.0452132820477978,-0.0322334100315325,-0.0638568944781906,-0.0333050996074323,-0.0241759207360724,-0.2325735403102774,-0.0228220113652758,-0.0155017486045609,-0.1592661734408689,-0.0665214192942752,-0.0104191792617486,-0.0138904173091351,-0.0154120037794123,-0.0206522681380419,-0.010444925820824,-0.040605094117094,0.0107517487198884,-0.011921716424377,-0.0364531872088004
-0.0322703310673257,-0.0590374928793031,-0.0106844976321868,-0.0165937445467212,-0.0101583893886406,-0.0511484208087733,-0.0094482586738852,-0.032089341146372,-0.0647239519394961,-0.0215660326172209,-0.0254801534269247,-0.0401951900674454,-0.0303942882762277,-0.0310537618584689,-0.0004284986492963,-0.0134328415875683,-0.0264370396811452,-0.0237423654545294,-0.0434451091171133,-0.0337655768788188,-0.0601230252434402,-0.0325160655765591,-0.0230831933539874,-0.2263955493125972,-0.0225788704099649,-0.0155323330549755,-0.1536198483912469,-0.0641996170202368,-0.0073131638188436,-0.0109674600488251,-0.0138084071374291,-0.0191311989730218,-0.0072232792489698,-0.0391123352589246,0.0121817431924665,-0.0100364366842823,-0.0350293509289031
-0.0291799294726676,-0.0554407543243795,-0.0092889417673696,-0.01612653465804,-0.0081529790991864,-0.0487857713686656,-0.0071616943294859,-0.0300325663805591,-0.0606210057568188,-0.0219995603083254,-0.0236218773746932,-0.0383203286070086,-0.0286442835764212,-0.0306813088901258,-0.0005393881868198,-0.0120005873429401,-0.024688208026569,-0.02262037993307,-0.0412497312140389,-0.0348655886082298,-0.0560127693673627,-0.0314574958140194,-0.0218150808638402,-0.2185548871869957,-0.022161769262183,-0.0154392155118331,-0.1473431429475637,-0.0616152394759716,-0.0037578958739138,-0.0081571640509046,-0.0120132412421932,-0.0174774861613326,-0.0039346475064835,-0.0372485760320041,0.0137734865807304,-0.0079988790552493,-0.033494253845319
-0.0257540899967815,-0.0518225465872916,-0.0079155381555102,-0.0154830541641017,-0.0060765133398132,-0.0463506367949397,-0.0048051710347846,-0.027770790305507,-0.0555433087412272,-0.0221854304675465,-0.0215327146055292,-0.0362087224796248,-0.0266601852502568,-0.0300366848464989,-0.0004500757251934,-0.0104417967860888,-0.0228277666655621,-0.021304047835176,-0.0386421037051766,-0.0355019442493051,-0.0515649162249907,-0.0301191996047078,-0.0203862666696689,-0.2090720117875759,-0.0215674501615528,-0.0152154267590194,-0.1404787955091603,-0.0587767587278155,0.000236837662969,-0.0054747086689026,-0.0100396274653082,-0.0157120067191726,-0.0006184050864468,-0.0350282448848161,0.015547644651507,-0.0058379535131391,-0.0318650938065699
-0.0220343355740656,-0.0482003164894209,-0.0065749164173903,-0.0146699043937699,-0.0039573895744007,-0.0438656818100459,-0.0024096272114527,-0.0253390515060582,-0.049471351052945,-0.0220989776818026,-0.0192374519007053,-0.0338893662656566,-0.0244657286028527,-0.029118537423307,-0.0001429155754514,-0.0087814248355066,-0.0208828207708731,-0.0198063753618864,-0.0356461166228271,-0.035647763852502,-0.0468232329557881,-0.0284962394630972,-0.0188142751749605,-0.1979948641385147,-0.0207963051134989,-0.0148560789214229,-0.1330777891297278,-0.0556983879151244,0.0046516685364876,-0.0029327561350254,-0.007904969865696,-0.0138574272480578,0.0026865908828845,-0.0324735837774953,0.0175179774137844,-0.0035847230873295,-0.0301598439986604
-0.0180673869026508,-0.0445912541113548,-0.0052759356028798,-0.0136972087704419,-0.0018242392546521,-0.0413514580885164,-5.302673528539739e-06,-0.0227760010595783,-0.0424141793642749,-0.0217199883758526,-0.0167655165751849,-0.0313949412796063,-0.022088839057585,-0.0279313616830022,0.0003930283894829,-0.007045864554363,-0.018880968473673,-0.0181444282720521,-0.0322941326522165,-0.0352816345136398,-0.0418355262695208,-0.0265892902113669,-0.0171189930164053,-0.1853996707775755,-0.0198524861725305,-0.0143587068852764,-0.1251980543722058,-0.0523999148126237,0.0094582008205357,-0.000541434288804,-0.0056305397918701,-0.0119376475787427,0.0059428851291588,-0.0296141459972078,0.0196910032926629,-0.001271533398878,-0.0283967886999574
