31_49_beat1,31_9_beat2,31_9_beat3,31_24_beat4,31_24_beat5,31_58_beat6,31_19_beat7,31_26_beat8,31_23_beat9,31_23_beat10,31_68_beat11,31_35_beat12,31_35_beat13,31_20_beat14,31_20_beat15,31_12_beat16,31_44_beat17,31_6_beat18,31_6_beat19,31_60_beat20,31_60_beat21,31_42_beat22,31_42_beat23,31_48_beat24,31_16_beat25,31_37_beat1,31_37_beat2,31_91_beat3,31_18_beat4,31_18_beat5,31_81_beat6,31_98_beat7,31_63_beat8
-0.0112914800713485,-0.0178519378678629,-0.0098576765200573,-0.0168476821184596,-0.0210228448031304,-0.0087795075679224,-0.0193849361476497,-0.0130173633837544,-0.0113018541115019,-0.0114954857179276,-0.0119906178962094,0.004062101961292,-0.0259476256618843,-0.0254568888868979,-0.0159474588820521,-0.0018577495151827,-0.0385028318593733,-0.0115530135820013,-0.0137113968735388,-0.0112918718931889,-0.0187885453302931,-0.0020152205346982,-0.0164634110986011,-0.0098330462102303,-0.024202970848074,,,,,,,,
-0.0109923374522758,-0.0185552686224824,-0.0092518963889424,-0.0171583864986333,-0.0204528203158137,-0.0088656562923633,-0.0179042133892537,-0.0116614528221816,-0.0117103895332542,-0.0113811921828467,-0.0119901528117485,0.0052307583540839,-0.0260743618838177,-0.0250245782736086,-0.0155746168632816,-0.0029182687347516,-0.0390488642137818,-0.0119555826917362,-0.01397020790343,-0.0101410543076075,-0.0175453753701144,-0.0010772878828048,-0.0157793678126703,-0.009390397279756,-0.0236274935384146,,,,,,,,
-0.0105868709320616,-0.019123839606201,-0.0085654705026235,-0.0173913367056652,-0.019743372965495,-0.0088450467010061,-0.0163343467811167,-0.0101404360159532,-0.0120247126792998,-0.0111532657648081,-0.0118660285935541,0.0064054447694462,-0.0260325083023835,-0.0244723877658048,-0.0150217564220943,-0.0039617414216712,-0.0393294243232962,-0.012278338412545,-0.0141648458487661,-0.0089711705404896,-0.0163655051118642,-9.560314712723842e-05,-0.0149675929312581,-0.0088744935296437,-0.0229268572553764,,,,,,,,
-0.010075721214685,-0.0195449795474633,-0.0078000746543855,-0.0175364474853854,-0.0189006907497007,-0.0087132680268056,-0.0146986997773544,-0.0084592393955981,-0.0122376982088612,-0.010811614516026,-0.0116151035173796,0.0075958893460945,-0.0258121886367304,-0.0237918190937765,-0.0142920849077795,-0.0049645651118911,-0.039329998665228,-0.0125146281179424,-0.0142854310022496,-0.0077862726152461,-0.0152544659478306,0.0009205685160918,-0.0140379820145587,-0.0082924241009201,-0.0220956791656485,,,,,,,,
-0.0094614603414508,-0.019808318483255,-0.0069592781953923,-0.0175837861309982,-0.017933426250915,-0.0084678342873788,-0.013021317285931,-0.0066257433921127,-0.0123439311141178,-0.0103588162292101,-0.0112371306861428,0.0088105965836484,-0.0254057458399598,-0.0229760409057181,-0.013392003881471,-0.0059040501048621,-0.0390418582563003,-0.0126591704498868,-0.0143231624083641,-0.0065879398842085,-0.0142146858617257,0.0019616059875445,-0.0130027703078969,-0.0076524597321055,-0.0211297836842632,,,,,,,,
-0.0087485717567334,-0.0199061514778585,-0.0060485145420747,-0.0175240120559593,-0.0168525482767944,-0.0081083542674347,-0.0113262669280541,-0.0046508661338199,-0.0123399370232172,-0.0098000840978362,-0.0107348271828561,0.01005629157052,-0.0248080512264165,-0.0220202805968929,-0.0123309320966386,-0.0067589282236363,-0.0384624073647387,-0.0127082591215664,-0.0142706358858768,-0.0053752655826018,-0.0132456286844594,0.0030177448149758,-0.0118761598482585,-0.0069638284171457,-0.0200266478542013,,,,,,,,
-0.0079433656424235,-0.0198337363658077,-0.0050749904347995,-0.0173488233256178,-0.0156711156568792,-0.0076366360268033,-0.0096370089478164,-0.0025485500855085,-0.0122243597103503,-0.0091431395995082,-0.0101138407886897,0.0113374725502492,-0.024016768402035,-0.0209221438876079,-0.0111210485788697,-0.0075098213013281,-0.037595322221686,-0.0126599118274728,-0.0141221234172965,-0.0041449490893754,-0.0123440274975462,0.0040792861884871,-0.0106738783291349,-0.0062364587057354,-0.0187858267150145,,,,,,,,
-0.0070538332254649,-0.0195895114482293,-0.0040475387914187,-0.017051386690283,-0.0144039827453723,-0.0070567199295734,-0.007975817961445,-0.0003356486035297,-0.0119980748745325,-0.0083979982223526,-0.0093826154630617,0.0126560953638979,-0.0230325577976524,-0.0196818466004198,-0.0097769678872608,-0.008139658211,-0.0364504835468017,-0.0125139577042756,-0.0138738021456536,-0.0028914952238113,-0.0115042012694428,0.0051367971884175,-0.0094126893804338,-0.0054807022143976,-0.0174093325810153,,,,,,,,
-0.0060894467848322,-0.0191752219445019,-0.0029764213895244,-0.0166267283145089,-0.0130674495652046,-0.0063748374987983,-0.0063632757542171,0.001968286164735,-0.0116642319086501,-0.0075766775085473,-0.0085521613559684,0.0140114046404324,-0.0218592087937914,-0.0183023479048199,-0.0083153613658951,-0.0086340305165643,-0.0350437148834138,-0.0122720597665185,-0.0135239234014005,-0.0016075173398394,-0.01071844152848,0.0061812978689293,-0.0081098760792276,-0.0047070477817658,-0.0159019431417256,,,,,,,,
-0.0050609146557018,-0.0185959475173622,-0.0018730885796413,-0.0160720644164498,-0.0116788720445506,-0.0055992968863602,-0.0048178496354185,0.0043413083308117,-0.011228218648284,-0.0066928400770655,-0.0076357393270909,0.0153999172151263,-0.0205036885914412,-0.0167893798486053,-0.0067545389727565,-0.0089814783319935,-0.0333963453564166,-0.0119376719302189,-0.013072914885281,-0.0002841361306211,-0.0099774539105157,0.007204431289516,-0.0067827204940074,-0.0039258397598639,-0.0142714160305317,,,,,,,,
-0.0039799025040743,-0.0178600271785762,-0.0007499038464286,-0.0153870542792995,-0.0102562492782274,-0.0047402991877546,-0.0033555658134269,0.0067594667109776,-0.0106975477711346,-0.0057613866439111,-0.0066484735395747,0.016815553811079,-0.0189761000753262,-0.0151513738683582,-0.0051140061917577,-0.0091736997367741,-0.0315346202920503,-0.011515933445089,-0.0125234121768469,0.0010885388025364,-0.0092708377899052,0.0081986130602012,-0.0054480018516229,-0.0031470122205451,-0.0125285918568639,,,,,,,,
-0.0028587334284563,-0.0169788821373799,0.000380158607104,-0.0145739623457157,-0.0088178051222715,-0.0038096930116628,-0.0019897822043322,0.0091972639025384,-0.0100816673861514,-0.0047980154970458,-0.0056069084860182,0.0182499061738728,-0.0172895447903573,-0.0133992907164288,-0.0034140097497841,-0.0092056790979312,-0.0294889861270009,-0.011013506584564,-0.0118802189161348,0.0025208621181312,-0.0085875859797775,0.0091571573499252,-0.0041215345414682,-0.0023798494704711,-0.0106873734006959,,,,,,,,
-0.0017100799925778,-0.0159667414466019,0.0015038348694581,-0.0136377210551334,-0.0073815807266071,-0.0028206774440938,-0.0007310603478238,0.0116281707860917,-0.0093917021652747,-0.0038187654040321,-0.0045285286603531,0.0196926191902998,-0.0154598915787086,-0.0115463654156764,-0.0016750845799624,-0.0090757318662903,-0.0272932773174102,-0.0104383661027132,-0.0111501981058824,0.0040230620722889,-0.007916585783659,0.01007437667175,-0.0028177647367731,-0.0016327813548863,-0.008764575344541,,,,,,,,
-0.0005466611100562,-0.014840279399076,0.0026079023899094,-0.012585891387383,-0.0059650529442514,-0.0017874656755427,0.0004128680796485,0.0140251796458434,-0.0086401348900344,-0.0028395586083082,-0.0034312599532124,0.0211318615247733,-0.0135054561065506,-0.0096077830658474,8.238708151208046e-05,-0.0087854657979338,-0.0249838328196766,-0.0097995510921492,-0.0103420998111505,0.0056046304727074,-0.0072471026225611,0.0109456531652661,-0.0015494410722645,-0.0009132195651964,-0.0067796460982213,,,,,,,,
0.0006190441640906,-0.0136181773097145,0.0036795124158904,-0.0114285233740013,-0.0045847911156073,-0.0007249229838849,0.0014370481208404,0.0163613783211826,-0.0078404412878248,-0.0018757595367613,-0.0023329717333338,0.0225548543031908,-0.0114466011090973,-0.0076003042765972,0.0018385951925608,-0.0083396610285356,-0.0225985685415755,-0.0091068913373301,-0.0094663329383142,0.0072737195478093,-0.0065692281639673,0.0117674796066958,-0.0003273707684056,-0.000227438734255,-0.0047542704407092,,,,,,,,
0.0017750553483273,-0.0123206253930982,0.0047065149284355,-0.010177923786693,-0.0032561617514617,0.0003518065652834,0.0023391723643981,0.0186105277750657,-0.0070066933305085,-0.0009417632615274,-0.0012509975620462,0.0239484255319316,-0.0093052713598044,-0.0055418605096179,0.0035746922263096,-0.0077460739035603,-0.0201760303844238,-0.0083707209726563,-0.0085346906499604,0.0090365725561758,-0.0058742764176877,0.0125374690366885,0.0008397319335287,0.0004194963135031,-0.0027118683490016,,,,,,,,
0.0029101131324458,-0.010968782757633,0.0056777670326861,-0.0088483425106191,-0.0019930873876283,0.0014276704233889,0.0031193881346282,0.0207476260705538,-0.0061531476231565,-5.062580750597539e-05,-0.0002016907028128,0.0252995582607469,-0.0071044808165295,-0.0034511396297187,0.0052731478182299,-0.0070151718286431,-0.017754450522976,-0.0076015922027468,-0.0075600402618882,0.0108970140842211,-0.0051551136539579,0.0132543327257801,0.0019453029091935,0.0010237580344186,-0.0006770110437596,,,,,,,,
0.0040138595651901,-0.0095842149791881,0.0065834156622438,-0.0074555925276859,-0.0008078626123553,0.0024880613778991,0.003780054418174,0.0227494428469228,-0.0052938360467041,0.0007862537614134,0.0007999717982244,0.0265959028277785,-0.004867771870094,-0.0013471805837335,0.0069180622295375,-0.0061598085302694,-0.0153708277277687,-0.0068100010614521,-0.0065559891714553,0.0128560237186797,-0.0044064111786167,0.0139178271894148,0.0029848934524357,0.0015827411877273,0.0013252204170323,,,,,,,,
0.005076972091159,-0.0081883292403257,0.0074151455317178,-0.0060166208261713,0.0002889727966887,0.0035191427931868,0.0043254621510892,0.0245950098435837,-0.0044421754240136,0.0015593917726596,0.0017407254802624,0.0278262275734247,-0.0026186679591363,0.0007510064398825,0.0084954338285617,-0.0051948508886547,-0.0130600510305811,-0.0060061357673306,-0.0055365385285087,0.014911413242974,-0.0036248138180137,0.0145286720798582,0.0039560507442074,0.0020950098094542,0.0032699059742725,,,,,,,,
0.0060912503182539,-0.0068018266356118,0.0081663836325135,-0.0045490488623882,0.001288706360084,0.0045081350720174,0.0047615311106646,0.0262660547173827,-0.003610611705486,0.0022614133874714,0.0026092873107955,0.0289807877829463,-0.0003801409530188,0.0028247814657871,0.0099933762877252,-0.0041367698192445,-0.0108540849282615,-0.0051996563085991,-0.0045157360597762,0.0170576228766694,-0.0028090211895017,0.0150884419549007,0.004858124384687,0.002560211697584,0.0051329578473133,,,,,,,,
0.007049656934789,-0.0054441900152023,0.008832452314832,-0.0030707014570823,0.0021844758889129,0.005443555385705,0.0050954957640185,0.0277473672546661,-0.0028103121240681,0.0028871776692361,0.0033965520612319,0.0300515988536374,0.001825886331192,0.0048561688713557,0.0114022815735581,-0.0030032084594016,-0.0087812335303169,-0.0043995116210473,-0.0035073387883365,0.0192856465980776,-0.0019597831681553,0.0155994360642734,0.0056920130588261,0.0029789666987481,0.0068917640091533,,,,,,,,
0.0079463165046717,-0.0041332237829299,0.0094106642076377,-0.0015991423161198,0.0029712494064925,0.006315405188905,0.0053355911408738,0.0290270890491293,-0.002050916102011,0.0034338329084551,0.0040957141696246,0.0310326062949746,0.0039789842087813,0.0068280994178747,0.0127149251908856,-0.0018125411208493,-0.0068655003813203,-0.0036137982844443,-0.0025244954444652,0.0215830905481492,-0.0010798150861818,0.0160645313049961,0.0064598677106053,0.0033527354095018,0.0085257779003967,,,,,,,,
0.0087764778200453,-0.0028846595331789,0.0099003539294592,-0.000151232879971,0.0036457693466097,0.0071153025863016,0.0054907482420876,0.0300969197854036,-0.0013403525882504,0.0039008027549799,0.0047023156865972,0.0319197516932107,0.0060605915135164,0.0087245993324105,0.0139265106537576,-0.0005834360965579,-0.0051260598594575,-0.0028496622324077,-0.001579457224346,0.0239343622247106,-0.0001736418110892,0.0164870242829724,0.0071647689355387,0.0036836748643297,0.0100170320125008,,,,,,,,
0.0095364469761637,-0.0017118384745358,0.0103028437159481,0.0012572708774973,0.0042064686992423,0.0078365591267944,0.0055703067826243,0.0309522354389021,-0.0006847281676905,0.0042897055421555,0.0052142232098892,0.0327109397958906,0.0080543106323423,0.0105309290769972,0.0150346509074144,0.0006655654934282,-0.0035768547803316,-0.0021132427072418,-0.0006833242816901,0.0263209819718076,0.0007526173139398,0.0168704689059779,0.0078103966224909,0.0039744874409763,0.0113505575251611,,,,,,,,
0.0102234992770633,-0.0006254784211516,0.0106213426571543,0.0026120715603345,0.0046533665638877,0.0084742029503754,0.005583751299781,0.0315921159803001,-8.828691139077038e-05,0.0046042109431082,0.00563153865554,0.0334059170682234,0.0099461145743706,0.0122336772306572,0.0160392855046491,0.0019164439884392,-0.0022263328717384,-0.0014096557260386,0.0001541660256368,0.0287220024860671,0.0016915087947851,0.0172185160749475,0.0084007092036654,0.0042282686446038,0.0125146973356555,,,,,,,,
0.0108357784450559,0.0003664701039382,0.0108607820646321,0.0039006239180013,0.0049879499165748,0.0090249522994192,0.005540474923345,0.0320192825557459,0.0004465602899733,0.0048498397711212,0.0059564502927206,0.0340060762059743,0.0117244626668696,0.0138208168844638,0.0169425337941834,0.0031520594774422,-0.001077331969009,-0.0007430127518846,0.0009248045464468,0.03111451702947,0.0026345358423248,0.0175347618166948,0.0089396482827947,0.0044483587108283,0.0135013051990164,,,,,,,,
0.0113721913945758,0.0012588772763254,0.0110275923981086,0.0051123621499701,0.0052130474075895,0.0094871451401548,0.0054495734816423,0.0322399465810306,0.0009191420966,0.0050337142989523,0.0061930317162308,0.0345142040155808,0.01338032561151,0.0152817330702833,0.0177484862078704,0.0043564668881722,-0.0001271200725836,-0.0001164691384873,0.0016220263153796,0.0334742330603093,0.0035724651729655,0.0178226096223218,0.0094308820366805,0.004638202166331,0.0143058289675342,,,,,,,,
