4_87_beat1,4_87_beat2,4_48_beat3,4_94_beat4,4_94_beat5,4_21_beat6,4_91_beat7,4_91_beat8,4_8_beat9,4_55_beat10,4_85_beat11,4_85_beat12,4_95_beat13,4_78_beat14,4_78_beat15,4_59_beat16,4_59_beat17,4_35_beat18,4_35_beat19,4_44_beat20,4_15_beat21,4_80_beat22,4_80_beat23,4_80_beat24,4_20_beat25,4_20_beat26,4_77_beat27,4_77_beat28,4_77_beat29,4_77_beat30,4_1_beat31,4_82_beat32,4_54_beat33,4_32_beat34,4_60_beat35,4_11_beat36,4_11_beat37,4_11_beat38,4_74_beat39,4_74_beat40,4_74_beat41,4_41_beat42,4_16_beat43
-0.0152293810208243,0.0322342652761536,0.0247821025781282,-0.2683687817553468,-0.2568984592482518,-0.1788526543522706,0.0136869209911119,-0.2597217464065433,0.009424671561382,-0.110005745621229,-0.2162688840700325,-0.1039530305265431,0.0906680334028727,0.0530487058623382,-0.2661087606202838,-0.1991866636245747,-0.2616307063315878,-0.0842432677123221,-0.2040650791847425,-0.2234505463358943,0.0482126832143567,-0.1069107420698573,-0.081704739034916,-0.1653863190938626,-0.0740099009061337,-0.1585361875064253,-0.2455373170213961,-0.1452459306401292,-0.1791716615808601,-0.0773479401499955,-0.1373181705799792,0.0090149931457045,-0.0586702484998872,-0.2371330654052293,-0.0227217830963517,0.097246683093207,-0.2013192465778425,-0.1276890113725279,-0.2140631465855776,-0.1621088411630305,-0.1318023887732571,-0.1454135598479511,-0.1348797896941984
-0.0185582488194555,0.0481910582725275,0.0305398349415597,-0.2692495842370117,-0.2536089037306367,-0.176883642875533,0.0130315748861954,-0.2602719802567944,0.0068298646159307,-0.1107307388849813,-0.2157799447494955,-0.1033027442077621,0.0797831193190343,0.0492537222692808,-0.2595117147657185,-0.2012987315032036,-0.2568541921323439,-0.0862226582221681,-0.2078548967188241,-0.2251959663967027,0.0713397441417949,-0.111598858351763,-0.0820737066566244,-0.1585219817382247,-0.0734641758053506,-0.1539989463109899,-0.2523738165143848,-0.1477305700432903,-0.1778360424678093,-0.0718441428231615,-0.1364957168826012,0.0119811401130699,-0.0600087358962555,-0.22255143580406,-0.0257220696618899,0.0895407187118248,-0.2030353026096387,-0.1243803015732434,-0.2188033924210616,-0.1589192198292754,-0.1357614044163853,-0.1257361386141335,-0.1340467750364398
-0.0212868811498848,0.0632493969469815,0.0372800579974743,-0.2682588234902996,-0.2484155473871926,-0.1748215374875999,0.0132120182907164,-0.2593547844843551,0.0045674675651397,-0.1108625065219545,-0.2146955103175281,-0.1017485693987557,0.0693491419094955,0.0457713674988545,-0.2507499404182872,-0.2026432675505489,-0.2496726552495584,-0.0875375437657385,-0.2105079005050212,-0.2266418046894071,0.0933204080811929,-0.1158957336989274,-0.0814133201238253,-0.1492196073047663,-0.0725519485846351,-0.1472408704862109,-0.2581940085085764,-0.1495980700378459,-0.1750717516311104,-0.0648428317473765,-0.1346107187751774,0.0158988236651402,-0.0598356023708809,-0.2067936337418411,-0.0277161248728749,0.0821938003639817,-0.2034086510125141,-0.1189169894547125,-0.2235241351359793,-0.1551751598403621,-0.1379400054978508,-0.105657102059115,-0.1318375325025483
-0.0234146040566329,0.0773054257479759,0.044954113919934,-0.2652361335371783,-0.2411633479349989,-0.1725796934771767,0.0144212434766206,-0.256819219651085,0.0029057203690807,-0.1102978194439564,-0.2128982842680754,-0.0992420776681547,0.0598300366355823,0.042845663402672,-0.2397203780668701,-0.2029487394463117,-0.2399512520534588,-0.0879673107034001,-0.2117834616767535,-0.227588184785901,0.1140310937354038,-0.1196181986168422,-0.0795913195303825,-0.1374125296201229,-0.0711969011596221,-0.1382456734172543,-0.2625821503733491,-0.1506745649569027,-0.1707833702345279,-0.0562747913893506,-0.1316950857068256,0.0207738949097838,-0.0579957994270706,-0.1900006107129664,-0.0284683829011435,0.0755957674773749,-0.2021749803798458,-0.1111689909284688,-0.2280169530621972,-0.1507424998448072,-0.1381184613456008,-0.0852487746873824,-0.1281510465721447
-0.0249375264396475,0.0903073143332614,0.0534947790085779,-0.2600591623875616,-0.2317530997483231,-0.1700612561898468,0.0168410250083922,-0.2525489083406278,0.0020917184895773,-0.1089433268749811,-0.2102773552480514,-0.0957571230453596,0.0516652597859583,0.0407233675607691,-0.2263818356108886,-0.2019538803382715,-0.2276135632048919,-0.0872886115417114,-0.2114471204624639,-0.2278259154410979,0.1333838443803439,-0.1225770780935122,-0.0764937166317596,-0.123106194637872,-0.0693298925455266,-0.1270572740630533,-0.2651017477932165,-0.1507882883688366,-0.1649086838375625,-0.04611002057434,-0.127799537946175,0.026578144573342,-0.0543707808677901,-0.1723334882709464,-0.0277602997255774,0.0701187006193919,-0.1990947906178996,-0.1010627151316019,-0.2320615467454977,-0.145497657170526,-0.1361156969824609,-0.0645890976126643,-0.1229142512274996
-0.0258482497399847,0.10225154362006,0.0628174176605845,-0.2526508296492742,-0.22014760508921,-0.1671644434075523,0.020634504370551,-0.2464688365941097,0.0023418978607083,-0.1067194192810088,-0.2067332773019871,-0.0912910122056722,0.0452573380098859,0.0396453045599993,-0.2107600345697021,-0.1994169366380576,-0.2126479979928454,-0.0852839514609677,-0.2092797753221287,-0.2271438384708406,0.151326063674853,-0.1245833829271136,-0.0720299417107821,-0.106382241472728,-0.0668919757600279,-0.1137812692574034,-0.2653095614642631,-0.1497771404569262,-0.1574237523055889,-0.0343606636515535,-0.1229933296282887,0.0332514704849479,-0.048883884516272,-0.1539700919846719,-0.0253987271237073,0.066106988380697,-0.1939645517321855,-0.0885865383887388,-0.2354330586202821,-0.1393335958078439,-0.131796748210624,-0.0437610677376021,-0.1160862780553243
-0.0261361140299635,0.1131771770042479,0.0728214095022283,-0.2429854278204649,-0.20637561915071,-0.1637881828376429,0.0259388901606558,-0.2385509802637617,0.0038335642407957,-0.1035638547169914,-0.202183066940139,-0.0858649918865965,0.0409603952481122,0.0398374940334708,-0.1929502319922027,-0.1951246573069496,-0.1951120302294436,-0.0817506324026777,-0.2050870354966848,-0.225336767870663,0.1678392984733323,-0.1254549861068073,-0.06613751146641,-0.0873996932750295,-0.0638371980037084,-0.0985840310595824,-0.2627711394049063,-0.1474961245943526,-0.1483467690332424,-0.0210825987816232,-0.1173635156275536,0.0407049179663792,-0.041504557020777,-0.1351013236921373,-0.0212239771186548,0.0638678986601441,-0.1866271064049776,-0.0737942935010546,-0.2379099504214834,-0.1321653982307939,-0.1250789091078786,-0.0228521621528548,-0.1076619754971552
-0.0257879897446546,0.12315852990441,0.0833917718665272,-0.2310932158390487,-0.190533331495849,-0.1598378477354758,0.0328585872834003,-0.2288184534348933,0.0066978004635929,-0.0994349883150548,-0.196564905787021,-0.0795240191398928,0.0390699793195145,0.0415023623808907,-0.1731171828317415,-0.1889007069917959,-0.1751339510707049,-0.0765097485861042,-0.1987083953299211,-0.2222137696508332,0.1829371323325501,-0.1250235402218087,-0.0587860301576271,-0.0663930701313031,-0.0601350642180679,-0.0816893840236917,-0.2570773982989214,-0.1438243793247044,-0.1377404613089563,-0.0063755898797351,-0.1110137059604698,0.0488244753900814,-0.0322512476711431,-0.1159274529430282,-0.0151172702706626,0.063662879921669,-0.1769808467849314,-0.0568065211231866,-0.2392821730198701,-0.1239352067989102,-0.1159362976057749,-0.0019537931944361,-0.0976744960798677
-0.0247895962036808,0.1322967205240309,0.0944009164518525,-0.2170632002485089,-0.1727832569803886,-0.1552308249574792,0.0414590785697727,-0.217347920593657,0.0110140461858288,-0.0943144464790765,-0.189842332265009,-0.0723358069603894,0.0398144871866265,0.0448103461356357,-0.1514923289016888,-0.1806131785760069,-0.1529119293377336,-0.0694148970907352,-0.1900258594265661,-0.2176064941809235,0.1966622830344147,-0.1231413680381812,-0.049980336931849,-0.0436673833801245,-0.0557725476839794,-0.0633729512629709,-0.2478616924998807,-0.1386715320066582,-0.1257128394565943,0.009618024711745,-0.1040622622680013,0.057475486643786,-0.0211928265359941,-0.096654390387327,-0.0070072545268517,0.0656998298087294,-0.1649872105497038,-0.0378093180029287,-0.2393593313949663,-0.1146163100557319,-0.1044026257459891,0.0188391801251101,-0.086196768659786
-0.0231272993414246,0.1407106197629329,0.105710504652662,-0.20104386920712,-0.1533505361180605,-0.1499016539568539,0.0517618768662199,-0.2042700786916984,0.016806591205916,-0.08820909853182,-0.1820077106158324,-0.0643891702087891,0.0433484596127097,0.0498922070499417,-0.1283682407015826,-0.1701808852072806,-0.1287103048464121,-0.06036024623995,-0.1789716309600438,-0.2113772420152696,0.2090830219840185,-0.1196880446254196,-0.0397626220565772,-0.0195901306411622,-0.0507555414243117,-0.043954391844395,-0.2348167364896266,-0.1319831094989306,-0.1124161748399309,0.0267160637774831,-0.0966399127369314,0.0665075242689095,-0.0084484219781703,-0.0774899906914387,0.003124712279409,0.0701265761657564,-0.150676081253746,-0.0170507266569581,-0.2379785257225563,-0.1042161697487673,-0.0905720384105483,0.0394288820189863,-0.0733417078798823
