60_74_beat1,60_43_beat2,60_43_beat3,60_63_beat4,60_63_beat5,60_63_beat6,60_63_beat7,60_54_beat8,60_77_beat9,60_95_beat10,60_95_beat11,60_95_beat12,60_13_beat13,60_13_beat14,60_92_beat15,60_66_beat16,60_86_beat17,60_86_beat18,60_6_beat1,60_6_beat2,60_53_beat3,60_89_beat4,60_64_beat5,60_44_beat6,60_71_beat7,60_71_beat8,60_80_beat9,60_47_beat10,60_47_beat11,60_84_beat12,60_45_beat13
-0.0973467566486934,-0.0077542362419886,-0.0602470988543558,-0.0293118224925931,-0.010299377601799,-0.0608489157759141,-0.0442190232986606,-0.1867617715473021,-0.0506669364535781,-0.1035259735979732,-0.0738451354660298,-0.0236044729972726,0.0308952541325465,-0.0781020276383717,-0.0303958450212037,0.020851522309338,0.0117797649530368,0.0005309030482415,,,,,,,,,,,,,
-0.090956735249324,-0.0098879911609416,-0.0610569825932374,-0.0267811788885966,-0.0123095200637072,-0.0524476089634666,-0.0437868873943834,-0.181293781049654,-0.054175610834714,-0.0988074670606632,-0.0672357133719843,-0.0216247152800043,0.0276228231122734,-0.0744562266350665,-0.0286877979466382,0.022525277457419,0.0112502827300568,0.0010511251379865,,,,,,,,,,,,,
-0.0834442550010273,-0.011478057763352,-0.0609650991490374,-0.0233454742961585,-0.013623536332368,-0.0427551894973373,-0.0426643209957423,-0.1748398752375012,-0.0565589423041668,-0.0923579751304384,-0.0589535117149765,-0.0187937655228633,0.0247088682803117,-0.070518374066514,-0.0269378053184196,0.0243679225601578,0.0110289391733965,0.0021695164494496,,,,,,,,,,,,,
-0.07485876883691,-0.0124222069634858,-0.0598265903325287,-0.0189682389999083,-0.0142132937517387,-0.031854619121107,-0.0408766392700224,-0.1674137399100944,-0.0577081501183754,-0.0841698067822355,-0.0490035938749621,-0.0150690359695913,0.0223158834361011,-0.0662680032134136,-0.025154900887779,0.0263593527094354,0.0111489278418031,0.0039434787806475,,,,,,,,,,,,,
-0.0652790024045471,-0.0126230507541687,-0.0575181413247912,-0.0136340348699779,-0.0140541081665017,-0.0198655771394949,-0.0384580263805235,-0.1590519268738638,-0.0575452115932568,-0.0742792540114846,-0.0374362664051679,-0.0104100724034572,0.0205955450559628,-0.0616847353325862,-0.0233498081864937,0.0284748513840843,0.0116376972993065,0.0064166593007651,,,,,,,,,,,,,
-0.0548124003712419,-0.0119924061428119,-0.053944407775334,-0.0073510466580764,-0.0131269723587819,-0.006942426490297,-0.035452873173728,-0.1498144586983663,-0.0560267890159821,-0.062768033293759,-0.0243481033975954,-0.0047824711473046,0.0196834463571044,-0.0567500386826546,-0.0215349205066011,0.0306854292353494,0.0125155891290252,0.0096165247124192,,,,,,,,,,,,,
-0.0435935552307914,-0.0104556100705238,-0.0490435048306803,-0.0001528701908579,-0.0114210435443356,0.0067291522529104,-0.0319168268506637,-0.1397847400394942,-0.0531468337467961,-0.0497631606372514,-0.0098814207250113,0.0018378728316481,0.0196941862184947,-0.0514491996746283,-0.0197241621626626,0.032958341494509,0.0137946229991511,0.0135524025402232,,,,,,,,,,,,,
-0.0317816327927562,-0.0079556230247157,-0.0427912836054743,0.0079006221629488,-0.0089362330542411,0.0209367500781731,-0.0279174274306892,-0.12906871659417,-0.048937776754302,-0.0354352110260362,0.0057778360707708,0.0094604430401869,0.0207170042023767,-0.0457734114821796,-0.0179327416514529,0.0352577753123257,0.0154774906444217,0.0182140869962783,,,,,,,,,,,,,
-0.0195568571569678,-0.0044567554263045,-0.035204175987601,0.0167234188399653,-0.0056857200754814,0.0354468734056679,-0.0235342271178747,-0.1177932555193572,-0.0434702747680211,-0.0199949873446586,0.0224037550333781,0.0180759770278439,0.022812142969344,-0.0397218682568749,-0.0161768128856376,0.0375456876291964,0.0175568156328332,0.0235710873777634,,,,,,,,,,,,,
-0.0071161636088816,5.2146593376453386e-05,-0.0263404560730274,0.0262045427922877,-0.0016982002145994,0.0500114236146516,-0.018858317547171,-0.1061037588882542,-0.0368515406320542,-0.0036886985963228,0.0397355663751898,0.0276528137350041,0.0260081001658427,-0.0333037416352008,-0.0144730649676181,0.0397827644042131,0.0200147271143335,0.0295725719969172,,,,,,,,,,,,,
0.0053318321154143,0.0055552096189691,-0.016299842135847,0.0362102441384048,0.0029803185406901,0.0643747541902285,-0.0139912249110614,-0.0941610610700171,-0.0292223435374808,0.0132081832154395,0.0574840257455577,0.0381339688430323,0.0302999032539385,-0.0265399123012746,-0.0128382638856638,0.0419294643531932,0.0228227834409938,0.0361480312925758,,,,,,,,,,,,,
0.0175723670070875,0.0120078712203552,-0.0052214428460907,0.0465871422183335,0.0082853434742974,0.0782810217375015,-0.0090431721988675,-0.0821376983660598,-0.0207528173441821,0.030398158596317,0.0753388466816255,0.0494351610558808,0.0356485033598469,-0.0194643342525866,-0.0112887709897746,0.0439471054597481,0.0259422659030274,0.0432086516104371,,,,,,,,,,,,,
0.0293903611817781,0.0193361573388979,0.006719868495495,0.0571661980492794,0.0141334886740093,0.0914815363131695,-0.0041307486904411,-0.0702136721941896,-0.0116372607213764,0.0475697534945509,0.0929769150600359,0.0614439649709216,0.0419813395895968,-0.0121249234138628,-0.0098400631133021,0.045798950482703,0.0293248445978221,0.0506493581760143,,,,,,,,,,,,,
0.0405763264821821,0.0274369739748569,0.0193184919231647,0.0677673552084412,0.0204229278264977,0.1037418214105288,0.0006259335774792,-0.0585718539231724,-0.0020881490737757,0.0644060843620326,0.1100709918627781,0.0740202079329622,0.0491940758370748,-0.0045838846293405,-0.0085062778593382,0.0474512480901101,0.0329135989392,0.0583514543284145,,,,,,,,,,,,,
0.0509321318290711,0.0361794480927519,0.0323443241116228,0.0782046539981052,0.0270347542114164,0.1148481138733352,0.0051064814879489,-0.0473931989825047,0.0076703965964343,0.0805936159556451,0.126298599469452,0.0869976622896905,0.057153460815678,0.0030825797204629,-0.0072998051216663,0.048874188637861,0.0366443562249965,0.0661857564584723,,,,,,,,,,,,,
0.0602764127640768,0.0454073084227944,0.0455498868538606,0.0882916025988565,0.0338352381050425,0.1246130670894634,0.0091937176445577,-0.0368519491346351,0.0174094256905368,0.0958307935680682,0.1413507890197102,0.1001870142218966,0.0657012118482208,0.0107852023986673,-0.0062309426402549,0.0500427376850734,0.0404472947803275,0.0740161022360491,,,,,,,,,,,,,
0.0684494317478385,0.0549422513251025,0.0586780446583138,0.097846580681725,0.0406789162167213,0.1328804642052114,0.0127772700673676,-0.0271110040847236,0.0269019998689247,0.1098362455873065,0.1549404987917817,0.1133800197597076,0.0746587767405855,0.0184232124834032,-0.0053076295177062,0.050937315936408,0.0442487449219792,0.081703094921311,,,,,,,,,,,,,
0.0753172233400727,0.0645881930591616,0.0714699786884689,0.1066980552799132,0.0474123964736413,0.1395287984439721,0.0157570834280721,-0.0183176367467389,0.0359298121042097,0.1223562777156359,0.1668102333147824,0.1263546923914064,0.083832788675488,0.0258864775452958,-0.0045352673109764,0.0515443012023322,0.0479731122449684,0.0891079395165012,,,,,,,,,,,,,
0.0807748923504253,0.0741362705716648,0.0836730865019302,0.114689404346078,0.0538787180654126,0.1444736314301561,0.0180466818576983,-0.0105997110394631,0.0442893538357015,0.1331714154959748,0.1767388193017582,0.1388813096990399,0.093020999056718,0.0330581484329461,-0.0039166337457322,0.0518563357917267,0.0515448438790751,0.0960962273485923,,,,,,,,,,,,,
0.084748971199052,0.0833704208130895,0.0950484964770603,0.1216831684857169,0.0599220740106557,0.1476686945286912,0.0195760249215117,-0.0040625382451639,0.0517974279758399,0.1421017956880222,0.1845470275880871,0.1507289827180565,0.1020184544883234,0.0398177031774608,-0.0034518895030009,0.0518724310099372,0.0548903592967457,0.10254153392048,,,,,,,,,,,,,
0.0871987827336761,0.092073345448279,0.1053779196505321,0.1275645836457309,0.0653926833855302,0.1491057499469887,0.0202938190016723,0.0012135207161914,0.0582958382333382,0.1490112575491556,0.1901018893367345,0.1616725034758467,0.1106236774956043,0.0460442683864692,-0.0031386741162414,0.0515978686298544,0.0579398724663849,0.1083287094763379,,,,,,,,,,,,,
0.0881167944049128,0.1000326544968435,0.1144696065441465,0.1322442846018593,0.0701515932670197,0.148813275628478,0.020169174427137,0.0051746325885941,0.0636551225188696,0.1538100395275212,0.1933195780857757,0.1714991738607689,0.1186446161310118,0.0516200856003391,-0.0029722829820588,0.0510439069019559,0.0606290408546968,0.113356761091591,,,,,,,,,,,,,
0.0875279871916828,0.1070469787029475,0.1221632287071142,0.1356601083701045,0.0740751957189151,0.1468540793294681,0.0191925322682307,0.0077942094448991,0.0677772385057031,0.1564560422557448,0.194166775320971,0.1800153219061843,0.1259041443761938,0.056433986192185,-0.0029459140577454,0.0502273055924501,0.062900388062166,0.1175412472410289,,,,,,,,,,,,,
0.0854882966881559,0.1129318450748829,0.1283335602553305,0.1377779658107638,0.077059261329298,0.1433219818170775,0.0173758215437922,0.0090727634562316,0.0705971509725383,0.1569546721372683,0.1926604856919659,0.1870522286144867,0.1322449216438423,0.0603847409904291,-0.0030509702611057,0.0491696905808557,0.0647044597018738,0.1208161287775427,,,,,,,,,,,,,
0.0820822135016305,0.1175251211768672,0.1328928899765913,0.1385917870286907,0.0790223161800916,0.1383377363586493,0.0147518452967371,0.0090369302672455,0.072083311746139,0.1553573287539644,0.1888663187600174,0.1924712181927737,0.1375334535648555,0.0633841592216662,-0.0032774020293863,0.0478967836558665,0.066000685513226,0.1231350426090203,,,,,,,,,,,,,
0.0774196551804277,0.1206918495427779,0.135792146693663,0.1381225808999447,0.0799082219890871,0.1320443713113271,0.0113729302900389,0.0077377243506912,0.0722370624875028,0.1517586419161092,0.1828953069585824,0.1961677050028787,0.1416632353663313,0.0653598248789224,-0.0036140737982988,0.0464375272054653,0.066757933951776,0.1244719852220478,,,,,,,,,,,,,
0.0716322421235817,0.122328312880564,0.1370207678409607,0.1364166808445582,0.0796878577158857,0.1246021544844157,0.0073089080015002,0.0052481173944761,0.0710910269761973,0.1462925992598484,0.1748993832266822,0.1980740388105936,0.1445569014481926,0.0662573764148037,-0.004049138095237,0.0448231363802101,0.0669547582906262,0.1248214121043691,,,,,,,,,,,,,
0.0648691250373607,0.1223651932405511,0.1366053829998636,0.1335432773238724,0.078359843078916,0.1161833819526812,0.0026445225712018,0.0016600533590149,0.0687065918614723,0.1391277324012182,0.1650656948733143,0.1981610429180502,0.1461673483296259,0.066042256809929,-0.0045704013933888,0.0430861129688075,0.0665793454157678,0.1241977758886609,,,,,,,,,,,,,
0.0572925209075771,0.1207697140923357,0.1346074203147823,0.1295913615153603,0.0759502878325572,0.1069671902416545,-0.0025236169284515,-0.0029189693003327,0.0651706022055206,0.1304615489023092,0.1536099808687337,0.1964381949527997,0.1464778410000996,0.0647008845047134,-0.0051656668717635,0.0412592556406487,0.0656291897771413,0.1226345407931134,,,,,,,,,,,,,
0.0490731174527031,0.117546683359624,0.131119774082704,0.1246662230442636,0.0725115929236755,0.0971345795896789,-0.0080904080495596,-0.0083696070188329,0.0605914199061754,0.1205144092541098,0.1407692859965238,0.1929524559119292,0.1455011528944599,0.0622412202409111,-0.0058230408434617,0.0393747003179289,0.0641105251415852,0.1201827239865163,,,,,,,,,,,,,
0.0403855022608716,0.1127383879400643,0.1262626960053861,0.1188856566193771,0.0681203686733809,0.0868638177360183,-0.0139458116120427,-0.0145645263740914,0.0550945088601796,0.1095230534263741,0.126794323450296,0.1877858083981784,0.1432778253840075,0.0586927292743261,-0.0065311919018179,0.0374630221954815,0.0620375556127006,0.1169090261598542,,,,,,,,,,,,,
0.0314037625853055,0.1064233260995232,0.1201790901989935,0.1123760375159571,0.0628745691995765,0.0763263688992607,-0.0199784549912511,-0.0213722609776967,0.0488177204017365,0.0977339808040857,0.111941820750217,0.1810516183808053,0.1398736623349948,0.0541057613336247,-0.0072795547226807,0.0355524274400715,0.0594315344050044,0.1128936239027692,,,,,,,,,,,,,
0.0222973859133718,0.0987138032445594,0.1130294026867783,0.105268424159375,0.0568899701123084,0.0656834620832019,-0.0260791501345862,-0.0286609330035909,0.0419064561928778,0.0853968808763765,0.0964671849098826,0.1728899841754295,0.1353765979402181,0.0485503908088388,-0.008058473728996,0.0336680581779212,0.0563197435044237,0.1082277051459159,,,,,,,,,,,,,
0.0132275710302432,0.0897524585634127,0.1049862994161342,0.0976948381188626,0.0502961372651171,0.055083377935189,-0.0321442058700746,-0.0363017148535905,0.0345088834087947,0.0727583002233092,0.0806177987792906,0.1634622791293815,0.1298930912591004,0.0421147759386008,-0.0088592852232068,0.0318314293845911,0.0527344290979837,0.1030108353177831,,,,,,,,,,,,,
0.0043440356046275,0.0797078342013215,0.0962293226818185,0.0897848583901075,0.0432320478108085,0.0446594961066741,-0.0380784290436112,-0.044171923603274,0.026771368779309,0.0600557145454123,0.0646272150331365,0.1529451281274008,0.1235442087608281,0.0349031076438453,-0.0096743399499476,0.0300600109872891,0.0487117463113588,0.0973482453085927,,,,,,,,,,,,,
