Segment 0,Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,Segment 9,Segment 10,Segment 11,Segment 12,Segment 13,Segment 14,Segment 15,Segment 16,Segment 17,Segment 18,Segment 19,Segment 20,Segment 21,Segment 22,Segment 23,Segment 24,Segment 25,Segment 26,Segment 27,Segment 28,Segment 29,Segment 30,Segment 31,Segment 32,Segment 33,Segment 34,Segment 35,Segment 36,Segment 37,Segment 38,Segment 39,Segment 40,Segment 41,Segment 42,Segment 43,Segment 44,Segment 45,Segment 46,Segment 47
2,1,1,1,2,2,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,2,2,2,2,2,1,1,2,2,1,1,1,1,1,2
428.9730958,-358.8426979,-610.2262783,-563.5144012,-372.558491,1053.029118,-624.3249139,-289.8329899,186.1098835,-175.6679338,-248.4474755,-78.96602212,1515.658184,-842.2762865,-582.2821229,212.4138411,342.8833632,-223.2063042,-318.0087619,1119.890335,-504.6589568,48.07582202,1213.213973,-823.3144812,-494.5161321,1129.736439,-753.0076224,456.0571398,667.3572047,-200.5544786,997.1283916,-566.9098931,1393.616918,-447.8169098,-61.22267742,354.1265863,-616.9132513,-155.9287559,-309.160199,-393.7077636,139.5471691,1100.608391,-595.6728264,-798.9179634,55.49035295,-184.090911,-109.1801652,-249.9500037
820.8273421,-373.8039036,-612.0556586,-564.5871032,-366.1855625,1064.170835,-614.1088027,-288.6675753,104.3572062,-76.75954374,-275.3151402,-120.5663592,1494.633187,-844.7775842,-500.9300838,282.2787389,449.9434095,-149.7867297,-337.2067528,1071.297973,-525.2171178,-11.2893222,1201.777702,-825.5733498,-502.9836367,1124.26183,-780.1162545,374.7701311,758.407611,-206.9253881,956.0098454,-594.1458132,1409.174716,-442.2811513,-60.0767263,356.1569561,-670.4690904,-150.786429,-308.71765,-403.9779052,54.31719968,1096.273448,-576.2699337,-744.357527,-8.652478483,-183.9091933,-128.3911923,-271.1880776
1197.924173,-392.4220385,-613.6153076,-556.4791697,-356.3057628,1060.192865,-595.2580361,-290.1929203,24.63503401,25.20730301,-303.3523009,-155.1399342,1458.935397,-846.987889,-411.9576032,349.3673847,555.4724217,-69.58349306,-359.7002963,1011.330088,-548.9498711,-63.39129018,1177.733894,-820.0243765,-516.1889198,1104.790758,-808.0361865,293.3921521,842.0348309,-217.0664079,901.7252578,-621.9531276,1409.40269,-438.0554732,-59.04108395,359.8294986,-716.4319151,-146.6336498,-306.1681449,-407.5767248,-26.78181892,1078.078791,-547.2954354,-679.0249475,-66.60596303,-184.8730026,-142.6286586,-287.1214535
1553.376892,-414.4453756,-614.8137049,-538.337043,-343.9779846,1041.447134,-567.2598081,-294.8526104,-51.80113762,128.5110469,-331.8319657,-182.9305966,1409.488298,-849.023199,-316.6310489,412.2461028,657.569736,16.29370696,-385.0327021,941.3953727,-575.4055764,-108.1253846,1141.781065,-805.5680781,-534.1489491,1071.98969,-835.8160287,213.1960439,916.6940348,-230.9713979,835.5522256,-649.3532486,1394.586927,-435.3718292,-58.08515691,365.1711597,-754.9576691,-143.8605176,-302.1661575,-405.3024095,-102.7120568,1046.520501,-508.3614699,-603.1454952,-118.0991118,-187.2345634,-152.5456422,-298.3274596
1881.021271,-439.4727956,-615.5668882,-509.495306,-330.2585936,1008.576955,-529.7991658,-302.9535208,-123.8555347,231.3427972,-359.9359133,-204.3219867,1347.458003,-850.992851,-216.4154024,469.5726787,754.3776162,106.5470292,-412.5993663,863.0500875,-603.9953282,-145.5636701,1094.837009,-781.249279,-556.7104324,1026.781395,-862.4086859,135.3572275,981.0237014,-248.4823298,758.9708847,-675.2856135,1365.313135,-434.3848582,-57.17672266,372.1730602,-786.3232496,-142.8060812,-297.3495413,-398.021871,-172.6248832,1002.355418,-459.2915755,-517.2039773,-163.033402,-191.1897809,-158.8300582,-305.4361129
2175.597845,-466.9558461,-615.8025738,-469.5082043,-316.1751434,962.4930884,-482.7802984,-314.6555801,-190.6101942,331.8524342,-386.7705983,-219.8215158,1274.218134,-852.9975199,-112.9424161,520.1302644,844.1296025,199.7209776,-441.6555353,777.9560996,-633.9994453,-175.9430922,1038.009504,-746.2966969,-583.5443999,970.3144913,-886.6931744,60.93254167,1033.879398,-269.2857985,673.6217397,-698.630695,1322.445089,-435.1767772,-56.28340714,380.7910632,-810.9193844,-143.7539608,-292.3287588,-386.6484616,-235.8711818,946.5766635,-400.1401372,-421.9485554,-201.4704085,-196.884461,-162.1804374,-309.1083074
2432.889732,-496.2042354,-615.4642945,-418.1763944,-302.7012779,904.3435728,-426.3419993,-329.9640389,-251.3374331,428.1965715,-411.3862687,-230.0424626,1191.310702,-855.1274841,-7.972641063,562.8562488,925.195763,294.2385242,-471.3277985,687.8380223,-664.5774183,-199.6504958,972.5631441,-700.1593308,-614.1442939,903.9280031,-907.5000823,-9.157030328,1074.36104,-292.9126529,581.2607258,-718.2362521,1267.096037,-437.7636972,-55.37411532,390.9472626,-829.2417394,-146.9282211,-287.677457,-372.1207082,-292.0054316,880.383399,-331.2056908,-318.3862108,-233.6158945,-204.4209257,-163.2840347,-310.0154464
2649.812866,-526.3950972,-614.5154263,-355.5676068,-290.733122,835.4784028,-360.8663797,-348.7245605,-305.5066915,518.5867853,-432.79913,-235.6846142,1100.404263,-857.4611503,96.64747437,596.8655018,996.1234114,388.4416069,-500.6294764,594.4406942,-694.781562,-217.2050865,899.8834526,-642.5380649,-647.8280651,829.112181,-923.6403768,-74.13958513,1101.832925,-318.7411728,483.7129294,-732.9464854,1200.594223,-442.1030025,-54.42034604,402.5323254,-841.8800733,-152.4893152,-283.9242555,-355.3823806,-340.783744,805.1459393,-253.0371642,-207.7695479,-259.8011706,-213.8644415,-162.7979066,-308.8210906
2824.458332,-556.5862971,-612.9429538,-282.030067,-281.0674272,757.4102472,-286.9801456,-370.621464,-352.7859201,601.3365072,-450.0162468,-237.5138693,1003.250615,-860.0638274,199.0319821,621.4677453,1055.672056,480.6345648,-528.4799777,499.4881412,-723.5745279,-229.2388787,821.4394112,-573.410976,-683.7447398,747.4669196,-933.9370982,-133.4014262,1115.936105,-346.0041816,382.8263578,-741.6336017,1124.443743,-448.1014515,-53.39733232,415.4085647,-849.5052841,-160.5299844,-281.5455666,-337.3640901,-382.1562383,722.3674551,-166.4324053,-91.57501977,-280.4625793,-225.2489184,-161.3334192,-306.1650568
