Segment 0,Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,Segment 9,Segment 10,Segment 11,Segment 12,Segment 13,Segment 14,Segment 15,Segment 16,Segment 17,Segment 18,Segment 19,Segment 20,Segment 21,Segment 22,Segment 23,Segment 24,Segment 25,Segment 26,Segment 27,Segment 28,Segment 29,Segment 30,Segment 31,Segment 32,Segment 33,Segment 34,Segment 35,Segment 36,Segment 37,Segment 38,Segment 39,Segment 40,Segment 41,Segment 42,Segment 43,Segment 44,Segment 45,Segment 46,Segment 47,Segment 48,Segment 49,Segment 50,Segment 51,Segment 52,Segment 53,Segment 54,Segment 55,Segment 56,Segment 57,Segment 58
2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2585,2264,1269,3196,1204,1397,2232,1477,996,1991,1702,1766,2345,1943,1060,1654,3388,899,1542,931,2329,2409,2136,1461,915,1831,1092,1445,1317,1959,2216,2553,1734,1044,1044,996,2280,1124,1253,2039,1766,2730,2907,2650,1477,2473,1285,2473,2569,1702,947,3437,771,3019,1044,1253,1317,851,1044
2553,2312,1285,3148,1269,1397,2200,1461,996,1959,1686,1734,2441,1927,1060,1638,3453,899,1654,931,2377,2377,2104,1445,915,1799,1076,1413,1317,1927,2248,2618,1863,1028,1060,996,2280,1156,1253,1975,1895,2730,2891,2618,1493,2473,1285,2457,2537,1702,947,3356,755,2971,1044,1237,1301,851,1044
2521,2361,1301,3083,1365,1381,2168,1445,996,1943,1670,1718,2537,1895,1044,1622,3469,899,1783,931,2409,2345,2072,1429,915,1783,1076,1397,1301,1895,2248,2682,1975,1028,1060,996,2296,1204,1253,1895,2007,2730,2875,2585,1526,2473,1301,2441,2505,1702,947,3260,739,2907,1028,1220,1285,835,1044
2473,2393,1333,3035,1477,1365,2136,1429,980,1911,1654,1702,2634,1863,1044,1606,3485,899,1895,931,2441,2312,2039,1413,915,1766,1060,1381,1301,1863,2232,2730,2104,1028,1076,996,2296,1285,1253,1863,2136,2730,2858,2537,1558,2457,1301,2409,2489,1718,947,3180,723,2842,1012,1220,1269,835,1044
2441,2425,1365,2971,1590,1349,2104,1413,980,1895,1638,1686,2730,1847,1028,1574,3501,883,2007,931,2473,2280,2007,1381,915,1750,1060,1349,1285,1831,2200,2762,2232,1028,1108,996,2296,1365,1253,1847,2248,2714,2826,2489,1590,2457,1301,2393,2457,1734,964,3083,723,2778,996,1204,1269,835,1076
2409,2425,1429,2923,1670,1333,2072,1397,980,1863,1622,1670,2794,1815,1028,1558,3501,883,2104,931,2489,2248,1975,1365,915,1718,1044,1333,1285,1815,2184,2794,2345,1028,1140,996,2312,1477,1253,1799,2377,2698,2794,2441,1638,2441,1301,2377,2409,1750,980,3003,723,2714,996,1204,1253,851,1108
2377,2441,1493,2875,1734,1317,2039,1397,980,1847,1606,1654,2858,1799,1012,1558,3485,883,2216,947,2505,2232,1943,1349,915,1702,1044,1317,1269,1783,2152,2810,2473,1028,1204,980,2312,1558,1269,1750,2473,2666,2746,2409,1670,2425,1301,2361,2377,1783,1028,2923,707,2666,996,1188,1237,883,1172
2345,2425,1558,2826,1799,1301,2007,1381,980,1831,1590,1638,2907,1766,1012,1542,3469,867,2312,947,2521,2200,1911,1333,915,1686,1044,1285,1253,1750,2136,2794,2585,1028,1269,980,2329,1654,1269,1686,2553,2634,2698,2361,1702,2409,1301,2345,2329,1815,1076,2842,707,2618,980,1188,1220,931,1220
2312,2425,1638,2778,1863,1301,1959,1365,980,1799,1574,1622,2955,1750,1012,1526,3437,867,2377,947,2521,2168,1879,1317,915,1670,1028,1269,1253,1734,2104,2778,2666,1028,1365,980,2329,1750,1269,1638,2650,2602,2650,2312,1734,2393,1301,2329,2280,1863,1156,2778,691,2569,980,1188,1204,996,1301
